2020
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chikunbr.def
Chikungunya Fever
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260720 IPOJUCA";-;227;286;374;415;627;520;329;257;185;160;183;106;3669
"260730 IPUBI";-;6;7;2;28;9;2;1;-;-;1;2;1;59
"260740 ITACURUBA";-;-;12;20;16;15;2;10;4;-;2;-;-;81
"260750 ITAIBA";-;-;-;3;-;1;2;1;-;-;-;-;-;7
"260760 ILHA DE ITAMARACA";-;1;7;21;64;167;81;30;10;10;2;4;2;399
"260765 ITAMBE";-;-;2;3;2;1;5;5;7;6;4;2;-;37
"260770 ITAPETIM";-;-;1;1;-;1;2;3;3;-;1;-;-;12
"260775 ITAPISSUMA";-;2;1;4;2;3;3;1;4;3;-;3;1;27
"260780 ITAQUITINGA";-;24;76;159;11;12;16;5;3;8;1;3;1;319
"260790 JABOATAO DOS GUARARAPES";-;178;182;223;181;270;465;555;440;354;248;143;119;3358
"260795 JAQUEIRA";-;11;15;20;12;6;4;-;-;-;-;-;1;69
"260800 JATAUBA";-;8;26;32;34;16;8;10;24;7;3;8;15;191
"260805 JATOBA";-;1;2;-;-;-;-;9;26;-;-;-;-;38
"260810 JOAO ALFREDO";-;-;3;5;24;61;37;56;27;15;5;1;3;237
"260820 JOAQUIM NABUCO";-;2;2;-;1;-;3;1;1;-;-;-;-;10
"260825 JUCATI";-;-;2;3;5;11;3;-;-;-;-;-;-;24
"260830 JUPI";-;-;-;-;-;1;-;-;2;-;-;-;-;3
"260840 JUREMA";-;-;10;5;16;28;3;2;-;-;1;-;-;65
"260845 LAGOA DO CARRO";-;1;2;2;19;125;48;25;7;3;-;-;-;232
"260850 LAGOA DE ITAENGA";-;-;-;1;1;1;1;4;-;16;3;-;-;27
"260860 LAGOA DO OURO";-;-;2;1;5;9;2;1;-;-;-;-;-;20
