2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/zikabr.def
Zika Virus
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"292600 REMANSO";4;7;13;8;3;6;5;5;1;-;3;5;60
"292620 RIACHAO DAS NEVES";-;-;-;-;-;1;-;-;-;-;-;-;1
"292630 RIACHAO DO JACUIPE";8;13;15;48;103;82;31;29;10;20;14;-;373
"292640 RIACHO DE SANTANA";-;-;3;1;3;-;-;-;-;1;-;-;8
"292660 RIBEIRA DO POMBAL";-;2;7;8;3;8;1;1;-;3;1;-;34
"292665 RIBEIRAO DO LARGO";-;-;2;1;-;-;-;-;-;-;-;-;3
"292670 RIO DE CONTAS";-;-;-;-;1;2;2;-;-;-;-;-;5
"292680 RIO DO ANTONIO";1;3;4;1;-;2;-;-;-;-;-;-;11
"292690 RIO DO PIRES";34;21;26;6;1;1;20;21;3;17;23;29;202
"292700 RIO REAL";21;9;45;21;2;10;70;94;83;97;53;29;534
"292710 RODELAS";-;-;1;-;1;-;-;-;-;-;-;-;2
"292720 RUY BARBOSA";-;-;-;-;1;5;1;-;-;-;-;-;7
"292730 SALINAS DA MARGARIDA";-;-;-;-;-;-;-;2;-;-;-;-;2
"292740 SALVADOR";227;358;376;516;758;872;591;271;224;130;138;118;4579
"292750 SANTA BARBARA";4;7;25;41;23;4;4;2;-;-;-;-;110
"292760 SANTA BRIGIDA";-;-;-;-;-;-;-;2;-;-;-;-;2
"292770 SANTA CRUZ CABRALIA";2;1;1;2;7;8;2;1;-;-;2;1;27
"292800 SANTALUZ";-;-;-;1;2;1;1;-;-;-;-;-;5
"292805 SANTA LUZIA";2;2;2;4;-;2;-;-;-;-;-;-;12
"292810 SANTA MARIA DA VITORIA";-;-;-;-;2;-;1;-;-;-;-;-;3
"292830 SANTANOPOLIS";-;-;-;1;3;1;-;-;12;-;-;-;17
"292840 SANTA RITA DE CASSIA";-;-;-;1;-;-;-;-;-;-;-;-;1
"292850 SANTA TERESINHA";-;-;-;-;-;4;7;-;-;-;-;-;11
"292860 SANTO AMARO";-;-;-;-;-;-;1;1;3;2;-;-;7
"292870 SANTO ANTONIO DE JESUS";3;3;8;28;54;18;31;11;2;1;5;2;166
"292880 SANTO ESTEVAO";2;2;6;5;5;5;13;4;6;3;1;1;53
"292890 SAO DESIDERIO";40;85;149;63;61;47;40;20;11;14;11;5;546
"292895 SAO DOMINGOS";-;-;-;-;-;-;-;2;-;1;-;-;3
"292900 SAO FELIX";-;-;-;-;-;-;-;-;-;2;-;-;2
"292905 SAO FELIX DO CORIBE";-;-;1;1;-;-;-;-;-;-;-;-;2
"292910 SAO FELIPE";-;-;-;1;1;-;1;6;2;-;1;-;12
"292920 SAO FRANCISCO DO CONDE";2;1;-;1;2;1;20;4;6;3;3;-;43
"292925 SAO GABRIEL";-;-;1;3;1;-;-;2;-;1;-;-;8
"292930 SAO GONCALO DOS CAMPOS";-;-;2;-;-;2;-;-;-;1;-;-;5
"292935 SAO JOSE DA VITORIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"292937 SAO JOSE DO JACUIPE";-;-;-;-;1;-;-;-;-;-;-;-;1
"292940 SAO MIGUEL DAS MATAS";-;-;-;2;-;-;-;-;-;-;-;-;2
"292950 SAO SEBASTIAO DO PASSE";2;3;-;-;4;-;-;-;-;-;-;-;9
"292960 SAPEACU";-;-;-;-;-;-;1;7;8;-;-;-;16
"292970 SATIRO DIAS";-;-;-;-;-;-;2;-;1;-;-;-;3
"292975 SAUBARA";-;-;-;-;-;-;-;-;-;1;-;-;1
"292980 SAUDE";-;-;-;-;-;-;1;-;-;-;-;-;1
"292990 SEABRA";15;22;25;115;91;52;40;4;1;4;11;2;382
"293000 SEBASTIAO LARANJEIRAS";-;4;-;1;2;-;2;-;2;-;-;-;11
"293010 SENHOR DO BONFIM";4;3;9;8;8;1;3;2;2;1;-;-;41
"293015 SERRA DO RAMALHO";-;1;1;-;1;-;-;-;-;-;-;-;3
"293020 SENTO SE";-;-;-;-;-;-;-;-;-;1;-;-;1
"293030 SERRA DOURADA";-;1;-;-;1;2;-;3;1;-;-;-;8
"293040 SERRA PRETA";-;-;-;-;-;-;-;1;1;-;-;-;2
"293050 SERRINHA";-;4;-;-;-;-;-;-;-;-;-;-;4
"293060 SERROLANDIA";2;5;1;4;5;12;5;4;2;1;1;1;43
"293070 SIMOES FILHO";3;7;13;5;30;17;27;7;8;7;7;2;133
"293075 SITIO DO MATO";-;-;-;2;-;-;-;-;-;-;-;-;2
"293076 SITIO DO QUINTO";-;-;-;1;2;-;-;-;-;-;-;-;3
"293077 SOBRADINHO";-;-;3;2;8;1;-;-;1;-;-;-;15
"293090 TABOCAS DO BREJO VELHO";-;-;-;1;-;-;-;-;-;-;-;-;1
