2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/zikabr.def
Zika Virus
"Município de residência";"Jan";"Fev";"Mar";"Total"
"231150 QUIXERE";1;-;-;1
"231160 REDENCAO";1;-;-;1
"231170 RERIUTABA";1;4;-;5
"231180 RUSSAS";1;3;-;4
"231230 SAO BENEDITO";1;-;-;1
"231290 SOBRAL";9;9;-;18
"231310 TABULEIRO DO NORTE";-;1;-;1
"231350 TRAIRI";1;-;-;1
"231395 VARJOTA";1;16;-;17
"240020 ACU";1;1;1;3
"240030 AFONSO BEZERRA";-;-;1;1
"240100 APODI";-;1;-;1
"240110 AREIA BRANCA";1;-;-;1
"240120 ARES";1;25;18;44
"240140 BAIA FORMOSA";27;14;-;41
"240150 BARCELONA";-;1;-;1
"240180 BREJINHO";2;2;-;4
"240200 CAICO";-;5;3;8
"240240 CARNAUBA DOS DANTAS";1;1;-;2
"240260 CEARA-MIRIM";4;104;1;109
"240325 PARNAMIRIM";4;6;-;10
"240360 EXTREMOZ";4;-;-;4
"240420 GOIANINHA";1;2;1;4
"240430 GOVERNADOR DIX-SEPT ROSADO";-;1;-;1
"240450 GUAMARE";2;1;-;3
"240460 IELMO MARINHO";-;2;-;2
"240490 ITAU";-;1;-;1
"240500 JACANA";-;1;-;1
"240510 JANDAIRA";32;12;-;44
"240530 JANUARIO CICCO";-;3;-;3
"240580 JOAO CAMARA";7;16;4;27
"240640 LAGOA DE VELHOS";-;1;-;1
"240650 LAGOA NOVA";1;1;-;2
"240670 LAJES";-;2;-;2
"240680 LAJES PINTADAS";1;-;-;1
"240690 LUCRECIA";-;-;1;1
"240710 MACAIBA";-;10;-;10
"240720 MACAU";1;7;-;8
"240800 MOSSORO";2;3;3;8
"240810 NATAL";4;26;6;36
"240830 NOVA CRUZ";-;13;1;14
"240880 PARAZINHO";4;3;5;12
"240890 PARELHAS";-;3;-;3
"240895 RIO DO FOGO";-;1;2;3
"240930 PATU";-;1;-;1
"240933 SANTA MARIA";-;1;-;1
"240950 PEDRA GRANDE";2;4;4;10
"240960 PEDRA PRETA";-;1;-;1
"240970 PEDRO AVELINO";1;8;2;11
"240980 PEDRO VELHO";-;2;-;2
"241010 POCO BRANCO";2;-;-;2
"241030 SERRA CAIADA";-;2;1;3
"241120 SANTA CRUZ";-;-;2;2
"241140 SANTANA DO MATOS";1;1;-;2
"241150 SANTO ANTONIO";-;4;1;5
"241220 SAO JOSE DE MIPIBU";-;1;-;1
"241230 SAO JOSE DO CAMPESTRE";4;2;-;6
"241255 SAO MIGUEL DO GOSTOSO";-;-;5;5
"241260 SAO PAULO DO POTENGI";-;1;-;1
"241280 SAO RAFAEL";1;2;-;3
"241290 SAO TOME";3;1;4;8
"241300 SAO VICENTE";2;1;-;3
"241320 SENADOR GEORGINO AVELINO";-;1;-;1
"241350 SERRINHA";-;2;-;2
"241355 SERRINHA DOS PINTOS";1;-;-;1
"241390 TAIPU";-;1;-;1
"241430 TIMBAUBA DOS BATISTAS";-;1;-;1
"241440 TOUROS";-;4;-;4
"250030 ALAGOA GRANDE";1;21;-;22
"250130 AROEIRAS";-;1;-;1
"250280 BREJO DO CRUZ";1;-;-;1
"250310 CABACEIRAS";-;1;-;1
"250320 CABEDELO";-;1;-;1
"250370 CAJAZEIRAS";-;1;-;1
"250400 CAMPINA GRANDE";7;34;-;41
"250407 CARAUBAS";-;1;-;1
"250510 CUITE";-;1;-;1
"250650 GURJAO";-;2;-;2
"250750 JOAO PESSOA";10;19;-;29
"250770 JUAZEIRINHO";1;-;-;1
"250970 MONTEIRO";-;1;-;1
"250990 NATUBA";-;1;-;1
"251050 OLIVEDOS";1;-;-;1
"251190 PITIMBU";1;2;-;3
"251240 PUXINANA";2;-;-;2
"251250 QUEIMADAS";-;1;-;1
"251340 SANTA LUZIA";-;1;-;1
"251370 SANTA RITA";2;-;-;2
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";1;-;-;1
"251530 SAPE";1;2;-;3
"251593 SERTAOZINHO";-;1;-;1
"251610 SOLEDADE";1;-;-;1
"251700 UMBUZEIRO";-;1;-;1
"260020 AFRANIO";-;1;-;1
"260110 ARARIPINA";7;6;-;13
"260120 ARCOVERDE";-;1;-;1
"260220 BOM JARDIM";-;1;-;1
"260280 BUIQUE";7;23;2;32
"260290 CABO DE SANTO AGOSTINHO";1;-;-;1
"260310 CACHOEIRINHA";1;1;-;2
"260410 CARUARU";4;27;3;34
"260450 CHA GRANDE";1;-;-;1
"260500 CUPIRA";1;3;-;4
"260515 DORMENTES";-;1;-;1
"260550 FERREIROS";2;-;-;2
"260570 FLORESTA";1;-;-;1
"260600 GARANHUNS";2;4;-;6
"260720 IPOJUCA";8;7;-;15
"260875 LAGOA GRANDE";-;1;-;1
"260990 OURICURI";1;-;-;1
"261000 PALMARES";-;2;1;3
"261070 PAULISTA";1;-;-;1
"261080 PEDRA";1;-;-;1
"261110 PETROLINA";3;10;-;13
"261160 RECIFE";6;40;5;51
"261250 SANTA CRUZ DO CAPIBARIBE";-;1;-;1
"261390 SERRA TALHADA";-;1;-;1
"261480 TACARATU";-;4;-;4
"261530 TIMBAUBA";3;2;-;5
"261580 TUPANATINGA";1;-;-;1
"261610 VERDEJANTE";-;1;-;1
"270170 CAPELA";1;1;-;2
"270360 JAPARATINGA";-;1;-;1
"270430 MACEIO";2;1;-;3
"270840 SAO JOSE DA TAPERA";-;-;2;2
"270860 SAO MIGUEL DOS CAMPOS";-;1;-;1
"270915 TEOTONIO VILELA";7;-;-;7
"270930 UNIAO DOS PALMARES";-;1;-;1
"280030 ARACAJU";2;3;2;7
"280060 BARRA DOS COQUEIROS";3;12;4;19
"280067 BOQUIM";1;1;-;2
"280120 CANINDE DE SAO FRANCISCO";-;2;-;2
"280130 CAPELA";-;3;-;3
"280170 CRISTINAPOLIS";3;2;-;5
"280210 ESTANCIA";-;2;-;2
"280300 ITABAIANINHA";1;1;-;2
"280320 ITAPORANGA D'AJUDA";1;2;-;3
"280330 JAPARATUBA";-;1;-;1
"280340 JAPOATA";-;3;-;3
"280350 LAGARTO";6;10;-;16
"280440 NEOPOLIS";2;7;-;9
"280480 NOSSA SENHORA DO SOCORRO";1;-;-;1
"280550 POCO VERDE";-;1;-;1
"280740 TOBIAS BARRETO";1;10;-;11
"290030 ACAJUTIBA";-;1;-;1
"290040 AGUA FRIA";-;1;-;1
"290070 ALAGOINHAS";1;6;-;7
"290120 ANAGE";-;3;-;3
"290310 BARRA DO ROCHA";1;-;-;1
"290320 BARREIRAS";1;1;-;2
"290410 BOQUIRA";1;-;-;1
"290460 BRUMADO";-;12;4;16
"290515 CAETANOS";1;6;-;7
"290530 CAFARNAUM";-;-;1;1
"290570 CAMACARI";-;2;-;2
"290710 CARINHANHA";2;2;-;4
"290750 CATU";-;1;-;1
"290755 CATURAMA";1;3;-;4
"290900 CORDEIROS";1;-;-;1
"290980 CRUZ DAS ALMAS";-;1;-;1
"291040 ENCRUZILHADA";61;11;-;72
"291080 FEIRA DE SANTANA";1;-;-;1
"291120 GANDU";4;-;-;4
"291170 GUANAMBI";12;52;2;66
"291350 IGUAI";-;2;-;2
"291360 ILHEUS";1;-;-;1
"291390 IPIAU";-;3;-;3
"291450 IRARA";-;1;-;1
"291460 IRECE";-;1;-;1
"291480 ITABUNA";1;2;-;3
"291520 ITAGIBA";-;2;-;2
"291580 ITAMBE";-;3;-;3
"291610 ITAPARICA";-;2;-;2
"291685 ITATIM";1;7;-;8
"291740 JACARACI";1;7;1;9
"291760 JAGUAQUARA";-;1;-;1
"291840 JUAZEIRO";-;2;-;2
"291955 LUIS EDUARDO MAGALHAES";-;3;-;3
"291960 MACAJUBA";2;4;-;6
"291970 MACARANI";-;1;-;1
"291980 MACAUBAS";-;2;-;2
"292030 MALHADA DE PEDRAS";-;2;-;2
"292050 MARACAS";1;-;-;1
"292105 MATINA";-;1;-;1
"292170 MORRO DO CHAPEU";1;2;-;3
"292205 MULUNGU DO MORRO";1;10;1;12
"292230 MURITIBA";1;4;2;7
"292400 PAULO AFONSO";3;5;-;8
"292460 PINDOBACU";-;2;1;3
"292470 PIRIPA";8;14;-;22
"292500 PLANALTO";2;4;-;6
"292540 POTIRAGUA";-;1;-;1
"292590 QUIJINGUE";-;2;-;2
"292600 REMANSO";-;1;-;1
"292680 RIO DO ANTONIO";1;-;-;1
"292740 SALVADOR";14;26;-;40
"292870 SANTO ANTONIO DE JESUS";-;2;-;2
"292890 SAO DESIDERIO";4;29;-;33
"292990 SEABRA";3;4;-;7
"293000 SEBASTIAO LARANJEIRAS";-;2;-;2
"293050 SERRINHA";-;3;-;3
"293105 TANQUE NOVO";1;-;-;1
"293180 TREMEDAL";-;1;-;1
"293300 VALENTE";-;1;-;1
"293320 VERA CRUZ";1;6;-;7
"293330 VITORIA DA CONQUISTA";123;218;31;372
"310020 ABAETE";-;1;-;1
"310110 AIMORES";1;-;-;1
"310230 ALVINOPOLIS";-;1;-;1
"310350 ARAGUARI";1;-;-;1
"310620 BELO HORIZONTE";3;1;-;4
"310730 BOCAIUVA";1;1;-;2
