2007
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/exantbr.def
Measles and Rubella
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150200 CACHOEIRA DO ARARI";-;-;6;1;-;-;-;-;-;-;-;-;7
"150210 CAMETA";2;18;76;26;-;-;-;2;1;-;-;-;125
"150215 CANAA DOS CARAJAS";-;-;4;-;-;-;-;-;-;-;-;-;4
"150220 CAPANEMA";-;4;3;3;-;1;-;-;-;-;-;-;11
"150230 CAPITAO POCO";-;-;2;1;-;-;-;-;-;-;-;-;3
"150240 CASTANHAL";24;14;6;-;1;-;2;6;2;1;-;15;71
"150250 CHAVES";-;1;8;2;-;-;-;-;-;-;-;-;11
"150275 CONCORDIA DO PARA";1;-;1;1;-;-;-;-;-;2;-;-;5
"150280 CURRALINHO";-;3;-;1;-;-;-;-;-;-;-;-;4
"150285 CURUA";-;-;-;1;-;-;-;-;-;1;5;2;9
"150290 CURUCA";10;12;12;1;1;-;1;1;-;1;-;2;41
"150300 FARO";-;-;-;-;-;-;1;-;-;-;-;-;1
"150304 FLORESTA DO ARAGUAIA";-;-;-;-;-;-;-;-;-;1;-;-;1
"150307 GARRAFAO DO NORTE";-;-;2;-;-;-;-;1;-;-;-;-;3
"150309 GOIANESIA DO PARA";-;2;1;-;-;-;1;-;-;-;-;-;4
"150310 GURUPA";-;1;-;-;-;-;2;-;-;-;-;1;4
"150320 IGARAPE-ACU";-;7;9;1;-;-;-;-;-;-;1;-;18
"150330 IGARAPE-MIRI";63;29;14;4;-;-;-;-;-;1;5;10;126
"150340 INHANGAPI";3;1;-;-;-;-;-;-;1;-;-;-;5
"150345 IPIXUNA DO PARA";-;-;1;1;-;-;-;-;-;-;-;-;2
"150350 IRITUIA";2;2;-;1;-;-;-;5;1;-;-;4;15
"150360 ITAITUBA";-;-;-;1;-;-;1;1;-;-;-;-;3
"150370 ITUPIRANGA";-;-;-;-;-;-;-;-;-;-;-;1;1
"150375 JACAREACANGA";-;-;-;1;-;-;-;-;1;1;1;-;4
"150380 JACUNDA";-;-;-;-;-;1;1;2;6;1;1;1;13
"150390 JURUTI";2;-;-;-;-;3;2;17;13;7;-;-;44
