2017
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/hepabr.def
Hepatitis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130006 AMATURA";-;-;-;2;1;-;7;2;-;1;2;-;15
"130008 ANAMA";-;-;2;-;2;4;4;2;-;-;-;-;14
"130010 ANORI";-;1;3;8;1;4;1;5;-;-;-;1;24
"130014 APUI";1;-;-;-;-;-;-;1;-;-;-;-;2
"130020 ATALAIA DO NORTE";1;4;3;1;3;4;5;3;6;5;2;4;41
"130030 AUTAZES";3;1;1;3;1;-;5;1;2;1;1;-;19
"130040 BARCELOS";2;-;1;-;1;-;-;1;2;1;-;-;8
"130050 BARREIRINHA";1;1;-;-;-;-;-;2;-;-;1;-;5
"130060 BENJAMIN CONSTANT";3;2;2;3;1;1;5;2;4;4;1;3;31
"130063 BERURI";1;-;1;-;-;-;1;3;2;1;-;-;9
"130068 BOA VISTA DO RAMOS";-;1;1;-;-;-;-;-;-;-;-;-;2
"130070 BOCA DO ACRE";1;2;1;2;-;1;1;-;1;1;-;2;12
"130080 BORBA";-;1;-;1;-;-;-;3;-;-;1;-;6
"130090 CANUTAMA";-;1;-;1;3;-;-;-;-;1;2;1;9
"130100 CARAUARI";7;3;8;8;14;4;12;8;5;3;4;8;84
"130110 CAREIRO";1;1;4;1;3;3;8;3;2;1;-;-;27
"130115 CAREIRO DA VARZEA";2;1;-;-;-;1;-;1;-;1;-;1;7
"130120 COARI";13;13;10;15;12;10;29;13;8;15;8;9;155
"130130 CODAJAS";6;4;5;-;1;3;9;4;-;2;4;3;41
"130140 EIRUNEPE";9;7;4;17;8;3;16;11;5;6;12;5;103
"130150 ENVIRA";4;4;4;1;1;4;2;6;4;5;3;3;41
"130160 FONTE BOA";2;6;4;3;2;2;6;3;9;3;1;1;42
"130165 GUAJARA";8;3;2;2;4;2;6;5;2;6;4;1;45
"130170 HUMAITA";4;3;4;3;2;1;4;2;3;4;2;-;32
"130180 IPIXUNA";1;1;-;-;1;-;-;-;-;1;-;-;4
"130185 IRANDUBA";6;2;1;3;1;2;6;6;6;3;3;4;43
"130190 ITACOATIARA";5;11;11;11;4;4;32;8;4;8;5;7;110
"130195 ITAMARATI";-;-;-;1;-;-;1;2;-;-;-;-;4
"130200 ITAPIRANGA";-;-;1;-;-;-;1;-;-;-;-;-;2
"130210 JAPURA";1;-;-;-;1;-;-;-;-;-;-;1;3
"130220 JURUA";-;-;-;1;1;-;3;1;3;-;2;3;14
"130230 JUTAI";4;7;3;3;3;3;14;5;4;5;9;11;71
"130240 LABREA";1;3;2;5;5;1;2;4;6;2;-;3;34
"130250 MANACAPURU";12;14;6;6;5;5;12;9;8;12;9;2;100
"130255 MANAQUIRI";3;-;1;1;-;-;2;-;1;-;-;-;8
"130260 MANAUS";197;187;178;174;200;156;199;199;143;161;164;151;2109
"130270 MANICORE";2;1;-;2;1;-;-;1;2;-;-;1;10
"130280 MARAA";-;-;1;1;2;-;-;1;1;2;2;-;10
"130290 MAUES";4;1;2;-;1;2;3;2;1;3;1;3;23
"130310 NOVA OLINDA DO NORTE";2;1;-;3;1;2;3;1;-;-;-;-;13
"130320 NOVO AIRAO";2;-;-;-;-;-;-;-;1;-;3;1;7
"130330 NOVO ARIPUANA";-;1;1;-;-;1;1;1;-;1;-;-;6
"130340 PARINTINS";2;3;1;1;5;2;4;3;-;3;3;-;27
"130350 PAUINI";2;4;3;3;3;5;4;4;-;3;3;-;34
"130353 PRESIDENTE FIGUEIREDO";4;3;2;3;1;1;4;4;3;4;-;3;32
"130356 RIO PRETO DA EVA";-;1;3;2;2;-;3;2;2;-;6;3;24
"130360 SANTA ISABEL DO RIO NEGRO";1;1;1;-;-;-;2;5;1;1;1;1;14
"130370 SANTO ANTONIO DO ICA";1;2;5;-;2;-;2;1;-;3;-;2;18
"130380 SAO GABRIEL DA CACHOEIRA";3;10;1;7;7;4;11;16;6;6;14;11;96
"130390 SAO PAULO DE OLIVENCA";-;1;-;-;-;1;1;2;-;-;-;1;6
"130395 SAO SEBASTIAO DO UATUMA";-;-;-;-;-;1;-;-;-;-;-;-;1
"130400 SILVES";-;-;-;4;-;-;-;1;-;-;-;-;5
"130406 TABATINGA";5;4;2;2;2;5;8;8;3;3;1;5;48
"130410 TAPAUA";2;-;1;8;-;3;5;5;-;6;4;2;36
"130420 TEFE";7;4;19;8;4;6;18;7;3;5;8;5;94
"130423 TONANTINS";-;-;2;-;-;-;2;5;2;-;1;-;12
"130426 UARINI";-;3;3;2;-;-;-;1;1;-;-;1;11
"130430 URUCARA";-;-;-;-;-;1;-;1;-;-;-;-;2
"130440 URUCURITUBA";-;-;-;-;-;-;1;1;1;2;-;-;5
"140002 AMAJARI";1;2;1;1;-;-;-;1;-;-;-;-;6
"140005 ALTO ALEGRE";1;1;1;-;1;2;4;-;2;2;2;-;16
"140010 BOA VISTA";68;33;31;35;26;31;35;39;33;42;31;34;438
"140015 BONFIM";-;-;-;-;1;-;1;-;1;-;1;-;4
"140017 CANTA";-;-;-;-;-;1;-;-;-;-;1;1;3
"140020 CARACARAI";1;2;2;3;-;1;2;1;-;2;-;-;14
"140023 CAROEBE";1;-;2;-;1;2;2;2;1;1;1;-;13
"140028 IRACEMA";-;2;-;1;1;1;-;1;-;-;-;1;7
"140030 MUCAJAI";-;2;-;2;1;2;-;-;2;-;-;2;11
"140040 NORMANDIA";1;-;-;-;1;2;-;1;2;-;-;1;8
"140045 PACARAIMA";-;1;2;2;-;-;1;-;1;-;-;1;8
"140047 RORAINOPOLIS";2;1;1;-;2;1;1;2;3;2;-;-;15
"140050 SAO JOAO DA BALIZA";1;2;-;-;1;-;1;-;1;-;1;1;8
"140060 SAO LUIZ";-;-;2;1;-;-;-;1;1;-;-;1;6
"140070 UIRAMUTA";6;1;1;1;1;-;-;-;-;-;3;1;14
"150010 ABAETETUBA";2;2;7;7;5;6;7;8;4;6;4;3;61
"150013 ABEL FIGUEIREDO";-;-;1;-;-;-;1;-;-;-;-;-;2
"150020 ACARA";1;-;-;-;1;-;-;-;2;-;-;1;5
"150030 AFUA";1;4;4;1;2;-;3;2;2;2;3;1;25
"150034 AGUA AZUL DO NORTE";1;-;-;1;-;-;-;-;-;-;-;-;2
"150040 ALENQUER";3;-;5;4;5;4;3;7;3;3;5;3;45
"150050 ALMEIRIM";-;1;1;-;-;-;-;1;-;1;-;-;4
"150060 ALTAMIRA";12;3;5;1;4;3;10;8;7;6;12;5;76
"150070 ANAJAS";-;1;-;-;-;-;-;-;-;-;-;1;2
"150080 ANANINDEUA";11;5;8;10;8;15;13;12;15;11;15;8;131
"150085 ANAPU";-;-;-;-;1;1;-;2;-;1;-;1;6
"150090 AUGUSTO CORREA";-;-;-;-;3;2;1;-;1;1;-;-;8
"150095 AURORA DO PARA";-;-;-;1;-;-;1;-;-;-;-;1;3
"150110 BAGRE";-;-;-;-;-;-;-;1;1;-;1;-;3
"150120 BAIAO";-;-;-;-;1;-;-;-;-;-;1;-;2
"150125 BANNACH";-;-;1;-;1;-;-;-;1;1;-;-;4
"150130 BARCARENA";-;-;2;3;4;3;4;4;5;-;1;1;27
"150140 BELEM";66;53;44;55;50;63;50;40;52;48;55;42;618
"150145 BELTERRA";-;-;-;-;-;-;-;-;-;-;2;-;2
"150150 BENEVIDES";1;3;-;-;1;-;-;1;-;-;1;1;8
"150157 BOM JESUS DO TOCANTINS";-;1;-;-;1;-;1;1;1;2;-;2;9
"150160 BONITO";-;-;1;-;-;1;-;-;-;-;-;-;2
"150170 BRAGANCA";1;1;2;1;-;1;1;-;1;2;2;1;13
"150172 BRASIL NOVO";-;-;-;-;-;-;-;-;1;-;-;1;2
"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"150178 BREU BRANCO";-;2;1;-;2;-;-;1;2;2;1;1;12
"150180 BREVES";4;2;2;2;-;-;2;3;-;2;2;1;20
"150190 BUJARU";1;-;-;-;-;-;-;-;-;1;1;-;3
"150195 CACHOEIRA DO PIRIA";1;-;-;1;-;1;-;-;-;-;-;-;3
"150200 CACHOEIRA DO ARARI";-;-;-;-;-;-;-;-;-;-;-;1;1
"150210 CAMETA";2;-;3;3;-;-;2;-;1;-;-;3;14
"150215 CANAA DOS CARAJAS";3;2;2;1;1;-;2;1;2;-;1;-;15
"150220 CAPANEMA";3;-;1;1;-;1;1;1;1;1;-;1;11
"150230 CAPITAO POCO";-;-;-;-;-;1;-;-;1;-;-;1;3
"150240 CASTANHAL";2;4;2;7;8;6;4;4;3;8;5;4;57
"150250 CHAVES";-;-;1;-;-;-;-;-;-;-;-;-;1
"150260 COLARES";-;1;1;-;-;-;-;1;-;-;-;-;3
"150270 CONCEICAO DO ARAGUAIA";1;2;2;1;-;1;1;-;2;2;4;2;18
"150275 CONCORDIA DO PARA";1;-;-;1;-;-;-;-;-;-;-;-;2
"150276 CUMARU DO NORTE";-;-;-;-;1;-;-;1;-;1;-;-;3
"150285 CURUA";-;-;2;-;-;1;-;-;-;-;1;4;8
"150290 CURUCA";2;-;3;1;-;1;-;1;4;-;-;-;12
"150293 DOM ELISEU";1;2;1;-;-;-;2;-;-;2;-;1;9
"150295 ELDORADO DOS CARAJAS";-;1;-;-;-;1;-;-;-;1;1;-;4
"150304 FLORESTA DO ARAGUAIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"150307 GARRAFAO DO NORTE";1;-;1;1;-;-;-;-;1;1;1;1;7
"150309 GOIANESIA DO PARA";-;-;1;1;1;-;1;1;1;1;-;1;8
"150310 GURUPA";-;-;-;-;-;-;1;-;-;-;-;-;1
"150320 IGARAPE-ACU";-;-;-;-;-;-;-;3;1;1;-;-;5
"150330 IGARAPE-MIRI";1;-;-;-;-;1;-;-;1;1;1;-;5
"150340 INHANGAPI";-;-;-;-;-;-;-;-;-;-;-;1;1
"150345 IPIXUNA DO PARA";-;-;-;-;-;-;-;-;-;1;-;-;1
"150350 IRITUIA";-;1;-;-;-;-;1;-;1;-;-;1;4
"150360 ITAITUBA";3;3;3;2;1;4;3;2;2;-;1;1;25
"150370 ITUPIRANGA";2;2;-;-;1;1;1;-;2;1;-;-;10
"150375 JACAREACANGA";4;1;4;4;-;4;3;3;1;2;4;1;31
"150380 JACUNDA";1;1;6;3;1;1;7;2;5;6;5;4;42
"150390 JURUTI";-;1;1;-;2;1;1;-;-;1;1;1;9
"150400 LIMOEIRO DO AJURU";-;-;-;-;-;-;-;-;-;-;-;1;1
"150405 MAE DO RIO";2;-;-;-;1;1;-;-;-;-;2;1;7
"150410 MAGALHAES BARATA";-;-;-;-;-;-;1;-;-;-;-;-;1
"150420 MARABA";26;16;10;11;13;4;23;17;26;26;14;7;193
"150430 MARACANA";-;1;-;-;-;-;-;1;-;-;-;-;2
"150440 MARAPANIM";1;-;1;-;1;-;-;-;1;2;-;1;7
"150442 MARITUBA";2;2;-;-;6;3;2;2;-;3;3;2;25
"150445 MEDICILANDIA";1;2;1;-;1;1;2;5;1;-;3;1;18
"150450 MELGACO";-;-;-;-;-;-;-;-;1;-;-;-;1
"150460 MOCAJUBA";-;2;-;-;-;-;-;-;-;1;-;1;4
"150470 MOJU";-;-;-;-;-;1;-;-;-;1;-;-;2
"150475 MOJUI DOS CAMPOS";3;-;-;-;1;1;1;-;-;-;-;1;7
"150480 MONTE ALEGRE";-;-;1;-;1;-;1;-;3;1;-;1;8
"150490 MUANA";2;1;-;-;-;-;1;1;-;-;-;-;5
"150495 NOVA ESPERANCA DO PIRIA";-;1;1;-;2;-;-;-;-;-;1;-;5
"150497 NOVA IPIXUNA";1;-;-;-;1;-;-;2;-;-;-;-;4
"150500 NOVA TIMBOTEUA";-;-;-;-;-;-;-;-;1;-;-;-;1
"150503 NOVO PROGRESSO";1;1;1;2;1;-;-;2;-;2;-;2;12
"150506 NOVO REPARTIMENTO";-;1;1;3;2;5;-;-;-;-;3;1;16
"150510 OBIDOS";-;2;2;1;-;-;-;-;-;3;-;1;9
"150530 ORIXIMINA";6;3;1;2;2;-;2;3;1;3;6;4;33
"150540 OUREM";-;-;-;-;-;1;-;-;-;-;-;1;2
"150543 OURILANDIA DO NORTE";1;1;-;1;1;1;-;-;-;1;1;-;7
"150548 PACAJA";1;-;-;-;-;-;1;2;1;2;-;1;8
"150549 PALESTINA DO PARA";-;-;-;-;-;-;-;-;-;-;1;-;1
"150550 PARAGOMINAS";2;4;3;1;1;5;1;3;2;3;2;2;29
"150553 PARAUAPEBAS";1;13;4;7;10;4;11;5;6;10;7;9;87
"150555 PAU D'ARCO";-;-;-;2;-;-;1;-;-;1;-;-;4
"150560 PEIXE-BOI";-;-;-;-;-;-;1;-;-;1;-;-;2
"150563 PICARRA";-;1;-;-;-;1;-;-;-;-;-;1;3
"150565 PLACAS";-;-;3;2;2;1;2;1;1;1;2;7;22
"150570 PONTA DE PEDRAS";-;-;-;-;1;-;-;-;-;-;1;1;3
"150580 PORTEL";-;-;-;-;-;-;-;-;-;-;-;1;1
"150590 PORTO DE MOZ";-;-;-;-;-;2;-;-;-;1;-;-;3
"150600 PRAINHA";-;-;-;2;-;-;-;-;-;-;-;1;3
"150610 PRIMAVERA";-;-;-;-;-;-;-;1;-;-;-;1;2
"150611 QUATIPURU";-;-;-;-;-;-;-;-;-;1;-;-;1
"150613 REDENCAO";3;1;1;1;3;6;4;7;4;2;2;3;37
"150616 RIO MARIA";1;1;-;-;1;-;1;-;-;-;-;-;4
"150618 RONDON DO PARA";1;-;-;-;-;-;-;-;-;2;2;1;6
"150619 RUROPOLIS";1;4;1;3;4;-;-;1;1;4;2;-;21
"150620 SALINOPOLIS";3;3;-;1;1;-;1;1;1;6;-;-;17
"150630 SALVATERRA";-;-;-;-;1;-;-;-;-;1;-;-;2
"150635 SANTA BARBARA DO PARA";1;-;-;-;-;2;-;-;-;-;-;-;3
"150650 SANTA IZABEL DO PARA";1;1;2;2;-;3;-;1;2;1;-;2;15
"150655 SANTA LUZIA DO PARA";-;-;-;-;-;-;1;1;-;-;2;-;4
"150658 SANTA MARIA DAS BARREIRAS";1;1;-;-;-;-;-;-;1;1;-;-;4
"150660 SANTA MARIA DO PARA";-;-;-;-;1;-;-;-;-;-;-;-;1
"150670 SANTANA DO ARAGUAIA";2;-;5;2;4;3;-;2;2;1;2;2;25
"150680 SANTAREM";23;18;25;13;23;17;26;34;30;27;20;12;268
"150690 SANTAREM NOVO";-;-;-;-;-;1;-;-;-;-;-;-;1
"150700 SANTO ANTONIO DO TAUA";-;-;-;-;-;-;-;-;2;-;-;-;2
"150710 SAO CAETANO DE ODIVELAS";-;1;1;-;1;-;-;-;-;-;-;-;3
"150715 SAO DOMINGOS DO ARAGUAIA";1;-;-;-;-;-;1;-;-;-;-;-;2
"150720 SAO DOMINGOS DO CAPIM";-;-;-;-;1;-;-;-;1;1;1;-;4
"150730 SAO FELIX DO XINGU";2;1;2;1;-;1;1;3;2;1;-;1;15
"150745 SAO GERALDO DO ARAGUAIA";-;-;-;-;1;1;-;-;1;-;-;-;3
"150747 SAO JOAO DE PIRABAS";-;-;-;1;-;-;-;-;1;-;-;-;2
"150750 SAO JOAO DO ARAGUAIA";-;1;-;-;-;1;1;-;2;1;-;-;6
"150760 SAO MIGUEL DO GUAMA";3;1;-;-;1;-;-;-;-;1;-;-;6
"150770 SAO SEBASTIAO DA BOA VISTA";-;-;-;-;-;-;1;-;-;2;-;-;3
"150790 SOURE";1;-;-;-;-;-;-;-;-;-;-;-;1
"150795 TAILANDIA";1;-;1;-;1;2;2;2;-;1;2;2;14
"150796 TERRA ALTA";-;-;1;-;-;-;-;1;-;-;-;-;2
"150797 TERRA SANTA";1;1;1;-;1;-;-;1;1;-;-;-;6
"150800 TOME-ACU";-;-;-;-;-;1;-;1;-;-;-;2;4
"150803 TRACUATEUA";-;-;-;1;-;1;-;-;-;1;-;-;3
