2016
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/acbibr.def
Work Accident Exposure to Biologic Material
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";4;1;7;4;4;6;5;7;4;6;6;5;59
"110002 ARIQUEMES";17;21;32;20;30;26;26;37;35;23;31;25;323
"110003 CABIXI";-;-;-;-;-;1;-;-;-;1;-;1;3
"110004 CACOAL";25;32;30;35;40;31;25;40;30;27;24;18;357
"110005 CEREJEIRAS";1;-;1;3;1;1;2;4;3;3;7;1;27
"110006 COLORADO DO OESTE";-;-;6;1;3;-;3;2;-;-;2;-;17
"110007 CORUMBIARA";-;-;-;-;1;1;-;1;1;1;-;-;5
"110008 COSTA MARQUES";1;4;2;1;1;1;1;3;2;2;1;1;20
"110009 ESPIGAO D'OESTE";5;4;2;2;4;3;2;-;2;2;4;-;30
"110010 GUAJARA-MIRIM";6;1;6;6;10;4;-;6;2;2;5;3;51
"110011 JARU";4;10;2;6;3;5;12;7;13;11;10;7;90
"110012 JI-PARANA";25;12;31;16;19;13;18;34;14;23;9;9;223
"110013 MACHADINHO D'OESTE";5;7;5;5;6;9;5;4;4;6;2;5;63
"110014 NOVA BRASILANDIA D'OESTE";1;2;2;2;1;1;1;3;2;1;-;1;17
"110015 OURO PRETO DO OESTE";2;2;1;4;4;5;3;7;2;5;1;3;39
"110018 PIMENTA BUENO";2;4;5;3;4;1;7;1;3;3;4;3;40
"110020 PORTO VELHO";32;31;33;54;59;55;49;49;39;54;32;44;531
"110025 PRESIDENTE MEDICI";5;3;7;4;9;4;5;4;2;2;3;4;52
"110026 RIO CRESPO";-;1;-;1;1;1;-;-;1;1;-;-;6
"110028 ROLIM DE MOURA";6;12;11;11;6;9;12;14;13;9;14;18;135
"110029 SANTA LUZIA D'OESTE";1;-;-;-;2;-;2;1;-;2;-;-;8
"110030 VILHENA";28;15;25;18;27;18;27;32;28;15;19;19;271
"110032 SAO MIGUEL DO GUAPORE";2;3;3;2;1;6;5;3;6;3;2;2;38
"110033 NOVA MAMORE";-;-;2;1;2;3;1;4;4;2;5;3;27
"110034 ALVORADA D'OESTE";-;-;-;2;1;-;3;2;1;1;2;1;13
"110037 ALTO ALEGRE DOS PARECIS";2;-;3;-;-;2;1;2;1;1;1;1;14
"110040 ALTO PARAISO";-;-;2;-;-;1;-;1;-;1;-;1;6
"110045 BURITIS";-;1;3;3;2;2;1;3;5;4;1;5;30
"110050 NOVO HORIZONTE DO OESTE";-;3;-;1;-;2;1;3;-;2;-;-;12
"110060 CACAULANDIA";1;-;2;-;-;5;2;3;-;2;-;-;15
"110070 CAMPO NOVO DE RONDONIA";-;2;3;2;1;-;-;-;-;1;2;2;13
