2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/Intoxbr.def
Exogenous Poisoning
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";3;-;3;2;3;6;9;4;4;5;3;1;43
"110002 ARIQUEMES";6;2;4;6;6;10;9;6;10;4;2;5;70
"110003 CABIXI";-;-;-;1;-;-;-;-;-;-;-;-;1
"110004 CACOAL";3;3;8;2;8;3;5;9;6;20;9;2;78
"110005 CEREJEIRAS";-;-;-;-;-;-;-;-;-;-;1;-;1
"110006 COLORADO DO OESTE";1;2;-;1;-;-;-;-;-;-;1;-;5
"110007 CORUMBIARA";-;-;-;-;-;-;-;-;1;-;-;2;3
"110008 COSTA MARQUES";1;-;-;1;-;-;-;-;-;-;-;1;3
"110009 ESPIGAO D'OESTE";-;2;-;-;-;-;1;3;-;1;2;-;9
"110010 GUAJARA-MIRIM";1;1;1;2;-;-;-;-;-;1;-;1;7
"110011 JARU";3;2;2;-;-;1;-;3;1;-;3;4;19
"110012 JI-PARANA";3;-;-;-;1;2;4;-;1;3;-;4;18
"110013 MACHADINHO D'OESTE";2;4;2;1;3;-;3;-;1;3;3;2;24
"110014 NOVA BRASILANDIA D'OESTE";1;3;-;1;1;2;-;-;-;1;3;-;12
"110015 OURO PRETO DO OESTE";-;-;3;-;2;-;1;1;2;-;-;-;9
"110018 PIMENTA BUENO";-;1;-;-;-;-;-;-;-;1;-;-;2
"110020 PORTO VELHO";20;13;19;11;15;11;13;25;31;16;19;7;200
"110025 PRESIDENTE MEDICI";-;-;2;1;3;-;2;7;2;1;3;4;25
"110026 RIO CRESPO";-;1;1;-;2;-;-;-;-;-;-;-;4
"110028 ROLIM DE MOURA";8;4;5;4;3;1;3;5;-;10;13;6;62
"110030 VILHENA";3;8;12;16;18;17;18;18;20;20;13;13;176
"110032 SAO MIGUEL DO GUAPORE";2;-;3;12;-;-;-;1;-;-;-;1;19
"110033 NOVA MAMORE";1;10;4;4;6;6;1;9;4;2;3;2;52
"110034 ALVORADA D'OESTE";-;-;-;-;-;1;-;-;-;-;1;-;2
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;-;2;-;-;2;-;2;-;6
"110040 ALTO PARAISO";-;-;2;1;1;1;1;1;-;1;1;-;9
"110045 BURITIS";4;1;2;2;1;3;2;1;2;1;-;-;19
"110050 NOVO HORIZONTE DO OESTE";-;-;-;1;-;-;-;-;-;-;-;-;1
"110060 CACAULANDIA";-;-;-;-;-;-;1;1;1;2;-;3;8
"110070 CAMPO NOVO DE RONDONIA";1;1;3;2;-;-;1;-;-;-;1;2;11
"110080 CANDEIAS DO JAMARI";1;1;-;-;-;-;-;-;-;-;-;-;2
"110092 CHUPINGUAIA";1;3;-;1;1;-;3;-;1;1;-;1;12
"110094 CUJUBIM";1;2;-;-;2;-;-;-;1;1;-;-;7
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;-;-;-;-;-;-;-;1;1
"110110 ITAPUA DO OESTE";1;-;-;-;-;-;-;-;-;-;1;-;2
"110120 MINISTRO ANDREAZZA";1;-;-;-;-;-;1;-;-;-;-;-;2
"110130 MIRANTE DA SERRA";-;-;-;-;-;-;-;-;1;-;-;-;1
"110140 MONTE NEGRO";2;1;1;6;-;2;2;-;-;1;-;1;16
"110143 NOVA UNIAO";-;-;-;-;-;-;-;2;1;-;1;-;4
"110145 PARECIS";-;-;-;-;-;-;-;1;-;-;-;-;1
"110146 PIMENTEIRAS DO OESTE";-;-;-;-;-;-;-;2;-;-;-;-;2
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;-;-;1;-;-;-;1;2
"110149 SAO FRANCISCO DO GUAPORE";5;2;5;5;2;6;3;-;-;10;2;5;45
"110150 SERINGUEIRAS";2;1;-;1;-;-;-;-;-;-;1;2;7
"110155 TEIXEIROPOLIS";-;-;-;-;-;-;-;-;-;-;-;1;1
"110160 THEOBROMA";1;-;-;-;2;1;1;-;-;-;1;-;6
"110170 URUPA";1;1;-;-;-;1;1;-;-;2;2;-;8
"110175 VALE DO ANARI";-;-;-;5;-;1;-;-;-;1;-;-;7
"110180 VALE DO PARAISO";-;-;-;-;-;-;2;1;-;-;1;-;4
"120001 ACRELANDIA";4;3;1;-;3;3;-;2;-;5;5;2;28
"120005 ASSIS BRASIL";-;-;-;-;-;-;-;1;-;-;-;-;1
"120010 BRASILEIA";7;14;9;12;7;8;9;11;17;12;10;10;126
"120013 BUJARI";4;3;1;-;1;1;1;1;1;3;-;1;17
"120017 CAPIXABA";1;1;2;-;-;-;-;-;1;-;-;-;5
"120020 CRUZEIRO DO SUL";20;10;8;14;14;11;15;14;10;14;-;1;131
"120025 EPITACIOLANDIA";1;3;5;-;2;4;4;4;8;1;2;6;40
"120030 FEIJO";-;3;-;1;1;1;-;3;1;-;1;-;11
