2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/acbibr.def
Work Accident Exposure to Biologic Material
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";1;-;1;3;1;-;2;2;-;4;1;1;16
"110002 ARIQUEMES";3;7;12;4;7;6;6;14;12;7;9;4;91
"110004 CACOAL";6;5;6;4;13;10;3;13;2;1;6;4;73
"110005 CEREJEIRAS";-;-;-;1;-;1;1;1;1;1;2;-;8
"110006 COLORADO DO OESTE";-;-;-;-;1;-;2;-;-;-;-;-;3
"110007 CORUMBIARA";-;-;-;-;-;1;-;-;1;-;-;-;2
"110008 COSTA MARQUES";-;3;2;-;1;-;-;2;1;-;-;1;10
"110009 ESPIGAO D'OESTE";1;-;-;1;1;2;1;-;-;1;-;-;7
"110010 GUAJARA-MIRIM";-;-;-;-;1;1;-;-;1;-;-;-;3
"110011 JARU";-;2;-;-;2;2;4;3;4;2;3;2;24
"110012 JI-PARANA";11;3;7;2;11;3;2;12;2;4;1;-;58
"110013 MACHADINHO D'OESTE";2;1;4;-;1;1;1;-;1;2;1;1;15
"110014 NOVA BRASILANDIA D'OESTE";-;-;1;2;-;-;1;1;-;-;-;1;6
"110015 OURO PRETO DO OESTE";1;-;-;1;2;2;1;1;-;2;-;-;10
"110018 PIMENTA BUENO";-;-;1;-;1;-;1;-;1;-;-;1;5
"110020 PORTO VELHO";12;4;4;20;12;8;8;19;5;13;6;14;125
"110025 PRESIDENTE MEDICI";2;-;-;-;-;-;-;1;-;-;-;-;3
"110026 RIO CRESPO";-;1;-;-;-;1;-;-;1;-;-;-;3
"110028 ROLIM DE MOURA";3;3;3;4;1;1;1;5;2;-;3;4;30
"110029 SANTA LUZIA D'OESTE";-;-;-;-;-;-;1;-;-;1;-;-;2
"110030 VILHENA";6;2;11;7;8;6;11;11;10;6;2;5;85
"110032 SAO MIGUEL DO GUAPORE";-;1;1;-;-;2;1;-;-;1;-;-;6
"110033 NOVA MAMORE";-;-;1;-;1;2;-;-;-;1;-;-;5
"110034 ALVORADA D'OESTE";-;-;-;1;1;-;1;2;-;-;1;1;7
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;-;2;-;-;-;-;-;-;2
"110040 ALTO PARAISO";-;-;2;-;-;1;-;-;-;-;-;-;3
"110045 BURITIS";-;1;2;-;1;1;-;-;-;-;-;-;5
"110050 NOVO HORIZONTE DO OESTE";-;-;-;1;-;-;1;2;-;1;-;-;5
