2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/toxogestacionalbr.def
Gestational Toxoplasmosis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130140 EIRUNEPE";-;-;-;-;1;1;-;-;1;-;-;-;3
"130165 GUAJARA";-;-;1;1;1;-;1;1;-;2;-;-;7
"130170 HUMAITA";-;-;-;1;1;-;1;1;2;-;-;-;6
"130180 IPIXUNA";-;-;-;1;-;-;-;-;-;-;-;-;1
"130185 IRANDUBA";1;1;-;1;1;-;-;-;-;-;-;-;4
"130240 LABREA";1;-;-;-;-;-;-;1;-;-;1;-;3
"130250 MANACAPURU";1;1;-;-;-;-;-;-;-;-;-;-;2
"130255 MANAQUIRI";1;-;-;-;-;-;-;-;-;-;-;1;2
"130260 MANAUS";6;10;16;17;22;20;12;5;12;4;9;7;140
"130270 MANICORE";-;1;-;-;-;-;-;-;-;-;-;-;1
"130290 MAUES";-;-;-;-;-;-;-;-;-;-;-;1;1
"130340 PARINTINS";-;1;1;1;1;1;1;1;2;3;1;2;15
"130380 SAO GABRIEL DA CACHOEIRA";-;-;-;1;-;1;-;-;-;-;-;-;2
"130406 TABATINGA";-;-;-;1;-;-;-;-;-;-;-;-;1
"130410 TAPAUA";-;-;-;-;-;-;-;-;-;-;-;1;1
"130420 TEFE";-;1;-;-;-;-;-;-;-;-;-;-;1
"130426 UARINI";-;-;1;-;-;-;-;-;1;-;-;-;2
"130430 URUCARA";-;-;1;-;-;-;-;-;-;-;-;-;1
"140002 AMAJARI";1;-;-;-;-;-;-;-;-;-;-;-;1
"140005 ALTO ALEGRE";-;1;3;1;-;-;-;-;-;-;-;-;5
"140010 BOA VISTA";9;13;20;12;15;13;6;15;11;11;6;12;143
"140015 BONFIM";-;-;1;-;1;-;-;-;2;2;-;-;6
"140017 CANTA";-;1;-;-;-;-;-;1;-;-;2;-;4
"140020 CARACARAI";-;1;-;-;-;-;-;-;1;-;1;-;3
"140023 CAROEBE";-;1;-;-;1;-;2;-;-;-;-;-;4
"140028 IRACEMA";-;-;-;-;-;1;-;1;-;-;-;1;3
"140030 MUCAJAI";-;1;2;-;1;1;1;1;1;-;1;1;10
"140047 RORAINOPOLIS";2;2;1;-;-;2;1;1;1;1;2;1;14
"150010 ABAETETUBA";1;-;2;-;-;1;1;2;1;-;2;1;11
"150020 ACARA";-;1;2;2;1;-;-;-;-;2;1;-;9
"150030 AFUA";-;-;-;-;-;-;-;-;-;-;1;-;1
"150034 AGUA AZUL DO NORTE";-;1;-;-;1;-;-;-;-;-;-;-;2
"150050 ALMEIRIM";-;-;-;-;-;1;-;-;-;-;-;-;1
"150060 ALTAMIRA";1;3;1;1;1;1;1;-;-;-;-;-;9
"150080 ANANINDEUA";-;1;-;2;1;1;-;-;-;-;-;-;5
"150085 ANAPU";-;1;-;-;-;-;-;-;-;1;1;-;3
"150120 BAIAO";-;-;-;-;1;-;-;1;-;-;-;-;2
"150125 BANNACH";-;1;-;-;-;-;-;-;-;-;-;-;1
"150130 BARCARENA";1;3;1;-;-;-;1;-;1;-;-;-;7
"150140 BELEM";-;1;1;-;-;-;-;-;-;-;-;-;2
"150145 BELTERRA";-;-;-;-;-;-;-;1;-;-;-;-;1
"150150 BENEVIDES";-;-;-;-;-;-;-;-;-;2;-;-;2
"150157 BOM JESUS DO TOCANTINS";1;-;-;-;-;-;-;-;-;-;1;-;2
"150170 BRAGANCA";1;-;2;-;1;3;1;-;1;-;1;-;10
"150172 BRASIL NOVO";-;3;1;-;-;2;-;-;-;1;-;-;7
"150178 BREU BRANCO";1;1;2;-;1;-;1;-;-;-;-;1;7
"150180 BREVES";-;1;1;1;1;1;1;-;-;-;-;-;6
"150195 CACHOEIRA DO PIRIA";-;-;1;-;1;-;1;-;-;-;-;1;4
"150210 CAMETA";1;-;2;1;1;1;-;-;1;-;1;-;8
"150215 CANAA DOS CARAJAS";2;7;2;3;4;4;-;1;2;-;1;2;28
"150220 CAPANEMA";-;-;-;-;-;-;-;-;1;-;-;2;3
"150240 CASTANHAL";1;2;3;2;6;7;-;3;2;1;2;2;31
"150250 CHAVES";1;-;-;-;-;-;-;-;-;-;-;-;1
"150270 CONCEICAO DO ARAGUAIA";-;-;2;-;1;-;-;-;-;-;-;-;3
"150275 CONCORDIA DO PARA";-;1;-;2;1;-;-;-;-;-;-;-;4
