2020
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/zikabr.def
Zika Virus
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";5;6;-;-;-;-;-;-;-;-;-;-;11
"110002 ARIQUEMES";87;18;40;35;46;29;6;11;6;4;11;25;318
"110003 CABIXI";1;-;-;3;-;-;-;-;-;-;-;-;4
"110004 CACOAL";22;79;46;52;18;11;13;4;-;2;4;4;255
"110005 CEREJEIRAS";3;27;31;5;13;2;1;-;-;-;1;1;84
"110006 COLORADO DO OESTE";-;-;1;1;3;1;1;-;-;-;-;1;8
"110007 CORUMBIARA";-;1;-;-;-;-;-;-;-;-;-;-;1
"110009 ESPIGAO D'OESTE";2;-;8;4;-;-;-;-;-;-;-;-;14
"110010 GUAJARA-MIRIM";2;-;2;2;2;-;3;-;1;-;-;-;12
"110011 JARU";1;-;1;-;1;-;-;-;-;-;-;2;5
"110012 JI-PARANA";6;14;12;39;59;7;6;19;14;5;3;-;184
"110013 MACHADINHO D'OESTE";1;1;-;-;-;2;-;1;1;1;-;-;7
"110014 NOVA BRASILANDIA D'OESTE";4;3;3;-;2;-;-;-;-;1;1;1;15
"110015 OURO PRETO DO OESTE";2;-;8;3;10;3;3;1;-;-;1;-;31
"110018 PIMENTA BUENO";-;-;-;-;2;3;-;-;1;-;-;-;6
"110020 PORTO VELHO";63;73;33;40;25;36;31;25;23;21;32;58;460
"110025 PRESIDENTE MEDICI";28;21;79;67;22;21;9;10;4;7;12;12;292
"110026 RIO CRESPO";1;1;-;1;1;-;-;-;-;-;-;-;4
"110028 ROLIM DE MOURA";-;1;9;4;1;-;-;-;3;-;1;1;20
"110029 SANTA LUZIA D'OESTE";-;-;6;2;-;-;-;-;-;-;-;-;8
"110030 VILHENA";12;33;36;58;19;12;3;2;-;3;8;3;189
"110032 SAO MIGUEL DO GUAPORE";-;2;-;-;2;2;-;-;-;-;-;-;6
"110033 NOVA MAMORE";-;-;-;-;-;2;-;-;-;-;-;-;2
"110034 ALVORADA D'OESTE";-;2;2;2;-;-;-;-;2;-;1;1;10
"110037 ALTO ALEGRE DOS PARECIS";-;1;-;-;-;-;-;-;-;-;-;-;1
"110040 ALTO PARAISO";-;2;12;-;-;-;-;-;1;-;-;-;15
"110045 BURITIS";-;1;-;-;-;-;-;-;-;-;-;-;1
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;-;2;-;-;-;-;-;2
"110060 CACAULANDIA";1;-;-;-;-;2;1;-;-;-;1;2;7
"110070 CAMPO NOVO DE RONDONIA";-;-;-;-;2;-;-;-;-;-;-;-;2
"110080 CANDEIAS DO JAMARI";2;-;-;-;-;1;2;2;1;-;-;-;8
"110092 CHUPINGUAIA";-;1;-;-;-;-;-;3;-;-;-;-;4
"110094 CUJUBIM";-;-;2;-;2;-;-;-;-;-;-;-;4
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;2;-;-;-;-;-;-;-;-;2
"110120 MINISTRO ANDREAZZA";-;-;2;1;-;-;-;-;-;-;-;-;3
"110130 MIRANTE DA SERRA";-;-;-;-;-;-;-;-;-;-;-;1;1
"110140 MONTE NEGRO";-;-;-;4;-;-;-;-;1;2;-;-;7
"110143 NOVA UNIAO";-;2;-;-;-;-;-;-;-;-;-;-;2
"110145 PARECIS";6;51;49;31;3;-;-;1;-;3;-;-;144
"110147 PRIMAVERA DE RONDONIA";-;2;2;2;-;-;-;-;-;-;1;-;7
"110148 SAO FELIPE D'OESTE";2;-;-;-;-;-;-;-;-;-;-;-;2
"110149 SAO FRANCISCO DO GUAPORE";2;-;2;1;-;-;-;-;-;-;-;-;5
"110150 SERINGUEIRAS";-;1;-;2;8;17;14;4;2;1;-;-;49
"110155 TEIXEIROPOLIS";-;-;-;2;-;-;-;-;-;-;-;-;2
"110160 THEOBROMA";1;1;-;2;-;-;-;-;-;-;-;-;4
"110170 URUPA";-;-;2;1;-;1;-;-;-;-;-;2;6
"110175 VALE DO ANARI";-;-;1;1;-;-;-;-;-;-;-;-;2
"120001 ACRELANDIA";-;-;2;2;-;-;-;1;-;-;-;1;6
"120005 ASSIS BRASIL";-;-;5;3;-;3;1;-;-;-;1;-;13
"120010 BRASILEIA";3;-;2;-;-;-;2;-;2;1;-;-;10
"120013 BUJARI";5;1;10;4;-;-;4;1;-;1;1;-;27
"120017 CAPIXABA";-;-;-;-;-;1;1;-;2;-;-;1;5
"120020 CRUZEIRO DO SUL";102;51;86;59;126;47;79;54;35;49;53;71;812
"120025 EPITACIOLANDIA";-;2;-;-;-;-;-;-;-;-;1;1;4
"120030 FEIJO";3;5;9;4;4;1;-;-;1;4;-;2;33
"120032 JORDAO";-;-;1;-;2;-;-;1;-;-;-;-;4
"120033 MANCIO LIMA";15;33;13;22;17;14;6;5;3;-;-;2;130
"120034 MANOEL URBANO";-;-;1;1;2;-;-;1;-;37;5;-;47
"120035 MARECHAL THAUMATURGO";-;1;-;2;-;-;1;1;1;1;-;2;9
"120038 PLACIDO DE CASTRO";2;-;5;-;-;-;1;3;-;-;-;-;11
"120039 PORTO WALTER";-;-;2;-;-;-;-;-;-;-;-;1;3
"120040 RIO BRANCO";97;61;672;141;73;54;49;21;17;22;38;94;1339
"120042 RODRIGUES ALVES";3;5;8;4;10;2;1;1;-;1;-;-;35
"120043 SANTA ROSA DO PURUS";-;-;-;2;-;-;3;-;-;-;-;-;5
"120045 SENADOR GUIOMARD";-;1;10;1;2;1;2;1;2;1;-;-;21
"120050 SENA MADUREIRA";-;-;2;-;2;-;-;-;-;3;1;-;8
"120060 TARAUACA";3;9;14;29;14;3;-;-;-;-;2;-;74
"120070 XAPURI";1;-;3;-;3;-;-;-;3;-;-;2;12
"120080 PORTO ACRE";2;3;20;-;-;2;-;-;-;3;1;6;37
" MUNICIPIO IGNORADO - AM";-;-;5;4;-;1;-;-;-;-;-;-;10
"130002 ALVARAES";-;-;29;45;11;4;1;2;1;-;4;-;97
"130006 AMATURA";-;-;-;-;-;-;-;-;-;-;1;-;1
"130008 ANAMA";-;-;-;-;-;-;-;-;-;1;-;-;1
"130020 ATALAIA DO NORTE";-;-;-;-;-;1;-;-;-;-;-;-;1
"130030 AUTAZES";-;-;-;-;-;-;-;2;-;-;-;-;2
"130040 BARCELOS";-;-;-;-;-;-;-;1;-;-;-;-;1
"130050 BARREIRINHA";-;-;1;-;-;-;-;1;-;-;-;-;2
"130063 BERURI";-;1;1;-;1;1;2;-;1;-;-;-;7
"130070 BOCA DO ACRE";-;2;4;-;1;-;3;-;2;-;2;-;14
"130080 BORBA";30;26;27;1;22;2;12;13;4;7;6;1;151
"130090 CANUTAMA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130100 CARAUARI";5;-;-;6;3;4;11;8;-;1;1;1;40
"130110 CAREIRO";-;-;-;-;-;-;-;-;-;1;-;1;2
"130120 COARI";2;6;5;4;5;14;17;5;1;4;-;4;67
"130130 CODAJAS";-;-;-;-;-;-;1;-;-;-;-;-;1
"130140 EIRUNEPE";1;-;-;-;-;-;1;1;-;-;-;-;3
"130150 ENVIRA";-;1;-;-;1;-;-;-;-;-;-;-;2
"130165 GUAJARA";-;-;-;1;4;-;-;1;1;-;-;-;7
"130170 HUMAITA";35;128;20;32;10;-;-;-;1;1;-;-;227
"130180 IPIXUNA";-;-;4;48;-;-;-;1;-;-;-;1;54
"130185 IRANDUBA";-;4;1;1;-;6;3;1;1;-;2;-;19
"130190 ITACOATIARA";-;-;6;7;7;4;-;1;1;-;-;-;26
"130220 JURUA";-;-;-;1;-;-;-;-;-;2;2;-;5
