2010
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/acgrbr.def
Work Accident
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"220551 JUAZEIRO DO PIAUI";3;1;1;3;2;4;2;1;1;1;4;1;24
"220552 JULIO BORGES";-;1;2;-;-;-;2;2;4;2;-;-;13
"220553 JUREMA";-;2;-;-;-;1;1;-;-;1;-;-;5
"220554 LAGOINHA DO PIAUI";-;-;-;-;-;-;-;1;-;1;1;-;3
"220555 LAGOA ALEGRE";3;2;1;3;3;1;2;2;1;1;3;2;24
"220556 LAGOA DO BARRO DO PIAUI";2;3;2;1;1;1;-;1;1;3;4;4;23
"220557 LAGOA DE SAO FRANCISCO";1;-;-;-;1;-;2;3;2;-;-;-;9
"220558 LAGOA DO PIAUI";-;-;1;-;-;1;1;1;-;3;4;2;13
"220559 LAGOA DO SITIO";-;-;1;-;-;1;1;2;3;-;-;-;8
"220560 LANDRI SALES";2;-;-;2;1;-;1;6;-;-;-;-;12
"220570 LUIS CORREIA";3;1;3;1;5;2;3;8;4;3;3;-;36
"220580 LUZILANDIA";1;4;10;3;3;2;4;2;2;4;1;1;37
"220585 MADEIRO";-;1;2;-;2;2;-;2;2;-;1;1;13
"220590 MANOEL EMIDIO";-;-;2;-;1;-;3;-;4;2;1;-;13
"220595 MARCOLANDIA";-;-;1;2;1;1;-;1;1;-;1;2;10
"220600 MARCOS PARENTE";1;-;2;1;1;2;1;5;2;3;3;2;23
"220605 MASSAPE DO PIAUI";2;-;-;-;-;-;-;2;-;1;3;-;8
"220610 MATIAS OLIMPIO";-;-;1;-;-;2;-;1;1;1;-;1;7
"220620 MIGUEL ALVES";7;2;6;3;1;4;7;10;4;12;5;6;67
"220630 MIGUEL LEAO";2;-;-;2;-;-;-;-;-;4;-;-;8
"220635 MILTON BRANDAO";-;1;-;-;-;-;1;-;1;-;-;-;3
"220640 MONSENHOR GIL";3;-;6;1;6;1;4;1;5;3;4;1;35
"220650 MONSENHOR HIPOLITO";-;2;1;1;3;1;-;2;-;3;3;4;20
"220660 MONTE ALEGRE DO PIAUI";1;3;2;3;3;2;1;4;3;1;3;2;28
"220665 MORRO CABECA NO TEMPO";-;1;1;1;1;-;-;1;1;-;-;-;6
"220667 MORRO DO CHAPEU DO PIAUI";-;3;1;-;-;-;-;-;1;-;-;-;5
"220669 MURICI DOS PORTELAS";1;-;-;-;-;-;3;1;1;-;-;1;7
"220670 NAZARE DO PIAUI";1;-;1;2;5;4;4;9;3;5;5;1;40
"220672 NAZARIA";3;2;1;2;2;2;8;1;2;4;4;1;32
"220675 NOSSA SENHORA DE NAZARE";3;2;-;-;-;3;2;3;4;-;-;1;18
"220680 NOSSA SENHORA DOS REMEDIOS";2;1;1;1;-;2;2;2;2;1;2;1;17
"220690 NOVO ORIENTE DO PIAUI";-;1;-;2;1;-;-;1;2;1;2;2;12
"220695 NOVO SANTO ANTONIO";-;-;1;1;2;2;1;4;1;1;-;-;13
"220700 OEIRAS";3;7;5;6;3;8;6;6;9;9;7;5;74
"220710 OLHO D'AGUA DO PIAUI";-;-;-;1;-;-;1;2;-;-;-;1;5
"220720 PADRE MARCOS";-;-;1;-;1;-;-;2;1;4;1;1;11
"220730 PAES LANDIM";-;-;1;1;2;-;3;-;2;2;-;-;11
"220735 PAJEU DO PIAUI";-;4;1;-;-;2;-;2;1;1;-;-;11
"220740 PALMEIRA DO PIAUI";-;1;1;-;5;-;3;2;2;1;3;2;20
"220750 PALMEIRAIS";4;2;8;1;2;3;2;3;6;2;2;1;36
"220755 PAQUETA";2;-;-;-;3;2;2;3;-;-;3;4;19
"220760 PARNAGUA";-;3;2;2;1;-;1;-;2;-;2;-;13
"220770 PARNAIBA";61;38;46;34;42;42;56;53;55;68;46;42;583
"220775 PASSAGEM FRANCA DO PIAUI";-;-;-;-;-;-;1;1;-;-;-;-;2
"220777 PATOS DO PIAUI";-;-;-;-;1;2;-;1;2;1;1;1;9
"220779 PAU D'ARCO DO PIAUI";-;1;-;1;2;2;2;-;-;1;-;1;10
"220780 PAULISTANA";6;2;5;7;1;6;6;12;11;8;7;5;76
"220785 PAVUSSU";1;-;1;1;1;1;1;2;1;3;1;1;14
"220790 PEDRO II";6;3;4;5;4;4;3;14;6;7;5;-;61
"220793 PEDRO LAURENTINO";-;-;-;-;-;-;-;-;-;-;1;-;1
"220795 NOVA SANTA RITA";2;1;2;-;1;1;1;3;-;1;1;1;14
"220800 PICOS";32;40;30;30;43;51;49;68;56;73;63;62;597
