Disease Name,Cases,Location Name,Country Code,Region Type,Lattitude,Longitude,Region Boundary,TimeStampStart,TimeStampEnd,Source File
Dysentery,1,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Encephalitis,0,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Enteric Fever,0,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Food Poisoning,0,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Leptospirosis,8,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Typhus Fever,0,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Viral Hepatitis,0,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Human Rabies,0,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Chickenpox,6,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Meningitis,0,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Leishmaniasis,0,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Dengue Fever,50,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Dysentery,0,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Encephalitis,0,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Enteric Fever,0,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Food Poisoning,0,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Leptospirosis,3,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Typhus Fever,2,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Viral Hepatitis,0,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Human Rabies,0,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Chickenpox,0,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
Meningitis,0,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",24-Dec-2022 00:00:00,30-Dec-2022 00:00:00,Data/Error File/en_640feff0076ea_Vol_50_no_01-english.pdf
