2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Total"
"130040 BARCELOS";1;4;-;4;3;4;6;7;11;12;16;1;69
"130060 BENJAMIN CONSTANT";-;1;1;2;5;14;19;32;42;86;6;-;208
"130063 BERURI";-;-;1;1;6;3;6;11;20;18;2;-;68
"130068 BOA VISTA DO RAMOS";1;-;-;-;-;2;-;1;-;-;-;-;4
"130070 BOCA DO ACRE";3;5;1;-;-;-;-;-;-;-;-;-;9
"130080 BORBA";-;-;-;2;-;-;1;1;1;15;37;9;66
"130083 CAAPIRANGA";-;-;-;-;-;-;-;1;-;-;-;-;1
"130090 CANUTAMA";-;-;1;7;7;22;41;43;20;11;1;-;153
"130100 CARAUARI";-;-;-;5;5;4;6;10;37;23;6;-;96
"130110 CAREIRO";-;2;1;2;-;1;-;-;-;-;-;-;6
"130115 CAREIRO DA VARZEA";-;-;-;2;1;-;-;-;1;-;-;-;4
"130120 COARI";23;22;43;67;98;137;95;84;67;46;14;-;696
"130130 CODAJAS";6;1;6;27;59;16;8;43;120;105;57;6;454
"130140 EIRUNEPE";-;-;-;1;1;3;3;9;19;59;41;-;136
"130150 ENVIRA";4;7;18;21;37;29;46;44;31;18;15;-;270
"130165 GUAJARA";4;-;4;4;3;9;7;8;8;7;2;-;56
"130170 HUMAITA";2;1;4;3;4;-;1;1;5;-;-;-;21
"130180 IPIXUNA";-;-;3;-;2;2;7;7;5;12;12;3;53
"130185 IRANDUBA";2;2;3;-;4;1;2;1;-;-;-;-;15
"130190 ITACOATIARA";-;1;2;5;10;9;16;15;10;8;13;4;93
"130210 JAPURA";2;7;23;14;6;15;26;25;12;12;1;-;143
"130220 JURUA";-;-;-;-;-;-;1;-;2;-;1;-;4
"130230 JUTAI";15;9;20;15;15;8;27;10;28;36;21;1;205
"130240 LABREA";78;72;104;63;54;58;59;49;35;22;21;-;615
"130250 MANACAPURU";1;3;3;7;12;16;21;15;15;12;26;10;141
"130255 MANAQUIRI";1;1;-;-;-;-;-;1;-;-;-;-;3
"130260 MANAUS";534;453;493;248;244;227;225;222;241;199;200;80;3366
