2011
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;82;49;21;10;5;-;12;18;8;9;28;14;256
"110002 ARIQUEMES";-;7;8;12;7;4;3;2;1;1;3;6;20;74
"110003 CABIXI";-;9;22;17;16;14;4;2;8;1;1;6;7;107
"110004 CACOAL";-;54;113;125;80;48;29;18;14;7;12;27;24;551
"110005 CEREJEIRAS";-;173;355;360;67;11;7;9;2;7;2;15;51;1059
"110006 COLORADO DO OESTE";-;103;38;80;53;19;12;7;4;3;3;5;23;350
"110007 CORUMBIARA";-;15;31;47;26;-;3;2;1;-;-;1;10;136
"110008 COSTA MARQUES";-;41;98;81;35;11;3;1;2;2;2;59;62;397
"110009 ESPIGAO D'OESTE";-;58;275;245;60;19;8;5;10;20;36;65;42;843
"110010 GUAJARA-MIRIM";-;228;172;178;98;76;38;16;21;31;38;92;130;1118
"110011 JARU";-;102;96;47;49;35;25;14;5;17;13;20;16;439
"110012 JI-PARANA";-;169;43;8;17;23;6;1;20;21;13;67;83;471
"110013 MACHADINHO D'OESTE";-;16;9;19;7;2;10;10;3;6;8;16;23;129
"110014 NOVA BRASILANDIA D'OESTE";-;87;64;106;96;18;2;1;2;1;1;2;5;385
"110015 OURO PRETO DO OESTE";-;9;11;21;11;12;5;3;6;1;2;1;2;84
"110018 PIMENTA BUENO";-;37;13;-;5;1;1;3;4;2;1;5;11;83
"110020 PORTO VELHO";-;443;234;171;72;28;20;16;18;18;21;70;82;1193
"110025 PRESIDENTE MEDICI";-;17;89;79;79;19;3;5;4;2;4;8;4;313
"110026 RIO CRESPO";-;3;1;6;2;-;1;-;-;1;1;-;-;15
"110028 ROLIM DE MOURA";-;155;93;56;16;12;5;5;18;1;14;28;75;478
"110029 SANTA LUZIA D'OESTE";-;7;3;11;1;1;-;-;-;2;1;-;1;27
"110030 VILHENA";-;373;440;368;235;224;223;126;81;26;83;104;143;2426
"110032 SAO MIGUEL DO GUAPORE";-;111;50;11;6;5;2;1;-;1;3;9;45;244
"110033 NOVA MAMORE";-;6;6;2;18;36;10;1;2;7;2;10;12;112
"110034 ALVORADA D'OESTE";-;320;203;159;50;27;14;21;4;7;11;17;52;885
"110037 ALTO ALEGRE DOS PARECIS";-;31;84;39;29;8;3;1;4;1;4;17;10;231
"110040 ALTO PARAISO";-;3;9;18;20;33;14;10;6;2;7;16;12;150
"110045 BURITIS";-;22;41;39;42;18;17;18;7;7;6;13;11;241
"110050 NOVO HORIZONTE DO OESTE";-;80;39;46;23;15;-;5;1;2;2;2;13;228
"110060 CACAULANDIA";-;1;-;-;1;-;-;-;1;-;-;1;-;4
"110070 CAMPO NOVO DE RONDONIA";-;15;40;27;26;14;3;-;-;-;-;5;8;138
"110080 CANDEIAS DO JAMARI";-;13;13;3;-;1;1;1;1;1;-;-;1;35
"110090 CASTANHEIRAS";-;1;3;1;-;-;-;2;-;-;-;-;-;7
"110092 CHUPINGUAIA";-;29;23;8;7;5;4;12;7;4;18;4;4;125
"110094 CUJUBIM";-;-;1;-;-;1;-;-;1;1;1;2;-;7
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;7;11;6;1;1;-;1;12;7;3;-;49
"110110 ITAPUA DO OESTE";-;6;11;5;4;8;10;8;10;6;4;5;4;81
"110120 MINISTRO ANDREAZZA";-;40;39;20;8;8;-;-;-;-;-;1;7;123
"110130 MIRANTE DA SERRA";-;33;65;68;10;26;2;2;-;-;1;4;19;230
"110140 MONTE NEGRO";-;39;23;7;5;4;1;4;-;-;1;3;6;93
"110143 NOVA UNIAO";-;10;22;15;6;-;1;1;-;-;-;3;11;69
"110145 PARECIS";-;10;21;26;6;2;-;-;-;-;-;2;7;74
"110146 PIMENTEIRAS DO OESTE";-;33;27;15;11;3;-;-;-;-;-;3;-;92
"110147 PRIMAVERA DE RONDONIA";-;8;1;-;-;-;-;-;-;-;-;2;-;11
"110148 SAO FELIPE D'OESTE";-;85;27;15;7;10;18;18;23;11;20;35;71;340
"110149 SAO FRANCISCO DO GUAPORE";-;130;129;55;14;7;2;3;1;1;2;12;13;369
"110150 SERINGUEIRAS";-;22;25;59;29;-;-;-;-;-;-;-;2;137
"110155 TEIXEIROPOLIS";-;18;15;1;-;-;-;-;-;1;3;2;8;48
"110160 THEOBROMA";-;5;2;1;1;1;-;-;-;-;-;-;1;11
"110170 URUPA";-;93;71;59;15;-;-;-;-;-;-;4;7;249
"110175 VALE DO ANARI";-;21;14;4;1;-;-;-;-;-;12;8;5;65
"110180 VALE DO PARAISO";-;-;2;2;-;1;-;-;-;2;-;-;1;8
"120001 ACRELANDIA";-;97;189;155;56;16;9;5;-;-;-;2;8;537
"120005 ASSIS BRASIL";-;61;42;31;9;11;6;1;-;3;2;32;28;226
"120010 BRASILEIA";-;96;75;63;27;10;4;6;8;11;46;108;113;567
"120013 BUJARI";-;1;1;-;-;-;-;-;-;1;-;-;1;4
"120017 CAPIXABA";-;37;34;55;51;26;5;-;2;1;3;17;6;237
"120020 CRUZEIRO DO SUL";-;36;40;20;6;3;4;2;2;2;2;2;11;130
"120025 EPITACIOLANDIA";-;5;13;7;1;-;-;3;-;5;3;9;-;46
"120030 FEIJO";-;2;6;68;17;-;1;1;-;-;2;-;2;99
"120032 JORDAO";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"120033 MANCIO LIMA";-;2;1;-;-;-;-;-;-;-;-;-;1;4
"120035 MARECHAL THAUMATURGO";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"120038 PLACIDO DE CASTRO";-;98;45;22;2;2;-;3;1;1;3;50;114;341
"120040 RIO BRANCO";-;9233;5339;3102;1345;441;186;129;99;80;141;304;1169;21568
"120042 RODRIGUES ALVES";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"120043 SANTA ROSA DO PURUS";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"120045 SENADOR GUIOMARD";-;155;16;9;3;2;-;-;1;-;1;1;12;200
"120050 SENA MADUREIRA";-;16;1;45;32;7;9;7;2;4;12;23;1;159
"120060 TARAUACA";-;4;3;-;2;-;-;1;-;-;1;-;-;11
"120070 XAPURI";-;15;10;12;6;15;27;19;2;3;-;3;21;133
"120080 PORTO ACRE";-;6;5;1;-;-;-;-;-;-;-;1;-;13
"130002 ALVARAES";-;17;5;-;-;-;-;-;-;-;-;-;-;22
"130006 AMATURA";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"130008 ANAMA";-;4;9;1;1;1;-;-;-;-;-;-;-;16
"130010 ANORI";-;6;5;8;1;1;-;-;-;-;2;2;-;25
"130014 APUI";-;-;1;2;1;3;1;-;-;-;-;-;-;8
"130020 ATALAIA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"130030 AUTAZES";-;8;9;5;-;-;-;-;-;-;-;-;-;22
"130040 BARCELOS";-;75;42;49;18;29;19;8;11;21;8;11;13;304
"130050 BARREIRINHA";-;-;4;-;-;-;-;-;-;-;-;-;-;4
"130060 BENJAMIN CONSTANT";-;4;2;2;1;-;-;-;-;-;-;3;5;17
"130070 BOCA DO ACRE";-;151;105;75;7;1;1;-;1;2;-;4;7;354
"130080 BORBA";-;16;42;30;8;18;20;8;27;28;24;15;26;262
"130100 CARAUARI";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130110 CAREIRO";-;99;141;69;25;14;5;7;-;1;1;3;10;375
"130115 CAREIRO DA VARZEA";-;-;-;1;-;-;-;-;-;-;-;1;-;2
"130120 COARI";-;152;408;279;158;64;30;23;18;10;9;25;60;1236
"130130 CODAJAS";-;67;183;89;3;-;1;-;-;1;-;-;4;348
"130140 EIRUNEPE";-;2;1;1;-;-;-;-;-;-;-;-;-;4
"130150 ENVIRA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"130160 FONTE BOA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130165 GUAJARA";-;1;1;1;-;1;-;-;-;-;-;-;-;4
"130170 HUMAITA";-;198;85;64;21;7;10;13;5;6;17;24;16;466
"130180 IPIXUNA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130185 IRANDUBA";-;-;2;3;3;-;-;-;-;-;-;-;-;8
"130190 ITACOATIARA";-;144;246;440;268;44;13;1;2;3;3;1;14;1179
"130195 ITAMARATI";-;-;-;2;-;-;-;-;-;1;-;-;-;3
"130210 JAPURA";-;13;5;1;2;-;3;-;-;-;-;-;-;24
"130220 JURUA";-;3;1;-;1;1;-;-;-;-;-;-;-;6
"130230 JUTAI";-;2;11;5;-;-;-;-;-;-;-;-;-;18
"130240 LABREA";-;196;190;68;13;7;4;1;-;2;7;5;6;499
"130250 MANACAPURU";-;658;593;331;44;39;25;1;1;-;-;7;49;1748
"130255 MANAQUIRI";-;6;17;7;7;1;-;-;-;-;-;-;-;38
"130260 MANAUS";-;10646;23518;20401;7127;3289;1952;1221;835;603;543;714;1632;72481
"130270 MANICORE";-;17;65;96;41;2;3;2;-;8;8;176;123;541
"130280 MARAA";-;15;9;5;2;1;-;1;-;-;-;1;2;36
"130290 MAUES";-;7;28;48;38;15;9;2;-;1;1;2;-;151
"130300 NHAMUNDA";-;3;1;-;-;-;-;-;-;-;-;-;-;4
"130310 NOVA OLINDA DO NORTE";-;26;136;61;5;1;-;-;-;1;-;-;-;230
"130320 NOVO AIRAO";-;21;53;26;14;2;1;6;1;-;2;1;2;129
"130330 NOVO ARIPUANA";-;56;111;137;67;24;18;9;3;3;3;5;4;440
"130340 PARINTINS";-;34;37;20;7;4;1;1;2;3;-;1;1;111
"130353 PRESIDENTE FIGUEIREDO";-;2;13;4;3;5;-;-;-;1;1;-;-;29
"130356 RIO PRETO DA EVA";-;4;3;1;-;-;-;-;-;-;-;-;1;9
"130370 SANTO ANTONIO DO ICA";-;20;2;3;10;-;-;-;1;-;-;-;-;36
"130380 SAO GABRIEL DA CACHOEIRA";-;313;162;163;81;69;45;63;60;83;87;102;115;1343
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"130406 TABATINGA";-;184;37;25;32;83;38;11;29;32;115;182;195;963
"130410 TAPAUA";-;1;4;1;-;-;-;-;-;-;-;-;-;6
"130420 TEFE";-;1036;465;208;87;101;153;96;34;5;21;27;74;2307
"130426 UARINI";-;-;-;3;-;-;-;-;-;-;-;-;-;3
"130440 URUCURITUBA";-;-;4;3;-;1;-;-;-;-;-;-;-;8
"140002 AMAJARI";-;11;3;13;6;17;8;15;6;4;10;6;1;100
"140005 ALTO ALEGRE";-;3;2;1;3;6;21;22;11;7;1;2;1;80
"140010 BOA VISTA";-;285;148;169;131;140;195;242;248;150;114;99;147;2068
"140015 BONFIM";-;6;10;11;9;19;7;8;3;8;5;16;3;105
"140017 CANTA";-;6;3;8;11;1;18;35;23;5;-;5;-;115
"140020 CARACARAI";-;25;45;57;26;83;43;9;8;13;16;20;10;355
"140023 CAROEBE";-;1;3;28;20;23;6;1;2;2;2;1;2;91
"140028 IRACEMA";-;2;1;20;19;68;52;30;21;10;3;2;10;238
"140030 MUCAJAI";-;1;4;5;18;14;15;8;11;2;1;4;2;85
"140040 NORMANDIA";-;-;2;9;3;3;1;2;1;4;4;1;1;31
"140045 PACARAIMA";-;4;23;24;21;38;8;7;7;4;7;1;7;151
"140047 RORAINOPOLIS";-;11;13;27;37;61;90;35;42;49;51;35;34;485
"140050 SAO JOAO DA BALIZA";-;11;7;27;14;12;4;1;2;-;3;5;1;87
"140060 SAO LUIZ";-;1;28;90;37;19;2;1;1;1;-;-;-;180
"140070 UIRAMUTA";-;-;-;-;-;5;-;3;70;30;4;-;2;114
"150010 ABAETETUBA";-;134;122;70;47;18;10;3;18;18;11;21;55;527
"150013 ABEL FIGUEIREDO";-;13;9;8;6;6;5;2;2;3;8;10;15;87
"150020 ACARA";-;18;18;11;10;4;-;1;-;-;-;3;11;76
"150034 AGUA AZUL DO NORTE";-;4;7;23;24;9;3;-;2;1;2;5;-;80
"150040 ALENQUER";-;7;9;1;7;2;-;-;-;-;1;-;3;30
"150060 ALTAMIRA";-;452;635;663;254;159;83;58;61;83;55;92;81;2676
"150070 ANAJAS";-;1;-;1;10;-;-;-;-;-;-;-;-;12
"150080 ANANINDEUA";-;191;201;216;97;51;35;28;35;46;51;95;97;1143
"150085 ANAPU";-;6;21;67;25;3;2;2;3;4;15;25;9;182
"150090 AUGUSTO CORREA";-;3;12;16;8;13;6;5;4;-;2;-;-;69
"150095 AURORA DO PARA";-;1;4;17;7;3;-;-;-;-;-;-;1;33
"150110 BAGRE";-;-;2;-;-;3;2;2;50;3;-;1;1;64
"150120 BAIAO";-;2;3;4;4;3;1;1;2;-;-;-;1;21
"150125 BANNACH";-;4;7;5;20;20;1;-;-;-;-;-;-;57
"150130 BARCARENA";-;49;43;26;26;12;14;11;7;14;18;13;16;249
"150140 BELEM";-;853;916;907;533;335;189;166;187;173;204;341;354;5158
"150145 BELTERRA";-;37;20;31;24;5;1;-;3;1;1;2;1;126
"150150 BENEVIDES";-;47;42;63;25;31;19;10;8;7;6;11;16;285
"150157 BOM JESUS DO TOCANTINS";-;9;12;11;2;1;-;-;-;-;2;8;1;46
"150160 BONITO";-;-;-;-;-;-;-;-;-;1;2;-;-;3
"150170 BRAGANCA";-;26;41;31;37;25;25;25;26;10;20;13;9;288
"150172 BRASIL NOVO";-;54;60;43;97;53;11;5;-;2;1;9;17;352
"150175 BREJO GRANDE DO ARAGUAIA";-;16;18;4;4;2;3;-;-;-;1;-;-;48
"150178 BREU BRANCO";-;45;208;201;173;26;1;-;2;-;2;5;30;693
"150180 BREVES";-;2;8;6;4;2;-;8;2;4;4;7;-;47
"150190 BUJARU";-;2;-;7;2;-;2;1;-;-;-;-;-;14
"150195 CACHOEIRA DO PIRIA";-;8;21;19;7;23;1;6;1;1;1;3;-;91
"150210 CAMETA";-;88;123;91;24;29;11;11;31;25;4;9;24;470
"150215 CANAA DOS CARAJAS";-;64;171;111;98;47;5;5;7;7;3;7;7;532
"150220 CAPANEMA";-;36;44;32;17;9;2;8;3;10;9;23;78;271
"150230 CAPITAO POCO";-;6;4;9;8;11;5;5;8;1;2;4;1;64
"150240 CASTANHAL";-;92;71;70;91;61;28;16;18;16;17;20;31;531
"150260 COLARES";-;-;2;-;-;2;-;1;5;1;-;-;-;11
"150270 CONCEICAO DO ARAGUAIA";-;74;131;151;70;32;20;6;8;7;3;8;14;524
"150275 CONCORDIA DO PARA";-;11;29;16;4;1;1;1;1;3;-;1;-;68
"150276 CUMARU DO NORTE";-;5;8;8;28;24;1;-;-;-;-;1;3;78
"150277 CURIONOPOLIS";-;6;35;59;47;15;1;-;1;-;-;1;-;165
"150290 CURUCA";-;3;6;6;2;5;9;6;2;1;1;-;-;41
"150293 DOM ELISEU";-;18;35;22;15;14;6;4;4;7;3;4;6;138
"150295 ELDORADO DOS CARAJAS";-;13;29;60;36;6;2;-;-;5;1;6;11;169
"150304 FLORESTA DO ARAGUAIA";-;8;17;15;11;5;-;-;-;-;-;2;-;58
"150307 GARRAFAO DO NORTE";-;1;-;-;-;1;1;-;-;-;1;3;1;8
"150309 GOIANESIA DO PARA";-;91;158;50;27;20;6;2;-;2;3;-;22;381
"150310 GURUPA";-;-;-;-;-;-;5;2;-;-;6;16;-;29
"150320 IGARAPE-ACU";-;9;23;22;13;11;4;11;3;4;7;5;3;115
"150330 IGARAPE-MIRI";-;21;13;15;4;4;-;-;3;2;2;-;3;67
"150340 INHANGAPI";-;32;37;13;8;-;3;1;3;2;2;5;4;110
"150345 IPIXUNA DO PARA";-;34;57;41;32;11;7;2;2;2;-;8;8;204
"150350 IRITUIA";-;34;14;16;11;2;6;17;15;13;10;20;15;173
"150360 ITAITUBA";-;242;211;109;59;31;16;14;18;13;22;99;58;892
"150370 ITUPIRANGA";-;84;148;74;33;18;4;7;8;8;8;20;59;471
"150375 JACAREACANGA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150380 JACUNDA";-;67;139;134;42;12;4;1;-;3;2;6;5;415
"150390 JURUTI";-;203;159;90;9;3;4;1;1;5;5;17;33;530
