2008
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;116;67;35;23;13;10;28;34;41;71;167;115;720
"110002 ARIQUEMES";-;167;250;468;90;24;15;10;7;6;13;24;67;1141
"110003 CABIXI";-;42;50;45;24;19;5;2;8;1;1;8;17;222
"110004 CACOAL";-;1034;557;395;206;236;195;156;99;62;143;306;614;4003
"110005 CEREJEIRAS";-;253;466;522;151;41;22;16;5;11;2;23;76;1588
"110006 COLORADO DO OESTE";-;173;83;171;122;60;41;21;20;14;29;115;296;1145
"110007 CORUMBIARA";-;19;40;66;27;-;4;2;1;-;-;1;10;170
"110008 COSTA MARQUES";-;128;323;130;51;20;5;1;2;2;3;59;75;799
"110009 ESPIGAO D'OESTE";-;381;504;405;143;88;31;18;17;26;57;135;403;2208
"110010 GUAJARA-MIRIM";-;929;595;706;593;228;94;35;46;35;101;434;545;4341
"110011 JARU";-;547;261;157;122;58;36;34;24;48;317;1321;936;3861
"110012 JI-PARANA";-;497;202;255;184;54;25;4;52;65;111;332;458;2239
"110013 MACHADINHO D'OESTE";-;155;256;202;56;40;49;33;28;37;100;416;234;1606
"110014 NOVA BRASILANDIA D'OESTE";-;373;294;245;146;47;16;14;7;4;11;17;162;1336
"110015 OURO PRETO DO OESTE";-;224;127;214;47;40;19;17;13;10;17;126;303;1157
"110018 PIMENTA BUENO";-;671;511;463;203;48;22;14;41;44;136;205;346;2704
"110020 PORTO VELHO";-;4671;2582;651;238;120;76;62;41;74;131;628;1751;11025
"110025 PRESIDENTE MEDICI";-;98;209;162;162;46;6;5;6;6;5;19;47;771
"110026 RIO CRESPO";-;10;3;16;10;1;4;1;1;1;2;1;2;52
"110028 ROLIM DE MOURA";-;980;440;319;109;28;10;13;23;7;41;297;644;2911
"110029 SANTA LUZIA D'OESTE";-;33;15;28;13;4;2;1;-;4;8;26;128;262
"110030 VILHENA";-;947;978;1027;622;478;299;151;87;41;119;220;363;5332
"110032 SAO MIGUEL DO GUAPORE";-;244;252;155;144;78;11;4;3;4;16;27;97;1035
"110033 NOVA MAMORE";-;98;49;42;35;50;12;2;3;7;4;16;31;349
"110034 ALVORADA D'OESTE";-;381;300;186;52;36;18;21;4;7;15;34;97;1151
"110037 ALTO ALEGRE DOS PARECIS";-;70;94;71;68;20;9;4;11;8;14;57;50;476
"110040 ALTO PARAISO";-;8;22;49;43;33;14;12;12;15;12;34;17;271
"110045 BURITIS";-;424;201;159;64;26;22;23;9;12;31;278;348;1597
"110050 NOVO HORIZONTE DO OESTE";-;238;115;87;31;17;3;9;36;9;12;59;145;761
"110060 CACAULANDIA";-;3;2;20;1;-;1;-;1;-;-;2;4;34
"110070 CAMPO NOVO DE RONDONIA";-;28;46;31;29;16;3;-;-;-;-;5;8;166
"110080 CANDEIAS DO JAMARI";-;82;40;16;12;12;4;4;3;1;2;3;29;208
"110090 CASTANHEIRAS";-;3;3;7;3;-;-;2;-;-;-;-;-;18
"110092 CHUPINGUAIA";-;46;64;47;48;15;14;19;10;7;20;4;5;299
"110094 CUJUBIM";-;56;13;11;4;1;-;-;1;4;1;2;6;99
"110100 GOVERNADOR JORGE TEIXEIRA";-;30;19;19;12;1;1;1;3;12;19;80;83;280
"110110 ITAPUA DO OESTE";-;79;55;31;22;20;30;16;13;7;5;8;31;317
"110120 MINISTRO ANDREAZZA";-;80;57;22;8;8;-;-;-;4;-;25;100;304
"110130 MIRANTE DA SERRA";-;108;113;148;86;29;3;6;12;10;62;217;50;844
"110140 MONTE NEGRO";-;126;64;20;11;8;4;14;6;1;2;38;59;353
"110143 NOVA UNIAO";-;33;34;20;16;6;3;1;2;1;67;122;169;474
"110145 PARECIS";-;18;23;33;10;2;-;-;-;-;-;2;8;96
"110146 PIMENTEIRAS DO OESTE";-;34;27;15;11;3;-;-;-;-;-;3;3;96
"110147 PRIMAVERA DE RONDONIA";-;48;19;9;2;3;1;-;-;-;1;7;8;98
"110148 SAO FELIPE D'OESTE";-;140;90;25;12;10;27;26;36;17;32;46;91;552
"110149 SAO FRANCISCO DO GUAPORE";-;278;274;135;40;28;12;6;3;6;5;30;45;862
"110150 SERINGUEIRAS";-;130;115;110;54;1;1;-;-;-;-;3;7;421
"110155 TEIXEIROPOLIS";-;90;108;61;11;1;2;-;5;2;3;2;42;327
"110160 THEOBROMA";-;22;14;5;1;2;2;-;1;-;2;18;22;89
"110170 URUPA";-;320;102;119;41;2;-;-;-;1;1;14;71;671
"110175 VALE DO ANARI";-;35;23;27;5;-;3;-;7;7;37;73;39;256
"110180 VALE DO PARAISO";-;10;13;16;16;2;-;2;-;2;-;5;8;74
"120001 ACRELANDIA";-;142;324;196;66;16;9;5;1;3;20;52;78;912
"120005 ASSIS BRASIL";-;113;70;118;51;29;23;6;2;11;9;38;36;506
"120010 BRASILEIA";-;378;339;262;183;93;88;44;54;47;120;336;529;2473
"120013 BUJARI";-;3;1;-;-;1;-;-;-;1;-;-;1;7
"120017 CAPIXABA";-;107;87;77;66;27;6;2;3;2;4;19;41;441
"120020 CRUZEIRO DO SUL";-;54;60;28;9;5;5;2;2;7;3;5;21;201
"120025 EPITACIOLANDIA";-;38;44;35;11;22;5;5;1;8;12;46;76;303
"120030 FEIJO";-;2;7;68;17;-;1;1;-;-;2;-;2;100
"120032 JORDAO";-;-;-;1;-;-;-;-;-;-;-;1;2;4
"120033 MANCIO LIMA";-;3;1;1;-;-;-;-;-;-;-;-;1;6
"120035 MARECHAL THAUMATURGO";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"120038 PLACIDO DE CASTRO";-;101;50;23;3;3;-;6;1;1;3;54;118;363
"120040 RIO BRANCO";-;15794;18900;14188;5712;2644;1321;1094;651;839;1358;3991;8283;74775
"120042 RODRIGUES ALVES";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"120043 SANTA ROSA DO PURUS";-;3;2;2;-;1;-;-;-;-;-;-;-;8
"120045 SENADOR GUIOMARD";-;174;38;38;8;4;1;2;1;-;1;5;21;293
"120050 SENA MADUREIRA";-;100;55;86;44;24;12;9;6;8;39;70;62;515
"120060 TARAUACA";-;5;3;4;2;2;-;1;-;-;1;-;-;18
"120070 XAPURI";-;135;98;53;13;26;33;21;2;4;8;8;63;464
"120080 PORTO ACRE";-;17;27;54;4;5;-;-;1;-;-;8;1;117
"130002 ALVARAES";-;17;9;-;-;-;-;3;-;-;-;1;-;30
"130006 AMATURA";-;2;-;-;-;-;-;-;-;-;-;-;-;2
