2008
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130008 ANAMA";-;4;9;4;1;1;-;-;-;-;-;-;-;19
"130010 ANORI";-;6;5;8;1;1;-;1;2;-;2;2;-;28
"130014 APUI";-;-;6;7;2;4;2;-;1;1;-;1;-;24
"130020 ATALAIA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;1;1;2
"130030 AUTAZES";-;8;9;5;-;1;-;1;-;-;-;-;-;24
"130040 BARCELOS";-;111;52;64;22;29;24;45;43;76;122;141;54;783
"130050 BARREIRINHA";-;-;4;-;1;1;-;-;-;-;-;-;-;6
"130060 BENJAMIN CONSTANT";-;5;2;2;1;-;1;-;-;-;-;3;5;19
"130070 BOCA DO ACRE";-;154;112;79;12;7;6;4;1;2;-;4;20;401
"130080 BORBA";-;40;75;64;26;23;20;13;27;29;24;15;26;382
"130083 CAAPIRANGA";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"130100 CARAUARI";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130110 CAREIRO";-;100;143;84;49;61;16;7;-;1;3;6;24;494
"130115 CAREIRO DA VARZEA";-;-;-;1;-;-;-;-;-;-;-;1;-;2
"130120 COARI";-;262;457;319;183;117;73;292;150;58;110;189;407;2617
"130130 CODAJAS";-;85;194;94;10;19;27;45;32;3;2;16;25;552
"130140 EIRUNEPE";-;2;1;1;2;-;1;-;-;-;-;-;1;8
"130150 ENVIRA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"130160 FONTE BOA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130165 GUAJARA";-;1;1;1;-;1;-;-;-;-;-;-;-;4
"130170 HUMAITA";-;544;265;184;67;45;26;34;43;46;76;160;191;1681
"130180 IPIXUNA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130185 IRANDUBA";-;-;2;3;3;-;-;-;-;-;-;-;1;9
"130190 ITACOATIARA";-;209;369;512;320;59;14;1;2;3;28;7;27;1551
"130195 ITAMARATI";-;-;-;2;-;-;-;-;-;1;-;-;-;3
"130210 JAPURA";-;13;5;1;2;-;3;-;-;1;1;-;-;26
"130220 JURUA";-;3;1;-;1;1;-;-;-;-;-;-;-;6
"130230 JUTAI";-;2;11;5;-;-;-;-;-;-;-;-;-;18
"130240 LABREA";-;342;248;122;36;31;8;2;-;3;7;40;122;961
"130250 MANACAPURU";-;664;604;349;59;42;27;3;8;-;-;7;56;1819
"130255 MANAQUIRI";-;7;20;8;7;1;-;-;-;-;-;-;-;43
"130260 MANAUS";-;11943;25358;22646;9021;4031;2265;1569;1156;915;816;1476;2722;83918
"130270 MANICORE";-;17;65;107;51;22;3;3;1;8;9;210;154;650
"130280 MARAA";-;15;9;5;2;1;-;1;-;-;-;1;2;36
"130290 MAUES";-;7;28;49;42;51;69;51;10;2;2;2;-;313
"130300 NHAMUNDA";-;3;1;-;-;-;-;-;-;-;-;-;-;4
"130310 NOVA OLINDA DO NORTE";-;26;138;80;52;21;19;53;33;6;2;3;1;434
"130320 NOVO AIRAO";-;22;53;28;21;2;1;7;1;-;3;7;26;171
"130330 NOVO ARIPUANA";-;60;144;178;108;43;47;37;22;5;24;20;13;701
"130340 PARINTINS";-;157;72;48;14;10;1;3;5;4;5;96;97;512
"130353 PRESIDENTE FIGUEIREDO";-;7;14;9;5;7;24;1;6;2;2;-;2;79
"130356 RIO PRETO DA EVA";-;6;7;11;7;1;-;-;-;-;-;-;1;33
"130370 SANTO ANTONIO DO ICA";-;20;2;3;10;-;-;-;1;-;-;-;-;36
"130380 SAO GABRIEL DA CACHOEIRA";-;314;162;164;116;109;313;166;178;110;96;115;120;1963
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"130400 SILVES";-;-;-;-;-;-;-;-;-;-;-;-;3;3
"130406 TABATINGA";-;185;37;25;33;84;40;16;29;32;115;182;195;973
"130410 TAPAUA";-;1;5;1;-;-;-;-;-;-;-;-;-;7
"130420 TEFE";-;1036;470;208;90;101;153;97;38;28;67;87;238;2613
"130426 UARINI";-;-;-;3;-;-;-;-;-;-;-;-;-;3
"130440 URUCURITUBA";-;-;4;3;-;1;-;-;-;-;-;-;-;8
"140002 AMAJARI";-;12;4;15;8;30;19;22;8;10;13;9;6;156
"140005 ALTO ALEGRE";-;9;8;7;15;33;50;57;20;16;6;8;5;234
"140010 BOA VISTA";-;986;922;1074;1094;1703;2239;1856;1394;885;466;516;593;13728
"140015 BONFIM";-;19;26;21;34;54;74;40;30;22;32;32;15;399
"140017 CANTA";-;27;22;15;37;49;47;79;58;20;7;9;8;378
"140020 CARACARAI";-;50;229;198;111;146;84;13;15;16;19;25;18;924
"140023 CAROEBE";-;52;105;160;53;35;11;41;24;7;4;5;23;520
"140028 IRACEMA";-;11;13;24;33;146;186;125;47;21;8;16;28;658
"140030 MUCAJAI";-;10;29;32;38;53;34;35;22;20;8;18;23;322
"140040 NORMANDIA";-;-;2;9;3;4;1;5;6;6;5;2;1;44
"140045 PACARAIMA";-;19;41;48;70;78;26;18;30;12;19;10;20;391
"140047 RORAINOPOLIS";-;65;127;254;356;234;200;93;97;79;76;44;43;1668
"140050 SAO JOAO DA BALIZA";-;13;39;64;19;30;33;38;15;1;3;5;1;261
"140060 SAO LUIZ";-;1;29;94;178;68;3;2;1;2;-;-;-;378
"140070 UIRAMUTA";-;-;-;-;-;5;1;3;71;31;4;-;2;117
"150010 ABAETETUBA";-;142;133;105;97;54;33;36;103;112;75;93;110;1093
"150013 ABEL FIGUEIREDO";-;32;12;11;11;8;6;5;5;5;12;26;22;155
"150020 ACARA";-;33;48;64;38;21;5;3;5;-;8;15;16;256
"150034 AGUA AZUL DO NORTE";-;14;12;47;54;20;6;-;2;3;3;7;19;187
"150040 ALENQUER";-;9;21;15;20;5;-;2;1;1;2;-;3;79
"150050 ALMEIRIM";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150060 ALTAMIRA";-;667;830;1013;411;248;180;111;135;132;257;317;192;4493
"150070 ANAJAS";-;1;-;1;10;-;-;-;-;-;-;-;-;12
"150080 ANANINDEUA";-;283;301;346;202;155;101;93;104;115;128;239;195;2262
"150085 ANAPU";-;7;21;69;27;17;3;3;5;5;16;25;9;207
"150090 AUGUSTO CORREA";-;23;17;19;9;13;6;5;6;4;4;2;7;115
"150095 AURORA DO PARA";-;11;12;25;11;4;5;-;3;2;3;1;2;79
"150100 AVEIRO";-;3;2;-;1;1;3;1;-;-;-;-;-;11
"150110 BAGRE";-;1;2;-;-;3;2;2;50;3;-;1;1;65
"150120 BAIAO";-;3;6;14;7;3;2;1;2;-;-;-;1;39
"150125 BANNACH";-;45;26;12;39;23;1;2;3;3;31;2;7;194
"150130 BARCARENA";-;67;64;33;44;40;31;24;24;21;23;21;29;421
"150140 BELEM";-;1444;1776;2119;1329;856;644;476;578;491;548;749;670;11680
"150145 BELTERRA";-;56;62;88;57;89;30;28;31;5;6;14;22;488
"150150 BENEVIDES";-;88;78;103;61;63;35;29;45;51;30;55;30;668
"150157 BOM JESUS DO TOCANTINS";-;27;61;42;34;16;13;8;11;4;9;23;12;260
"150160 BONITO";-;-;-;-;-;-;-;-;-;1;2;-;-;3
"150170 BRAGANCA";-;51;66;62;58;39;42;60;69;40;46;35;28;596
"150172 BRASIL NOVO";-;56;63;44;99;55;14;5;-;3;4;15;19;377
"150175 BREJO GRANDE DO ARAGUAIA";-;19;19;6;8;5;4;-;-;-;5;5;-;71
"150178 BREU BRANCO";-;101;318;337;324;91;3;1;2;2;2;5;47;1233
"150180 BREVES";-;8;23;17;10;4;1;8;2;4;4;8;-;89
"150190 BUJARU";-;3;4;10;3;2;4;3;3;9;3;2;2;48
"150195 CACHOEIRA DO PIRIA";-;9;32;22;7;23;1;6;1;2;3;13;10;129
"150210 CAMETA";-;111;149;122;71;62;26;33;37;51;27;25;52;766
"150215 CANAA DOS CARAJAS";-;77;189;132;114;69;13;9;7;7;5;9;14;645
"150220 CAPANEMA";-;57;71;54;59;32;15;23;20;40;21;42;84;518
"150230 CAPITAO POCO";-;9;13;30;22;18;10;5;9;2;5;5;1;129
"150240 CASTANHAL";-;176;139;178;177;86;50;30;38;54;62;81;116;1187
"150260 COLARES";-;-;2;8;4;5;-;2;5;1;-;-;-;27
"150270 CONCEICAO DO ARAGUAIA";-;549;511;566;232;99;39;17;13;8;7;19;58;2118
"150275 CONCORDIA DO PARA";-;21;35;24;9;1;1;3;3;3;7;15;-;122
"150276 CUMARU DO NORTE";-;28;32;39;71;34;3;-;-;-;-;6;9;222
"150277 CURIONOPOLIS";-;27;52;88;68;24;18;8;2;1;-;2;5;295
"150280 CURRALINHO";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150290 CURUCA";-;6;7;9;6;19;10;12;47;7;1;2;3;129
"150293 DOM ELISEU";-;42;60;84;76;58;33;20;11;8;6;4;7;409
"150295 ELDORADO DOS CARAJAS";-;43;53;83;48;17;4;3;3;5;8;31;19;317
"150304 FLORESTA DO ARAGUAIA";-;126;56;47;15;5;1;1;-;-;1;7;7;266
"150307 GARRAFAO DO NORTE";-;2;-;3;2;1;2;1;1;-;1;3;1;17
"150309 GOIANESIA DO PARA";-;113;200;86;54;50;19;3;6;6;6;1;24;568
"150310 GURUPA";-;-;-;1;-;-;5;2;-;-;6;16;-;30
"150320 IGARAPE-ACU";-;9;26;26;19;14;4;12;5;14;14;6;4;153
"150330 IGARAPE-MIRI";-;24;15;16;8;6;1;-;3;2;4;11;6;96
"150340 INHANGAPI";-;34;37;13;9;4;4;1;3;5;3;7;5;125
"150345 IPIXUNA DO PARA";-;34;60;49;38;13;8;2;3;2;1;9;11;230
"150350 IRITUIA";-;36;37;38;14;4;24;22;16;13;10;20;16;250
"150360 ITAITUBA";-;406;407;345;113;72;60;37;52;34;80;160;132;1898
"150370 ITUPIRANGA";-;88;148;82;38;18;4;7;28;34;21;43;87;598
"150375 JACAREACANGA";-;2;-;-;1;3;-;-;-;1;-;-;-;7
"150380 JACUNDA";-;164;186;158;76;44;17;10;4;5;6;15;26;711
"150390 JURUTI";-;212;255;296;210;49;25;17;3;6;5;17;33;1128
"150400 LIMOEIRO DO AJURU";-;1;6;7;14;3;5;1;1;-;1;-;1;40
"150405 MAE DO RIO";-;10;13;28;28;13;5;10;10;3;4;5;11;140
"150410 MAGALHAES BARATA";-;3;2;12;11;3;3;2;2;-;1;-;-;39
"150420 MARABA";-;497;424;424;383;80;84;62;31;23;32;161;149;2350
"150430 MARACANA";-;18;12;15;5;8;10;3;2;-;-;1;4;78
"150440 MARAPANIM";-;12;10;27;18;13;27;11;10;8;4;9;-;149
"150442 MARITUBA";-;343;307;253;210;82;51;54;90;107;95;208;153;1953
"150445 MEDICILANDIA";-;8;7;64;10;4;3;3;1;15;23;7;2;147
"150460 MOCAJUBA";-;2;8;5;2;2;-;2;-;-;2;-;3;26
"150470 MOJU";-;85;85;62;34;23;6;23;9;15;16;20;24;402
"150480 MONTE ALEGRE";-;95;254;141;125;60;58;141;227;87;31;20;74;1313
"150490 MUANA";-;6;5;18;6;-;1;-;1;-;2;2;4;45
"150495 NOVA ESPERANCA DO PIRIA";-;3;6;6;4;3;2;2;5;3;1;1;-;36
"150497 NOVA IPIXUNA";-;66;51;14;12;4;2;2;2;3;2;12;18;188
"150500 NOVA TIMBOTEUA";-;1;1;3;2;2;1;-;-;-;-;1;-;11
"150503 NOVO PROGRESSO";-;444;260;154;77;33;22;21;8;5;17;97;279;1417
"150506 NOVO REPARTIMENTO";-;164;223;166;64;50;11;2;6;4;4;20;67;781
"150510 OBIDOS";-;3;20;25;5;3;3;-;-;-;-;2;-;61
"150520 OEIRAS DO PARA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150530 ORIXIMINA";-;430;616;252;80;43;22;27;32;85;117;282;100;2086
"150540 OUREM";-;19;10;14;6;4;5;5;-;1;-;-;5;69
"150543 OURILANDIA DO NORTE";-;156;124;199;151;119;45;23;18;18;19;72;157;1101
"150548 PACAJA";-;288;172;303;250;87;27;6;5;6;8;82;70;1304
"150549 PALESTINA DO PARA";-;12;19;29;11;19;11;2;1;1;-;-;9;114
"150550 PARAGOMINAS";-;166;220;159;110;54;28;25;22;14;12;21;67;898
"150553 PARAUAPEBAS";-;1195;1260;699;350;263;100;58;30;34;81;267;428;4765
"150555 PAU D'ARCO";-;23;42;35;21;31;6;2;2;2;1;3;4;172
"150560 PEIXE-BOI";-;-;5;18;9;-;1;1;2;-;2;-;-;38
"150563 PICARRA";-;30;26;22;16;5;8;1;2;2;5;18;9;144
"150565 PLACAS";-;15;30;102;51;34;27;23;18;2;1;5;13;321
"150570 PONTA DE PEDRAS";-;3;28;37;26;10;-;-;3;3;2;3;1;116
"150580 PORTEL";-;99;83;28;9;5;6;4;65;69;48;18;30;464
"150590 PORTO DE MOZ";-;-;3;1;-;1;-;-;-;1;1;-;-;7
"150600 PRAINHA";-;49;52;39;59;15;8;2;1;4;4;136;110;479
"150610 PRIMAVERA";-;19;8;14;8;12;9;12;11;24;17;6;3;143
"150611 QUATIPURU";-;8;38;73;2;-;1;1;-;6;21;12;1;163
"150613 REDENCAO";-;333;269;214;174;43;29;11;8;11;17;30;112;1251
"150616 RIO MARIA";-;308;169;114;54;16;6;5;1;1;4;13;75;766
"150618 RONDON DO PARA";-;126;141;106;95;55;37;14;4;5;7;10;25;625
"150619 RUROPOLIS";-;387;268;388;243;53;19;6;7;2;13;43;103;1532
"150620 SALINOPOLIS";-;72;93;227;224;139;126;108;122;96;66;40;57;1370
"150630 SALVATERRA";-;35;42;55;36;16;9;6;14;5;3;9;24;254
"150635 SANTA BARBARA DO PARA";-;44;40;37;30;9;12;18;18;9;8;17;25;267
"150650 SANTA IZABEL DO PARA";-;97;75;93;48;36;24;29;24;13;10;16;26;491
"150655 SANTA LUZIA DO PARA";-;47;14;18;11;1;2;1;-;1;1;-;2;98
"150658 SANTA MARIA DAS BARREIRAS";-;116;137;86;40;8;6;3;1;-;5;15;26;443
"150660 SANTA MARIA DO PARA";-;15;20;12;31;10;1;-;5;5;10;8;-;117
"150670 SANTANA DO ARAGUAIA";-;47;48;27;30;8;1;-;1;1;1;23;32;219
"150680 SANTAREM";-;544;1069;1179;640;319;129;86;106;91;102;96;133;4494
"150690 SANTAREM NOVO";-;53;33;45;39;105;58;21;25;23;22;46;45;515
"150700 SANTO ANTONIO DO TAUA";-;13;19;33;16;6;4;2;2;2;3;3;6;109
"150710 SAO CAETANO DE ODIVELAS";-;3;5;3;2;5;2;3;7;2;3;7;2;44
"150715 SAO DOMINGOS DO ARAGUAIA";-;116;160;178;145;65;28;16;4;2;7;17;37;775
"150720 SAO DOMINGOS DO CAPIM";-;4;2;16;6;5;3;-;-;-;3;60;6;105
"150730 SAO FELIX DO XINGU";-;357;242;198;136;106;45;30;18;31;42;219;220;1644
"150740 SAO FRANCISCO DO PARA";-;49;13;14;7;3;4;-;3;22;3;10;19;147
"150745 SAO GERALDO DO ARAGUAIA";-;218;166;242;131;76;45;7;4;11;18;20;37;975
"150746 SAO JOAO DA PONTA";-;2;5;2;3;12;6;4;7;2;3;3;-;49
"150747 SAO JOAO DE PIRABAS";-;8;9;24;13;7;5;9;3;8;15;4;12;117
"150750 SAO JOAO DO ARAGUAIA";-;52;17;29;17;13;9;3;11;23;88;48;36;346
"150760 SAO MIGUEL DO GUAMA";-;19;29;63;49;13;5;1;7;4;7;5;5;207
"150770 SAO SEBASTIAO DA BOA VISTA";-;5;-;6;3;3;2;-;2;-;-;-;-;21
"150775 SAPUCAIA";-;15;6;14;10;5;-;-;-;-;-;-;6;56
"150780 SENADOR JOSE PORFIRIO";-;1;2;1;2;-;1;-;-;1;13;14;8;43
"150790 SOURE";-;34;65;134;73;46;75;61;68;48;35;47;27;713
"150795 TAILANDIA";-;186;106;90;98;16;47;66;42;40;37;48;70;846
"150796 TERRA ALTA";-;4;6;18;14;4;2;4;1;8;3;2;-;66
"150797 TERRA SANTA";-;1;13;14;1;4;3;-;-;-;-;-;-;36
"150800 TOME-ACU";-;22;37;53;30;14;14;7;9;5;3;12;7;213
"150803 TRACUATEUA";-;14;26;36;22;31;10;11;3;5;9;8;4;179
"150805 TRAIRAO";-;4;6;-;-;1;-;-;-;-;-;-;1;12
"150808 TUCUMA";-;203;202;245;201;55;23;13;1;5;42;89;130;1209
"150810 TUCURUI";-;301;393;301;141;40;17;7;16;13;11;27;82;1349
"150812 ULIANOPOLIS";-;50;135;82;43;28;51;77;89;58;21;38;39;711
"150815 URUARA";-;86;40;62;85;56;52;50;83;38;55;57;25;689
"150820 VIGIA";-;9;24;20;14;9;4;1;4;11;6;4;7;113
"150830 VISEU";-;3;9;58;31;25;8;12;19;5;22;1;2;195
"150835 VITORIA DO XINGU";-;103;75;64;39;24;43;49;66;29;28;54;42;616
"150840 XINGUARA";-;203;230;184;136;80;24;9;4;1;8;31;40;950
"160005 SERRA DO NAVIO";-;29;12;8;15;32;33;21;45;90;138;66;34;523
"160015 PEDRA BRANCA DO AMAPARI";-;19;10;3;66;5;-;2;7;1;2;2;9;126
"160020 CALCOENE";-;22;35;24;35;55;47;39;61;31;29;62;58;498
"160021 CUTIAS";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"160023 FERREIRA GOMES";-;8;25;53;15;25;5;1;3;4;14;5;-;158
"160025 ITAUBAL";-;-;1;2;-;-;-;-;-;-;-;-;-;3
"160027 LARANJAL DO JARI";-;-;-;1;1;1;1;1;-;-;-;-;-;5
"160030 MACAPA";-;718;850;952;657;518;329;340;625;559;308;224;196;6276
"160040 MAZAGAO";-;58;21;23;16;-;1;4;5;1;5;18;36;188
"160050 OIAPOQUE";-;482;503;386;245;109;71;31;46;114;315;347;89;2738
"160053 PORTO GRANDE";-;36;73;53;82;39;22;14;12;7;37;3;2;380
"160060 SANTANA";-;203;260;155;68;40;54;85;142;79;61;26;21;1194
"160070 TARTARUGALZINHO";-;-;-;-;-;-;-;-;1;-;-;-;2;3
"170025 ABREULANDIA";-;89;31;21;28;3;3;3;6;6;2;1;21;214
"170030 AGUIARNOPOLIS";-;9;19;50;58;20;9;7;3;-;2;10;3;190
"170035 ALIANCA DO TOCANTINS";-;5;4;14;6;2;-;-;-;-;1;-;4;36
"170040 ALMAS";-;3;18;36;51;14;2;1;-;3;-;11;2;141
"170070 ALVORADA";-;7;4;2;2;2;-;-;-;-;-;-;1;18
"170100 ANANAS";-;171;36;13;7;10;5;-;5;-;1;8;53;309
"170105 ANGICO";-;3;12;20;8;1;8;1;-;-;-;1;-;54
"170110 APARECIDA DO RIO NEGRO";-;21;9;10;21;16;5;1;14;13;9;11;13;143
"170130 ARAGOMINAS";-;12;14;13;9;2;2;1;1;2;8;9;12;85
"170190 ARAGUACEMA";-;11;51;39;12;4;1;2;1;1;2;2;5;131
"170200 ARAGUACU";-;153;179;268;244;239;105;29;27;26;85;123;214;1692
"170210 ARAGUAINA";-;634;911;1288;1065;500;221;132;86;89;112;179;293;5510
"170215 ARAGUANA";-;39;45;31;10;7;5;3;-;3;-;2;10;155
"170220 ARAGUATINS";-;114;60;39;22;14;4;6;2;4;5;7;17;294
"170230 ARAPOEMA";-;65;29;22;10;8;7;3;2;2;6;7;30;191
"170240 ARRAIAS";-;34;43;49;49;70;35;3;8;5;3;16;12;327
"170255 AUGUSTINOPOLIS";-;135;90;134;65;78;19;9;4;5;2;6;17;564
"170270 AURORA DO TOCANTINS";-;7;13;3;1;3;-;-;-;-;-;-;-;27
"170290 AXIXA DO TOCANTINS";-;11;10;7;5;7;-;1;2;-;-;2;1;46
"170300 BABACULANDIA";-;-;1;4;9;16;11;-;1;1;-;1;-;44
"170305 BANDEIRANTES DO TOCANTINS";-;-;3;4;8;6;1;-;-;-;-;-;-;22
"170307 BARRA DO OURO";-;1;7;18;35;12;6;2;4;-;-;-;-;85
"170310 BARROLANDIA";-;40;81;18;18;4;2;-;-;-;2;2;2;169
"170320 BERNARDO SAYAO";-;6;11;28;17;2;-;-;-;2;-;1;-;67
"170330 BOM JESUS DO TOCANTINS";-;5;4;5;5;3;2;-;-;-;-;-;-;24
"170360 BRASILANDIA DO TOCANTINS";-;6;18;15;14;12;10;2;1;-;-;1;2;81
"170370 BREJINHO DE NAZARE";-;2;3;1;1;-;1;-;-;-;-;1;-;9
"170380 BURITI DO TOCANTINS";-;29;16;9;7;6;-;-;-;2;-;3;6;78
"170382 CACHOEIRINHA";-;12;18;47;55;40;14;4;-;3;3;2;5;203
"170384 CAMPOS LINDOS";-;75;35;29;20;24;6;-;3;2;2;14;14;224
"170386 CARIRI DO TOCANTINS";-;5;3;3;5;-;2;1;-;-;1;-;1;21
"170388 CARMOLANDIA";-;-;-;2;-;-;1;-;-;-;-;-;-;3
"170389 CARRASCO BONITO";-;20;5;5;1;2;-;-;-;1;-;3;1;38
