2009
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;98;62;33;19;13;10;28;34;41;71;167;113;689
"110002 ARIQUEMES";-;153;217;445;71;21;10;10;7;6;13;21;55;1029
"110003 CABIXI";-;34;48;33;19;19;5;2;8;1;1;7;15;192
"110004 CACOAL";-;659;328;248;170;230;191;156;99;62;143;306;565;3157
"110005 CEREJEIRAS";-;243;430;465;107;30;18;15;5;11;2;23;74;1423
"110006 COLORADO DO OESTE";-;162;82;170;119;59;41;21;20;13;28;112;290;1117
"110007 CORUMBIARA";-;19;38;66;27;-;4;2;1;-;-;1;10;168
"110008 COSTA MARQUES";-;123;323;129;48;20;5;1;2;2;3;59;73;788
"110009 ESPIGAO D'OESTE";-;352;472;317;92;84;30;17;17;26;56;135;403;2001
"110010 GUAJARA-MIRIM";-;915;552;457;234;142;81;32;42;34;101;409;465;3464
"110011 JARU";-;536;256;124;104;57;36;34;23;48;317;1319;936;3790
"110012 JI-PARANA";-;453;133;128;167;52;24;4;51;65;111;330;447;1965
"110013 MACHADINHO D'OESTE";-;136;203;137;23;36;46;32;28;37;100;416;230;1424
"110014 NOVA BRASILANDIA D'OESTE";-;360;285;239;145;45;16;14;7;3;11;17;159;1301
"110015 OURO PRETO DO OESTE";-;223;114;183;35;35;16;17;13;10;15;125;303;1089
"110018 PIMENTA BUENO";-;604;508;458;193;47;21;13;41;44;136;203;305;2573
"110020 PORTO VELHO";-;4216;2287;447;128;82;71;56;40;71;130;620;1656;9804
"110025 PRESIDENTE MEDICI";-;53;116;89;85;19;3;5;4;2;4;13;32;425
"110026 RIO CRESPO";-;9;3;16;10;1;4;1;1;1;2;1;2;51
"110028 ROLIM DE MOURA";-;961;400;294;84;27;10;13;23;7;40;297;640;2796
"110029 SANTA LUZIA D'OESTE";-;32;15;18;10;4;1;1;-;4;8;26;128;247
"110030 VILHENA";-;841;895;927;541;451;283;146;84;34;95;155;287;4739
"110032 SAO MIGUEL DO GUAPORE";-;242;252;149;135;77;11;4;3;4;16;27;97;1017
"110033 NOVA MAMORE";-;85;48;40;33;50;12;2;3;7;3;14;27;324
"110034 ALVORADA D'OESTE";-;368;289;177;52;36;18;21;4;7;15;34;85;1106
"110037 ALTO ALEGRE DOS PARECIS";-;59;94;64;51;20;9;4;11;8;14;57;50;441
