2010
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;97;61;22;10;6;-;12;19;8;10;55;34;334
"110002 ARIQUEMES";-;97;57;49;16;8;3;5;2;1;3;6;28;275
"110003 CABIXI";-;32;44;31;19;18;5;2;8;1;1;6;9;176
"110004 CACOAL";-;645;308;195;90;53;33;25;14;10;18;33;106;1530
"110005 CEREJEIRAS";-;224;371;370;78;14;11;9;3;9;2;17;69;1177
"110006 COLORADO DO OESTE";-;154;72;116;101;41;32;17;18;13;27;97;209;897
"110007 CORUMBIARA";-;19;38;66;27;-;4;2;1;-;-;1;10;168
"110008 COSTA MARQUES";-;122;323;115;40;15;3;1;2;2;3;59;73;758
"110009 ESPIGAO D'OESTE";-;345;452;282;73;22;9;7;11;21;39;91;48;1400
"110010 GUAJARA-MIRIM";-;755;372;257;159;106;72;25;42;33;71;151;253;2296
"110011 JARU";-;534;248;112;97;49;25;18;10;20;18;22;36;1189
"110012 JI-PARANA";-;403;91;102;143;36;6;1;22;22;13;67;135;1041
"110013 MACHADINHO D'OESTE";-;134;198;135;21;9;17;12;9;13;15;55;92;710
"110014 NOVA BRASILANDIA D'OESTE";-;359;280;220;128;37;15;11;3;2;10;11;59;1135
"110015 OURO PRETO DO OESTE";-;208;59;37;16;20;9;5;8;4;8;11;69;454
"110018 PIMENTA BUENO";-;583;454;276;159;31;6;3;5;3;1;5;36;1562
"110020 PORTO VELHO";-;4175;2240;412;112;48;34;31;22;36;54;197;456;7817
"110025 PRESIDENTE MEDICI";-;52;114;86;81;19;3;5;4;2;4;10;22;402
"110026 RIO CRESPO";-;9;3;15;9;1;4;1;1;1;2;1;2;49
"110028 ROLIM DE MOURA";-;960;392;107;16;15;5;5;19;2;16;81;187;1805
"110029 SANTA LUZIA D'OESTE";-;32;14;13;6;1;-;-;-;2;1;-;2;71
"110030 VILHENA";-;644;723;649;387;338;260;127;81;26;84;107;184;3610
"110032 SAO MIGUEL DO GUAPORE";-;215;195;20;33;21;4;1;-;1;8;17;73;588
"110033 NOVA MAMORE";-;82;45;13;22;37;11;1;2;7;3;10;17;250
"110034 ALVORADA D'OESTE";-;330;206;165;50;27;14;21;4;7;12;34;82;952
"110037 ALTO ALEGRE DOS PARECIS";-;58;89;44;29;9;3;1;5;1;7;19;16;281
"110040 ALTO PARAISO";-;7;18;28;30;33;14;11;12;15;12;33;16;229
"110045 BURITIS";-;415;191;110;55;25;22;22;7;11;12;26;24;920
"110050 NOVO HORIZONTE DO OESTE";-;237;115;73;30;17;3;9;4;5;10;59;121;683
"110060 CACAULANDIA";-;1;1;-;1;-;1;-;1;-;-;1;-;6
"110070 CAMPO NOVO DE RONDONIA";-;28;46;31;29;16;3;-;-;-;-;5;8;166
"110080 CANDEIAS DO JAMARI";-;68;31;10;2;7;3;2;3;1;1;-;8;136
"110090 CASTANHEIRAS";-;1;3;1;-;-;-;2;-;-;-;-;-;7
"110092 CHUPINGUAIA";-;40;24;15;12;5;4;13;8;4;18;4;4;151
"110094 CUJUBIM";-;56;13;11;4;1;-;-;1;4;1;2;6;99
"110100 GOVERNADOR JORGE TEIXEIRA";-;29;15;18;9;1;1;1;1;12;11;4;6;108
"110110 ITAPUA DO OESTE";-;78;55;31;21;20;30;16;11;7;5;6;12;292
"110120 MINISTRO ANDREAZZA";-;60;57;22;8;8;-;-;-;-;-;1;9;165
