2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis in Pregnant Women
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;3;-;-;-;-;-;-;-;-;3
"110001 ALTA FLORESTA D'OESTE";-;3;-;2;1;3;4;-;2;3;2;-;1;21
"110002 ARIQUEMES";-;34;18;28;25;20;22;23;20;16;21;19;18;264
"110003 CABIXI";-;-;2;-;-;-;1;-;-;-;2;-;-;5
"110004 CACOAL";-;14;16;11;16;15;11;12;8;16;13;9;13;154
"110005 CEREJEIRAS";-;-;2;1;1;3;3;2;-;1;-;4;3;20
"110006 COLORADO DO OESTE";-;1;2;3;2;3;2;1;1;-;-;4;3;22
"110007 CORUMBIARA";-;-;-;1;-;1;1;1;1;-;-;-;1;6
"110008 COSTA MARQUES";-;1;3;4;3;3;-;-;1;2;4;7;1;29
"110009 ESPIGAO D'OESTE";-;3;4;6;4;5;6;5;2;4;3;3;3;48
"110010 GUAJARA-MIRIM";-;10;9;11;8;5;11;6;8;4;8;8;5;93
"110011 JARU";-;7;4;10;7;9;3;3;2;7;7;6;4;69
"110012 JI-PARANA";-;13;13;15;14;27;28;19;19;19;16;11;13;207
"110013 MACHADINHO D'OESTE";-;6;5;16;6;7;6;5;6;5;7;2;5;76
"110014 NOVA BRASILANDIA D'OESTE";-;2;1;2;1;3;1;3;-;-;1;-;1;15
"110015 OURO PRETO DO OESTE";-;5;9;5;1;2;1;4;3;-;3;3;6;42
"110018 PIMENTA BUENO";-;4;6;1;3;2;2;-;3;2;2;5;3;33
"110020 PORTO VELHO";-;83;100;129;93;101;76;71;84;78;93;81;82;1071
"110025 PRESIDENTE MEDICI";-;4;1;1;2;2;4;3;1;1;2;-;1;22
"110026 RIO CRESPO";-;1;1;-;2;-;1;-;1;-;-;1;-;7
"110028 ROLIM DE MOURA";-;13;6;10;6;6;18;7;14;6;9;10;9;114
"110029 SANTA LUZIA D'OESTE";-;-;-;-;1;-;-;-;-;-;-;2;-;3
"110030 VILHENA";-;34;14;26;31;21;17;24;12;29;20;15;24;267
"110032 SAO MIGUEL DO GUAPORE";-;5;5;2;4;2;1;1;1;1;2;1;1;26
"110033 NOVA MAMORE";-;5;3;4;5;4;6;1;3;1;5;3;4;44
"110034 ALVORADA D'OESTE";-;-;1;1;-;1;1;-;-;1;-;2;-;7
"110037 ALTO ALEGRE DOS PARECIS";-;-;2;-;-;2;-;-;-;-;-;-;-;4
