2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/meninbr.def
Meningitis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Total"
"230625 ITAITINGA";2;1;-;-;-;3
"230690 JAGUARIBE";-;-;1;-;-;1
"230700 JAGUARUANA";1;-;-;-;-;1
"230760 LIMOEIRO DO NORTE";-;-;-;1;-;1
"230765 MARACANAU";1;2;-;2;-;5
"230770 MARANGUAPE";1;-;-;1;-;2
"230810 MAURITI";-;1;-;-;-;1
"230830 MILAGRES";-;-;-;1;-;1
"230850 MOMBACA";1;-;-;-;-;1
"230870 MORADA NOVA";-;1;-;-;-;1
"230920 NOVA OLINDA";-;-;-;1;-;1
"230960 PACAJUS";1;-;1;-;-;2
"230970 PACATUBA";2;-;2;1;-;5
"230980 PACOTI";1;-;-;-;-;1
"231020 PARACURU";-;-;2;-;-;2
"231140 QUIXERAMOBIM";-;1;1;-;-;2
"231230 SAO BENEDITO";1;-;-;-;-;1
"231250 SAO JOAO DO JAGUARIBE";-;-;1;-;-;1
"231290 SOBRAL";-;1;-;-;-;1
"231340 TIANGUA";1;-;-;-;-;1
"231350 TRAIRI";-;-;1;-;-;1
"240020 ACU";-;-;1;-;-;1
"240150 BARCELONA";-;-;2;-;-;2
"240200 CAICO";-;-;1;-;-;1
"240260 CEARA-MIRIM";-;-;-;-;1;1
"240310 CURRAIS NOVOS";-;1;-;-;-;1
"240325 PARNAMIRIM";1;2;1;1;-;5
"240380 FLORANIA";-;-;-;1;-;1
"240450 GUAMARE";-;-;1;-;-;1
"240670 LAJES";1;-;1;-;-;2
"240710 MACAIBA";-;-;-;2;-;2
"240800 MOSSORO";-;-;3;1;1;5
"240810 NATAL";2;9;5;3;1;20
"240820 NISIA FLORESTA";-;-;1;-;1;2
"241010 POCO BRANCO";-;-;1;-;-;1
"241040 PUREZA";1;-;-;-;-;1
"241200 SAO GONCALO DO AMARANTE";-;-;-;-;1;1
"241220 SAO JOSE DE MIPIBU";1;-;-;-;-;1
"241250 SAO MIGUEL";-;-;-;1;-;1
"241255 SAO MIGUEL DO GOSTOSO";-;-;1;-;-;1
"241420 TIBAU DO SUL";-;-;-;1;-;1
"250090 ARARA";-;1;-;-;-;1
"250270 BORBOREMA";-;-;-;1;-;1
"250400 CAMPINA GRANDE";-;1;2;2;-;5
"250680 INGA";-;-;1;-;-;1
"250750 JOAO PESSOA";1;-;1;-;4;6
"250830 LAGOA SECA";-;-;1;-;-;1
"251230 PRINCESA ISABEL";-;-;1;-;-;1
"251280 RIACHO DOS CAVALOS";-;-;1;-;-;1
"251315 SANTA CECILIA";-;-;-;1;-;1
"251390 SAO BENTO";1;-;-;-;-;1
"251560 SERRA DA RAIZ";1;-;-;-;-;1
"260005 ABREU E LIMA";1;-;3;-;-;4
"260040 AGUA PRETA";1;-;1;-;-;2
"260050 AGUAS BELAS";-;-;-;-;1;1
"260140 BARREIROS";-;-;-;1;-;1
"260170 BELO JARDIM";1;-;-;-;-;1
"260190 BEZERROS";-;-;-;2;-;2
"260200 BODOCO";1;-;-;-;-;1
"260210 BOM CONSELHO";1;-;-;-;-;1
"260220 BOM JARDIM";-;1;-;-;-;1
"260260 BREJO DA MADRE DE DEUS";1;-;-;1;-;2
"260270 BUENOS AIRES";1;-;-;-;-;1
"260280 BUIQUE";2;-;-;-;1;3
"260290 CABO DE SANTO AGOSTINHO";1;2;1;5;-;9
"260320 CAETES";-;-;-;-;1;1
"260345 CAMARAGIBE";-;2;3;2;1;8
"260350 CAMOCIM DE SAO FELIX";-;-;-;1;-;1
"260392 CARNAUBEIRA DA PENHA";1;-;-;-;-;1
"260400 CARPINA";1;1;1;-;-;3
"260410 CARUARU";5;1;2;-;-;8
"260420 CATENDE";-;1;-;-;-;1
"260450 CHA GRANDE";-;-;1;-;-;1
"260480 CORTES";-;-;1;-;-;1
"260490 CUMARU";1;-;-;1;-;2
"260590 GAMELEIRA";-;-;2;-;-;2
"260600 GARANHUNS";-;-;-;1;-;1
"260610 GLORIA DO GOITA";-;-;-;-;1;1
"260640 GRAVATA";-;2;1;-;-;3
"260680 IGARASSU";-;1;-;-;3;4
"260720 IPOJUCA";3;1;1;-;-;5
"260760 ILHA DE ITAMARACA";-;-;1;-;-;1
"260765 ITAMBE";-;-;-;-;1;1
"260775 ITAPISSUMA";1;-;-;1;-;2
"260790 JABOATAO DOS GUARARAPES";6;5;5;6;2;24
"260795 JAQUEIRA";-;-;1;-;-;1
"260830 JUPI";-;1;-;-;-;1
"260875 LAGOA GRANDE";1;-;-;1;-;2
"260900 MACAPARANA";1;-;-;-;-;1
"260915 MANARI";-;-;1;-;-;1
"260920 MARAIAL";1;-;-;-;-;1
"260940 MORENO";-;1;-;1;-;2
"260960 OLINDA";3;4;6;5;-;18
"260980 OROCO";-;-;-;1;-;1
"261000 PALMARES";1;-;1;-;-;2
"261050 PASSIRA";-;-;-;1;-;1
"261070 PAULISTA";2;1;3;1;-;7
"261090 PESQUEIRA";1;-;1;1;-;3
"261110 PETROLINA";3;1;1;7;-;12
"261140 PRIMAVERA";2;-;2;-;-;4
"261160 RECIFE";27;20;21;13;9;90
"261180 RIBEIRAO";-;-;1;-;-;1
"261190 RIO FORMOSO";-;-;2;-;-;2
"261250 SANTA CRUZ DO CAPIBARIBE";-;1;-;-;-;1
"261260 SANTA MARIA DA BOA VISTA";-;-;1;-;-;1
"261320 SAO JOAO";-;1;-;-;-;1
"261330 SAO JOAQUIM DO MONTE";-;1;-;-;-;1
"261370 SAO LOURENCO DA MATA";-;2;2;-;-;4
"261380 SAO VICENTE FERRER";-;-;1;-;-;1
"261390 SERRA TALHADA";1;-;1;-;-;2
"261450 SURUBIM";-;-;1;1;-;2
"261480 TACARATU";-;1;-;-;-;1
"261540 TORITAMA";-;2;2;-;-;4
"261550 TRACUNHAEM";-;-;1;1;-;2
"261570 TRIUNFO";1;-;-;-;-;1
"261580 TUPANATINGA";-;2;-;-;-;2
"261600 VENTUROSA";1;-;-;-;-;1
"261620 VERTENTES";1;-;-;-;-;1
"261630 VICENCIA";-;1;-;-;-;1
"261640 VITORIA DE SANTO ANTAO";1;-;2;-;-;3
"270130 CAJUEIRO";1;-;-;-;-;1
"270430 MACEIO";4;5;4;3;2;18
"270450 MARAGOGI";-;-;1;-;-;1
"270470 MARECHAL DEODORO";-;1;-;-;-;1
"270610 OURO BRANCO";-;-;-;1;-;1
"270720 POCO DAS TRINCHEIRAS";-;1;-;-;-;1
"270850 SAO LUIS DO QUITUNDE";-;-;-;1;-;1
"280030 ARACAJU";-;-;-;1;-;1
"280100 CAMPO DO BRITO";-;-;1;-;-;1
"280150 CARMOPOLIS";-;-;-;1;-;1
"280290 ITABAIANA";-;-;-;1;-;1
"280340 JAPOATA";-;-;1;-;-;1
"290100 AMARGOSA";-;-;-;2;-;2
"290320 BARREIRAS";-;1;-;-;-;1
"290460 BRUMADO";-;1;-;-;-;1
"290530 CAFARNAUM";1;1;-;-;-;2
"290570 CAMACARI";1;-;-;-;-;1
"290600 CAMPO FORMOSO";-;-;-;1;-;1
"290650 CANDEIAS";-;-;-;3;1;4
"290687 CAPIM GROSSO";-;1;-;-;-;1
"290690 CARAVELAS";1;-;-;-;-;1
"290720 CASA NOVA";-;-;1;-;-;1
"290850 CONCEICAO DO JACUIPE";-;1;-;-;-;1
"291005 DIAS D'AVILA";-;-;1;1;-;2
"291070 EUCLIDES DA CUNHA";-;-;-;1;-;1
"291080 FEIRA DE SANTANA";2;1;-;1;-;4
"291085 FILADELFIA";1;-;-;-;-;1
"291190 IACU";-;-;1;1;-;2
"291230 IBICUI";-;-;-;2;-;2
"291270 IBIRAPITANGA";-;-;-;1;-;1
"291440 IRAQUARA";1;-;1;-;-;2
"291460 IRECE";-;1;2;1;-;4
"291465 ITABELA";1;-;-;-;-;1
"291470 ITABERABA";-;-;1;1;-;2
"291500 ITAETE";-;-;1;-;-;1
"291520 ITAGIBA";-;-;1;1;-;2
"291550 ITAJUIPE";-;1;-;-;-;1
"291640 ITAPETINGA";2;-;1;-;-;3
"291800 JEQUIE";-;1;1;-;-;2
"291840 JUAZEIRO";1;-;-;-;-;1
"291910 LAMARAO";-;-;-;1;-;1
"291920 LAURO DE FREITAS";-;-;2;1;-;3
"291990 MACURURE";1;-;-;-;-;1
"292100 MATA DE SAO JOAO";-;1;1;-;1;3
"292270 NOVA CANAA";-;-;-;-;1;1
"292335 OUROLANDIA";-;-;-;1;-;1
"292340 PALMAS DE MONTE ALTO";-;-;-;-;2;2
"292360 PARAMIRIM";-;1;-;-;-;1
"292520 POJUCA";-;-;-;-;1;1
"292530 PORTO SEGURO";-;1;-;1;-;2
"292550 PRADO";1;-;-;1;-;2
"292575 PRESIDENTE TANCREDO NEVES";-;-;2;-;-;2
"292630 RIACHAO DO JACUIPE";-;-;1;-;-;1
"292680 RIO DO ANTONIO";-;-;1;-;-;1
"292740 SALVADOR";8;8;21;16;7;60
"292920 SAO FRANCISCO DO CONDE";-;-;1;-;-;1
"292970 SATIRO DIAS";-;2;-;-;-;2
"292990 SEABRA";-;2;-;-;-;2
"293050 SERRINHA";-;-;1;1;-;2
"293070 SIMOES FILHO";2;-;-;1;1;4
"293135 TEIXEIRA DE FREITAS";1;-;-;-;-;1
"293150 TEOFILANDIA";-;-;1;-;-;1
"293170 TERRA NOVA";-;-;-;1;-;1
"293190 TUCANO";-;-;-;2;-;2
"293220 UBAITABA";1;-;-;-;-;1
"293330 VITORIA DA CONQUISTA";5;1;2;2;1;11
"310010 ABADIA DOS DOURADOS";-;1;-;-;-;1
"310050 ACUCENA";1;-;-;-;-;1
"310150 ALEM PARAIBA";-;1;-;-;-;1
"310170 ALMENARA";1;-;-;-;-;1
"310180 ALPERCATA";-;-;-;1;-;1
"310400 ARAXA";2;-;-;-;-;2
"310410 ARCEBURGO";-;1;-;-;-;1
"310420 ARCOS";-;-;1;-;-;1
"310540 BARAO DE COCAIS";1;-;-;-;-;1
"310620 BELO HORIZONTE";10;7;15;4;2;38
"310670 BETIM";6;4;4;2;3;19
"310830 BORDA DA MATA";-;-;1;-;-;1
"310930 BURITIS";-;-;-;1;-;1
"310960 CACHOEIRA DA PRATA";-;1;-;-;-;1
"311000 CAETE";-;-;-;1;-;1
"311060 CAMBUI";1;1;-;-;-;2
"311070 CAMBUQUIRA";1;-;-;-;-;1
"311180 CANAPOLIS";-;1;-;-;-;1
"311260 CAPINOPOLIS";-;1;-;-;-;1
"311270 CAPITAO ENEAS";1;-;-;-;-;1
"311580 CENTRALINA";1;-;-;-;-;1
"311730 CONCEICAO DAS ALAGOAS";1;-;-;-;-;1
"311820 CONQUISTA";2;-;-;-;-;2
"311860 CONTAGEM";1;2;5;-;2;10
"311910 CORINTO";1;-;-;-;-;1
"311930 COROMANDEL";-;-;1;-;-;1
"311940 CORONEL FABRICIANO";-;1;-;-;-;1
"312050 CRISTINA";-;1;-;-;-;1
"312090 CURVELO";1;-;-;-;1;2
"312125 DELTA";-;-;1;-;-;1
"312230 DIVINOPOLIS";-;-;1;-;-;1
"312390 ENTRE RIOS DE MINAS";-;1;-;-;-;1
"312510 EXTREMA";-;-;1;-;-;1
"312550 SAO GONCALO DO RIO PRETO";1;-;-;-;-;1
"312710 FRUTAL";-;1;-;-;-;1
"312730 GALILEIA";-;-;-;-;1;1
"312770 GOVERNADOR VALADARES";1;2;1;2;-;6
"312870 GUAXUPE";1;-;-;-;-;1
"312980 IBIRITE";-;1;-;1;1;3
"313010 IGARAPE";-;1;-;-;-;1
"313030 IGUATAMA";-;-;-;1;-;1
"313130 IPATINGA";-;1;2;-;-;3
"313400 ITINGA";-;-;1;-;-;1
"313420 ITUIUTABA";-;1;-;-;-;1
"313440 ITURAMA";-;1;1;-;-;2
"313490 JACUTINGA";-;-;1;-;-;1
"313510 JANAUBA";1;-;-;-;-;1
"313665 JUATUBA";-;-;-;2;-;2
"313670 JUIZ DE FORA";-;-;1;1;-;2
"313680 JURAMENTO";-;1;-;-;-;1
"313820 LAVRAS";-;-;2;-;-;2
"313880 LUZ";1;-;-;-;-;1
"313940 MANHUACU";-;-;-;-;1;1
"313990 MARIA DA FE";-;-;1;-;-;1
"314330 MONTES CLAROS";1;-;2;-;-;3
"314520 NOVA SERRANA";-;1;-;-;-;1
"314590 OURO BRANCO";-;-;1;-;-;1
"314610 OURO PRETO";-;1;-;-;-;1
"314630 PADRE PARAISO";-;-;1;-;-;1
"314690 PAPAGAIOS";1;-;-;1;-;2
"314710 PARA DE MINAS";-;-;1;1;-;2
"314790 PASSOS";-;-;-;1;-;1
"314800 PATOS DE MINAS";-;1;-;-;-;1
"315050 PIMENTA";1;-;-;-;-;1
"315140 PITANGUI";-;-;1;-;-;1
"315250 POUSO ALEGRE";1;2;1;1;-;5
"315280 PRATA";-;-;-;1;-;1
"315350 ALTO JEQUITIBA";-;-;1;-;-;1
"315360 PRUDENTE DE MORAIS";-;-;1;-;-;1
"315460 RIBEIRAO DAS NEVES";-;-;2;2;-;4
"315480 RIO ACIMA";-;1;-;-;-;1
"315770 SANTA JULIANA";-;-;-;1;-;1
"315780 SANTA LUZIA";2;1;2;-;-;5
"315790 SANTA MARGARIDA";-;-;-;-;1;1
"315930 SANTA RITA DE JACUTINGA";-;-;-;1;-;1
"316130 SAO FRANCISCO DE SALES";-;3;-;-;-;3
"316210 SAO GOTARDO";-;-;-;1;-;1
"316257 SAO JOAO DO MANTENINHA";-;-;1;-;-;1
"316470 SAO SEBASTIAO DO PARAISO";-;1;-;-;-;1
"316510 SAO TOMAS DE AQUINO";-;1;-;-;-;1
"316590 SENADOR MODESTINO GONCALVES";1;-;-;-;-;1
"316720 SETE LAGOAS";1;2;1;2;1;7
"316860 TEOFILO OTONI";1;-;-;-;-;1
"316930 TRES CORACOES";-;-;1;-;-;1
"316970 TURMALINA";-;-;-;-;1;1
"317010 UBERABA";5;3;5;-;3;16
"317020 UBERLANDIA";13;10;16;2;-;41
"317040 UNAI";-;-;1;-;1;2
"317120 VESPASIANO";-;-;1;1;-;2
"317200 VISCONDE DO RIO BRANCO";-;-;1;-;-;1
"320070 ATILIO VIVACQUA";-;1;-;-;-;1
"330010 ANGRA DOS REIS";-;3;-;1;-;4
"330020 ARARUAMA";-;-;1;-;-;1
"330022 AREAL";-;-;1;-;-;1
"330040 BARRA MANSA";1;-;-;1;-;2
"330045 BELFORD ROXO";2;1;3;-;-;6
"330070 CABO FRIO";-;-;1;-;-;1
"330080 CACHOEIRAS DE MACACU";-;1;-;-;-;1
"330090 CAMBUCI";-;-;2;-;-;2
"330100 CAMPOS DOS GOYTACAZES";1;-;-;1;1;3
"330160 DUAS BARRAS";-;-;1;-;-;1
"330170 DUQUE DE CAXIAS";7;3;5;1;-;16
"330190 ITABORAI";2;1;1;2;-;6
"330220 ITAPERUNA";2;-;-;1;-;3
"330240 MACAE";2;3;-;1;-;6
"330250 MAGE";1;-;-;4;-;5
"330270 MARICA";1;1;-;2;-;4
"330285 MESQUITA";-;1;1;-;-;2
"330300 MIRACEMA";-;-;-;-;1;1
"330320 NILOPOLIS";-;-;-;1;-;1
"330330 NITEROI";3;3;4;1;-;11
"330340 NOVA FRIBURGO";2;-;3;-;-;5
"330350 NOVA IGUACU";3;3;1;3;1;11
"330385 PATY DO ALFERES";-;-;-;1;-;1
"330390 PETROPOLIS";1;-;1;-;-;2
"330414 QUEIMADOS";1;-;-;1;-;2
"330420 RESENDE";1;1;1;-;-;3
"330455 RIO DE JANEIRO";28;20;35;29;5;117
"330475 SAO FRANCISCO DE ITABAPOANA";-;1;-;-;-;1
"330490 SAO GONCALO";5;1;3;-;-;9
"330510 SAO JOAO DE MERITI";3;-;-;1;-;4
"330550 SAQUAREMA";-;1;1;-;-;2
"330580 TERESOPOLIS";-;-;1;-;-;1
"330610 VALENCA";1;-;-;-;-;1
"330630 VOLTA REDONDA";3;-;-;2;-;5
"350010 ADAMANTINA";-;1;-;-;-;1
"350030 AGUAI";-;-;2;-;-;2
"350040 AGUAS DA PRATA";-;-;1;-;-;1
"350070 AGUDOS";-;1;-;-;-;1
"350115 ALUMINIO";1;-;-;-;-;1
"350160 AMERICANA";6;1;8;1;-;16
"350210 ANDRADINA";-;-;2;-;-;2
"350250 APARECIDA";-;-;1;-;-;1
"350280 ARACATUBA";6;-;1;5;1;13
"350290 ARACOIABA DA SERRA";2;-;1;-;-;3
"350320 ARARAQUARA";2;-;1;-;-;3
"350330 ARARAS";1;-;1;1;-;3
"350350 AREIAS";1;-;-;-;-;1
"350370 ARIRANHA";-;1;-;-;-;1
"350390 ARUJA";-;-;1;-;-;1
"350410 ATIBAIA";-;1;-;1;-;2
"350450 AVARE";1;-;1;-;-;2
"350460 BADY BASSITT";-;-;1;2;-;3
"350480 BALSAMO";-;1;1;-;-;2
"350570 BARUERI";3;7;11;6;3;30
"350590 BATATAIS";-;-;1;-;-;1
"350600 BAURU";5;6;11;8;1;31
"350635 BERTIOGA";-;1;1;2;-;4
"350650 BIRIGUI";1;3;-;-;-;4
"350700 BOITUVA";-;-;2;1;-;3
"350750 BOTUCATU";-;1;2;2;1;6
"350760 BRAGANCA PAULISTA";1;3;1;3;-;8
"350780 BRODOWSKI";-;1;-;1;-;2
"350810 BURITAMA";-;-;-;-;1;1
"350840 CABREUVA";-;-;-;1;-;1
"350850 CACAPAVA";1;-;-;1;-;2
"350860 CACHOEIRA PAULISTA";-;1;-;-;-;1
"350900 CAIEIRAS";-;1;1;1;-;3
"350950 CAMPINAS";13;26;18;14;-;71
"350960 CAMPO LIMPO PAULISTA";-;-;-;1;-;1
"350990 CANANEIA";1;-;-;-;-;1
"351040 CAPIVARI";-;-;-;1;-;1
"351050 CARAGUATATUBA";-;-;1;-;-;1
"351060 CARAPICUIBA";-;5;3;1;2;11
"351110 CATANDUVA";2;1;-;-;-;3
"351170 CHARQUEADA";-;-;-;1;-;1
