2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/meninbr.def
Meningitis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Total"
"353010 MIRANDOPOLIS";-;-;-;1;-;1
"353030 MIRASSOL";2;1;-;1;-;4
"353040 MIRASSOLANDIA";-;-;-;1;-;1
"353060 MOGI DAS CRUZES";1;2;6;9;2;20
"353070 MOGI GUACU";-;-;-;1;-;1
"353080 MOGI MIRIM";-;-;-;1;-;1
"353140 MONTE APRAZIVEL";-;-;-;1;-;1
"353180 MONTE MOR";-;1;-;2;-;3
"353190 MORRO AGUDO";1;-;-;1;-;2
"353220 NARANDIBA";-;-;1;-;-;1
"353280 NOVA ALIANCA";-;-;1;-;-;1
"353325 NOVAIS";-;1;-;-;-;1
"353330 NOVA LUZITANIA";-;-;-;1;-;1
"353340 NOVA ODESSA";1;-;-;-;-;1
"353360 NUPORANGA";-;-;1;-;-;1
"353370 OCAUCU";-;2;-;-;-;2
"353390 OLIMPIA";-;-;1;-;-;1
"353400 ONDA VERDE";1;-;1;-;-;2
"353410 ORIENTE";1;-;-;-;-;1
"353430 ORLANDIA";1;-;-;-;-;1
"353440 OSASCO";5;6;15;17;2;45
"353475 OUROESTE";2;-;-;1;-;3
"353500 PALESTINA";-;-;-;1;-;1
"353510 PALMARES PAULISTA";-;-;-;1;-;1
"353540 PANORAMA";-;1;-;-;-;1
"353560 PARAIBUNA";-;-;1;-;-;1
"353580 PARANAPANEMA";-;-;1;-;-;1
"353600 PARAPUA";1;-;-;-;-;1
"353650 PAULINIA";1;4;-;1;-;6
"353670 PEDERNEIRAS";1;-;1;1;1;4
"353730 PENAPOLIS";1;-;-;-;-;1
"353760 PERUIBE";1;-;-;-;-;1
"353800 PINDAMONHANGABA";-;-;-;1;-;1
"353810 PINDORAMA";-;-;-;1;-;1
"353870 PIRACICABA";2;1;2;3;1;9
"353890 PIRAJUI";1;-;-;-;-;1
"353940 PIRATININGA";-;-;1;-;-;1
"353970 PLATINA";-;1;-;-;-;1
"354050 PORANGABA";1;-;-;-;-;1
"354060 PORTO FELIZ";1;-;-;-;-;1
"354070 PORTO FERREIRA";1;1;1;-;-;3
"354120 PRESIDENTE BERNARDES";-;1;-;-;-;1
"354150 PRESIDENTE VENCESLAU";-;1;-;-;-;1
"354180 QUEIROZ";1;-;-;-;-;1
"354240 REGENTE FEIJO";-;-;-;1;-;1
"354330 RIBEIRAO PIRES";2;-;2;3;-;7
"354340 RIBEIRAO PRETO";7;9;8;5;-;29
"354390 RIO CLARO";1;-;-;1;-;2
"354410 RIO GRANDE DA SERRA";-;-;-;1;-;1
"354430 ROSEIRA";-;-;1;-;-;1
"354520 SALTO";1;-;2;-;-;3
"354580 SANTA BARBARA D'OESTE";1;1;2;1;-;5
"354670 SANTA GERTRUDES";-;-;-;1;-;1
"354680 SANTA ISABEL";-;-;1;-;-;1
"354700 SANTA MARIA DA SERRA";-;1;-;-;-;1
"354730 SANTANA DE PARNAIBA";2;1;2;2;1;8
"354780 SANTO ANDRE";10;10;9;11;3;43
"354800 SANTO ANTONIO DE POSSE";-;1;-;-;-;1
"354850 SANTOS";2;-;4;-;-;6
"354870 SAO BERNARDO DO CAMPO";9;8;16;20;11;64
"354880 SAO CAETANO DO SUL";-;2;3;6;1;12
"354890 SAO CARLOS";-;-;-;1;-;1
"354910 SAO JOAO DA BOA VISTA";-;-;2;-;-;2
"354920 SAO JOAO DAS DUAS PONTES";-;1;-;-;-;1
"354940 SAO JOAQUIM DA BARRA";-;-;-;1;-;1
"354980 SAO JOSE DO RIO PRETO";5;9;3;11;1;29
"354990 SAO JOSE DOS CAMPOS";9;2;4;7;6;28
"355010 SAO MANUEL";-;1;-;-;-;1
"355020 SAO MIGUEL ARCANJO";1;-;-;-;-;1
"355030 SAO PAULO";132;124;189;203;65;713
"355040 SAO PEDRO";1;-;-;-;-;1
"355060 SAO ROQUE";-;-;1;-;-;1
"355070 SAO SEBASTIAO";1;-;-;-;-;1
"355090 SAO SIMAO";-;-;1;-;-;1
"355100 SAO VICENTE";1;1;1;-;-;3
"355110 SARAPUI";-;1;-;-;-;1
"355170 SERTAOZINHO";3;-;-;-;-;3
"355190 SEVERINIA";1;-;-;-;-;1
"355220 SOROCABA";7;3;9;4;-;23
"355240 SUMARE";1;4;1;2;-;8
"355250 SUZANO";2;1;4;-;3;10
"355270 TABATINGA";1;-;-;-;-;1
"355280 TABOAO DA SERRA";3;-;7;3;2;15
"355340 TANABI";-;1;1;-;-;2
"355370 TAQUARITINGA";1;1;-;-;-;2
"355400 TATUI";1;1;-;1;-;3
"355410 TAUBATE";3;2;-;2;-;7
"355480 TREMEMBE";-;-;1;1;-;2
"355490 TRES FRONTEIRAS";-;1;-;-;-;1
"355495 TUIUTI";-;-;1;-;-;1
"355500 TUPA";-;-;1;-;-;1
"355540 UBATUBA";1;-;-;-;-;1
"355560 UCHOA";-;1;-;-;-;1
"355580 URANIA";-;-;-;1;-;1
"355620 VALINHOS";1;2;-;-;-;3
"355645 VARGEM GRANDE PAULISTA";-;1;-;-;-;1
"355650 VARZEA PAULISTA";-;-;2;-;-;2
"355660 VERA CRUZ";1;-;-;-;-;1
"355670 VINHEDO";1;1;1;1;-;4
"355700 VOTORANTIM";1;-;-;1;-;2
"355710 VOTUPORANGA";3;3;3;2;-;11
"410010 ABATIA";-;-;1;-;-;1
"410030 AGUDOS DO SUL";-;1;-;-;-;1
"410040 ALMIRANTE TAMANDARE";1;1;-;1;-;3
"410060 ALTO PARANA";-;-;-;1;-;1
"410100 AMPERE";-;2;-;-;-;2
"410120 ANTONINA";-;-;1;-;-;1
"410140 APUCARANA";-;1;3;-;-;4
"410150 ARAPONGAS";-;1;2;-;-;3
"410180 ARAUCARIA";2;-;-;2;-;4
"410210 ASTORGA";-;-;1;-;-;1
"410240 BANDEIRANTES";-;-;1;-;-;1
"410280 BELA VISTA DO PARAISO";-;-;1;-;-;1
"410320 BOM SUCESSO";-;1;-;-;-;1
"410360 CAMBARA";1;-;-;-;-;1
"410370 CAMBE";2;1;3;1;-;7
"410400 CAMPINA GRANDE DO SUL";-;-;-;1;-;1
"410420 CAMPO LARGO";1;1;-;-;-;2
"410430 CAMPO MOURAO";-;-;1;-;-;1
"410442 CANDOI";-;1;-;-;-;1
"410480 CASCAVEL";4;3;4;1;1;13
"410490 CASTRO";-;-;2;-;-;2
"410500 CATANDUVAS";-;-;-;1;-;1
"410550 CIANORTE";1;-;-;-;-;1
"410580 COLOMBO";2;2;1;1;1;7
"410630 CORBELIA";1;-;-;-;-;1
"410640 CORNELIO PROCOPIO";-;1;1;1;-;3
"410690 CURITIBA";20;10;23;16;1;70
"410710 DIAMANTE DO NORTE";-;-;-;-;1;1
"410765 FAZENDA RIO GRANDE";3;2;1;3;1;10
"410780 FLORAI";-;-;-;1;-;1
"410800 FLORESTOPOLIS";-;2;1;-;-;3
"410830 FOZ DO IGUACU";5;1;4;-;-;10
"410840 FRANCISCO BELTRAO";1;1;2;-;-;4
"410880 GUAIRA";-;-;-;1;-;1
"410940 GUARAPUAVA";-;-;-;-;1;1
"410960 GUARATUBA";-;1;-;-;-;1
"410980 IBIPORA";-;2;-;-;-;2
"411095 ITAIPULANDIA";-;-;1;-;-;1
"411110 ITAMBE";-;-;-;1;-;1
"411140 IVAI";-;-;-;1;-;1
"411150 IVAIPORA";-;-;1;-;-;1
"411180 JACAREZINHO";-;1;-;-;-;1
"411210 JANDAIA DO SUL";-;1;-;-;-;1
"411250 JARDIM ALEGRE";-;-;-;1;-;1
"411270 JATAIZINHO";-;-;1;-;-;1
"411320 LAPA";1;-;-;1;-;2
"411342 LIDIANOPOLIS";-;-;4;-;-;4
"411370 LONDRINA";14;4;12;6;-;36
"411430 MANDIRITUBA";1;-;-;-;-;1
"411460 MARECHAL CANDIDO RONDON";-;-;3;1;-;4
"411480 MARIALVA";1;-;-;1;-;2
"411520 MARINGA";5;3;18;8;2;36
"411540 MARMELEIRO";-;-;1;-;-;1
"411560 MATELANDIA";-;-;-;-;1;1
"411570 MATINHOS";-;-;1;-;-;1
"411580 MEDIANEIRA";-;1;-;-;-;1
"411670 NOVA AURORA";-;1;-;-;-;1
"411740 OURIZONA";1;-;-;-;-;1
"411750 PAICANDU";-;-;-;1;-;1
"411790 PALOTINA";-;1;-;-;-;1
"411800 PARAISO DO NORTE";-;-;1;-;-;1
"411820 PARANAGUA";3;-;-;-;-;3
"411840 PARANAVAI";1;-;1;-;-;2
"411845 PATO BRAGADO";-;-;-;1;-;1
"411915 PINHAIS";1;1;1;1;-;4
"411930 PINHAO";-;-;-;1;-;1
"411950 PIRAQUARA";-;2;3;1;-;6
"411990 PONTA GROSSA";3;1;1;6;-;11
"412000 PORECATU";1;-;-;-;-;1
"412050 PRIMEIRO DE MAIO";-;1;-;-;-;1
"412240 ROLANDIA";-;-;-;1;-;1
"412300 SALTO DO LONTRA";-;1;-;-;-;1
"412340 SANTA FE";-;-;-;1;-;1
"412350 SANTA HELENA";-;-;-;3;-;3
"412400 SANTANA DO ITARARE";-;1;-;-;-;1
"412405 SANTA TEREZINHA DE ITAIPU";1;-;-;-;-;1
"412540 SAO JOSE DA BOA VISTA";1;-;-;-;-;1
"412550 SAO JOSE DOS PINHAIS";2;4;3;2;1;12
"412570 SAO MIGUEL DO IGUACU";1;-;-;-;-;1
"412575 SAO PEDRO DO IGUACU";1;-;-;-;-;1
"412625 SARANDI";1;2;-;3;-;6
"412660 SIQUEIRA CAMPOS";-;1;-;-;-;1
"412710 TELEMACO BORBA";-;-;1;1;-;2
"412740 TERRA ROXA";-;1;-;-;-;1
"412760 TIJUCAS DO SUL";1;1;-;1;-;3
"412770 TOLEDO";2;1;4;6;-;13
"412795 TUPASSI";1;-;-;-;-;1
"412800 UBIRATA";1;-;-;-;-;1
"412810 UMUARAMA";-;-;1;-;-;1
"412850 WENCESLAU BRAZ";-;-;-;1;-;1
"420010 ABELARDO LUZ";-;-;-;-;2;2
"420100 ANITA GARIBALDI";-;-;-;1;-;1
"420130 ARAQUARI";1;-;-;-;-;1
"420140 ARARANGUA";-;-;-;-;2;2
"420170 ASCURRA";-;-;-;1;-;1
"420195 BALNEARIO ARROIO DO SILVA";1;-;-;-;-;1
"420200 BALNEARIO CAMBORIU";3;-;2;5;1;11
"420205 BALNEARIO BARRA DO SUL";1;-;-;-;-;1
"420207 BALNEARIO GAIVOTA";-;1;-;-;-;1
"420230 BIGUACU";-;-;-;2;-;2
"420240 BLUMENAU";6;2;3;4;-;15
"420245 BOMBINHAS";-;1;-;-;-;1
"420280 BRACO DO NORTE";-;1;-;-;-;1
"420290 BRUSQUE";1;1;-;-;-;2
"420320 CAMBORIU";-;4;7;3;-;14
"420370 CANELINHA";-;-;1;-;-;1
"420420 CHAPECO";3;-;-;-;1;4
"420425 COCAL DO SUL";-;-;-;1;-;1
"420430 CONCORDIA";-;-;2;-;-;2
"420460 CRICIUMA";2;6;9;2;-;19
"420510 DONA EMMA";1;-;-;-;-;1
"420540 FLORIANOPOLIS";2;3;5;1;-;11
"420545 FORQUILHINHA";1;-;-;-;-;1
"420550 FRAIBURGO";-;-;1;-;-;1
"420570 GAROPABA";1;1;-;-;-;2
"420580 GARUVA";2;1;1;-;-;4
"420590 GASPAR";-;-;1;-;-;1
"420600 GOVERNADOR CELSO RAMOS";1;-;-;-;-;1
"420700 ICARA";-;-;1;-;-;1
"420710 ILHOTA";1;-;-;-;-;1
"420770 IPUMIRIM";-;-;1;-;-;1
"420780 IRANI";-;1;-;-;-;1
"420790 IRINEOPOLIS";1;-;-;-;-;1
"420820 ITAJAI";6;6;8;2;1;23
"420830 ITAPEMA";1;-;1;-;-;2
"420880 JAGUARUNA";-;1;-;-;-;1
"420890 JARAGUA DO SUL";-;-;1;3;-;4
"420910 JOINVILLE";6;4;12;8;1;31
"420915 JOSE BOITEUX";-;-;-;1;-;1
"420930 LAGES";1;4;1;1;-;7
"420940 LAGUNA";-;-;-;1;-;1
"421010 MAFRA";-;1;-;-;-;1
"421050 MARAVILHA";1;-;-;-;1;2
"421130 NAVEGANTES";-;1;-;2;1;4
"421160 NOVA VENEZA";-;-;-;1;-;1
"421190 PALHOCA";4;4;4;-;1;13
"421220 PAPANDUVA";-;1;-;-;-;1
"421310 PIRATUBA";-;-;-;-;1;1
"421350 PORTO BELO";-;-;1;1;1;3
"421470 RIO DOS CEDROS";-;-;-;1;-;1
"421480 RIO DO SUL";-;-;1;1;-;2
"421545 SANGAO";-;-;1;-;-;1
"421565 SANTA ROSA DO SUL";-;1;-;-;-;1
"421570 SANTO AMARO DA IMPERATRIZ";-;1;-;-;-;1
"421580 SAO BENTO DO SUL";-;-;2;-;-;2
"421660 SAO JOSE";3;2;2;4;1;12
"421750 SEARA";1;-;-;-;-;1
"421760 SIDEROPOLIS";-;-;-;1;1;2
"421770 SOMBRIO";1;-;1;2;-;4
"421870 TUBARAO";1;-;1;-;-;2
"421880 TURVO";-;-;-;-;1;1
"421900 URUSSANGA";-;1;1;1;-;3
"421917 VARGEM BONITA";-;1;-;-;-;1
"421950 XANXERE";1;-;-;-;-;1
"422000 BALNEARIO RINCAO";-;-;1;-;-;1
"430020 AJURICABA";-;-;1;-;-;1
"430040 ALEGRETE";-;-;-;1;-;1
"430060 ALVORADA";-;3;1;4;-;8
"430080 ANTONIO PRADO";-;-;2;-;-;2
"430107 ARROIO DO PADRE";-;1;-;-;-;1
"430150 AUGUSTO PESTANA";-;1;-;-;-;1
"430160 BAGE";1;-;-;-;-;1
"430187 BARRA DO QUARAI";-;1;-;-;-;1
"430200 BARROS CASSAL";-;1;1;-;-;2
"430210 BENTO GONCALVES";1;1;-;2;1;5
"430222 BOA VISTA DO CADEADO";1;-;-;-;-;1
"430245 BOQUEIRAO DO LEAO";-;-;-;-;1;1
"430250 BOSSOROCA";-;-;-;1;-;1
"430310 CACHOEIRINHA";-;1;-;-;1;2
"430340 CAICARA";-;1;-;-;-;1
"430350 CAMAQUA";-;-;1;-;-;1
"430420 CANDELARIA";-;1;1;-;-;2
"430460 CANOAS";3;-;3;1;-;7
"430463 CAPAO DA CANOA";-;-;-;1;-;1
"430470 CARAZINHO";-;2;2;-;-;4
"430471 CARAA";-;1;-;-;-;1
"430510 CAXIAS DO SUL";8;5;2;7;1;23
"430544 CHUVISCA";-;-;1;-;-;1
"430545 CIDREIRA";-;-;-;1;-;1
"430590 CORONEL BICACO";-;1;-;-;-;1
"430610 CRUZ ALTA";-;-;2;-;-;2
"430650 DOM FELICIANO";-;-;1;-;-;1
"430676 ELDORADO DO SUL";-;1;-;-;1;2
"430680 ENCANTADO";-;-;1;-;-;1
"430700 ERECHIM";1;-;1;-;-;2
"430705 ERNESTINA";-;-;1;-;-;1
"430760 ESTANCIA VELHA";-;-;-;1;-;1
"430770 ESTEIO";1;1;1;1;-;4
"430790 FARROUPILHA";-;-;1;-;-;1
"430830 FONTOURA XAVIER";1;-;-;-;-;1
"430845 FORTALEZA DOS VALOS";-;-;1;-;-;1
"430860 GARIBALDI";1;-;-;1;-;2
"430905 GLORINHA";-;-;1;-;-;1
"430910 GRAMADO";-;-;-;1;-;1
"430920 GRAVATAI";-;2;-;3;-;5
"430930 GUAIBA";-;-;-;2;-;2
"431033 IMBE";-;-;-;1;-;1
"431046 IPIRANGA DO SUL";-;-;-;1;-;1
"431053 ITAARA";1;-;-;-;-;1
"431060 ITAQUI";-;-;3;-;-;3
"431070 ITATIBA DO SUL";-;-;1;-;-;1
"431130 LAGOA VERMELHA";-;-;2;-;-;2
"431240 MONTENEGRO";-;-;-;-;1;1
"431275 NOVA ALVORADA";-;1;-;-;-;1
"431295 NOVA BOA VISTA";-;1;-;-;-;1
"431340 NOVO HAMBURGO";4;2;7;5;2;20
"431350 OSORIO";-;1;-;-;1;2
"431390 PANAMBI";-;-;1;-;-;1
"431410 PASSO FUNDO";2;4;8;-;-;14
"431440 PELOTAS";1;2;-;1;-;4
"431490 PORTO ALEGRE";6;12;24;15;3;60
"431510 PORTO XAVIER";-;-;-;1;-;1
"431570 RIO PARDO";-;-;1;-;-;1
"431575 RIOZINHO";-;-;-;1;-;1
"431600 ROLANTE";1;-;1;-;-;2
"431610 RONDA ALTA";1;-;-;-;-;1
"431640 ROSARIO DO SUL";-;-;-;1;-;1
"431680 SANTA CRUZ DO SUL";1;1;-;1;-;3
"431690 SANTA MARIA";5;1;1;-;1;8
"431710 SANT'ANA DO LIVRAMENTO";-;-;-;1;-;1
"431720 SANTA ROSA";1;-;1;-;-;2
"431750 SANTO ANGELO";-;-;1;-;-;1
"431843 SAO JOAO DO POLESINE";1;-;-;-;-;1
"431850 SAO JOSE DO NORTE";-;-;1;-;-;1
"431870 SAO LEOPOLDO";-;1;1;3;-;5
"431890 SAO LUIZ GONZAGA";-;-;-;1;-;1
"431900 SAO MARCOS";1;-;1;-;-;2
"431912 SAO MARTINHO DA SERRA";1;-;-;-;-;1
"431960 SAO SEPE";1;-;-;-;-;1
"432000 SAPUCAIA DO SUL";1;2;2;-;-;5
"432020 SEBERI";-;-;1;-;-;1
"432030 SELBACH";1;-;-;-;-;1
"432085 TABAI";-;-;-;1;-;1
"432110 TAPES";-;1;-;-;-;1
"432120 TAQUARA";-;-;-;1;-;1
"432145 TEUTONIA";-;-;-;1;-;1
"432147 TIRADENTES DO SUL";-;-;1;-;-;1
"432150 TORRES";-;-;1;-;-;1
"432160 TRAMANDAI";-;-;1;-;-;1
"432180 TRES DE MAIO";1;-;-;-;-;1
"432183 TRES FORQUILHAS";-;1;-;-;-;1
"432190 TRES PASSOS";-;-;-;-;1;1
"432225 TUPANDI";-;-;-;1;-;1
"432250 VACARIA";1;-;-;-;-;1
"432270 VERA CRUZ";1;-;-;-;-;1
"432300 VIAMAO";1;-;1;2;1;5
"432330 VILA FLORES";1;-;-;-;-;1
"432370 VISTA GAUCHA";-;1;-;-;-;1
"432380 XANGRI-LA";-;-;1;-;-;1
"500060 AMAMBAI";-;1;-;-;-;1
"500210 BELA VISTA";1;-;-;-;-;1
"500270 CAMPO GRANDE";3;9;2;1;-;15
"500295 CHAPADAO DO SUL";-;1;-;-;-;1
"500325 COSTA RICA";-;1;-;-;-;1
"500370 DOURADOS";-;3;2;-;-;5
"500400 GLORIA DE DOURADOS";-;-;-;1;-;1
"500540 MARACAJU";1;-;1;-;-;2
"500660 PONTA PORA";1;-;-;-;-;1
"510025 ALTA FLORESTA";-;1;-;-;-;1
"510030 ALTO ARAGUAIA";-;1;1;-;-;2
"510250 CACERES";1;1;-;1;-;3
"510305 CLAUDIA";-;1;-;-;-;1
"510340 CUIABA";5;3;3;2;-;13
"510350 DIAMANTINO";-;-;1;-;-;1
"510360 DOM AQUINO";-;-;1;-;-;1
"510510 JUARA";-;-;-;1;-;1
"510560 MATUPA";-;-;1;-;-;1
"510622 NOVA MUTUM";1;-;1;-;-;2
"510665 PONTAL DO ARAGUAIA";-;-;-;1;-;1
"510675 PONTES E LACERDA";1;-;-;-;-;1
"510677 PORTO ALEGRE DO NORTE";-;-;1;-;-;1
"510704 PRIMAVERA DO LESTE";-;-;-;1;-;1
"510760 RONDONOPOLIS";-;-;1;-;-;1
"510780 SANTO ANTONIO DO LEVERGER";-;-;2;-;-;2
"510790 SINOP";-;4;1;-;-;5
"510795 TANGARA DA SERRA";-;-;1;-;-;1
"510840 VARZEA GRANDE";-;1;4;-;-;5
"520025 AGUAS LINDAS DE GOIAS";1;-;-;1;-;2
"520050 ALOANDIA";1;-;-;-;-;1
"520080 ALVORADA DO NORTE";-;1;-;-;-;1
"520082 AMARALINA";-;-;1;-;-;1
"520110 ANAPOLIS";1;-;4;1;1;7
"520140 APARECIDA DE GOIANIA";1;-;4;3;-;8
"520340 BOM JARDIM DE GOIAS";-;-;2;-;-;2
"520355 BONFINOPOLIS";-;-;-;1;-;1
"520360 BRAZABRANTES";-;-;1;-;-;1
"520750 ESTRELA DO NORTE";1;-;-;-;-;1
"520800 FORMOSA";1;-;-;-;-;1
"520815 GAMELEIRA DE GOIAS";-;-;-;1;-;1
"520860 GOIANESIA";-;-;-;1;-;1
"520870 GOIANIA";6;-;8;4;-;18
"520880 GOIANIRA";-;-;-;1;-;1
"520990 IACIARA";-;1;-;-;-;1
"521000 INHUMAS";1;-;-;-;-;1
"521040 ITABERAI";-;-;-;1;-;1
"521180 JARAGUA";-;-;-;1;-;1
"521190 JATAI";1;1;-;-;-;2
"521250 LUZIANIA";-;1;2;1;-;4
"521450 NEROPOLIS";-;-;-;1;-;1
"521523 NOVO GAMA";-;-;-;2;-;2
"521550 OUVIDOR";1;-;-;-;-;1
"521560 PADRE BERNARDO";-;1;-;-;-;1
"521590 PALMINOPOLIS";-;-;1;-;-;1
"521710 PIRACANJUBA";-;-;1;-;-;1
"521720 PIRANHAS";-;-;1;-;-;1
"521760 PLANALTINA";1;-;1;-;-;2
"521880 RIO VERDE";2;-;-;5;1;8
"521890 RUBIATABA";-;-;-;1;-;1
"521900 SANCLERLANDIA";1;-;-;-;-;1
"521930 SANTA HELENA DE GOIAS";-;-;1;-;-;1
"521940 SANTA RITA DO ARAGUAIA";-;-;1;-;-;1
"522000 SAO JOAO D'ALIANCA";-;1;-;-;-;1
"522185 VALPARAISO DE GOIAS";-;-;1;-;1;2
"522200 VIANOPOLIS";1;-;-;-;-;1
"530010 BRASILIA";7;10;8;8;1;34
"Ignorado - BR";1;2;-;-;-;3
"Total";951;859;1202;979;254;4245
&
