2020
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis in Pregnant Women
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;3;-;-;-;-;-;-;-;-;3
"110001 ALTA FLORESTA D'OESTE";-;3;-;2;-;3;3;-;1;3;2;-;1;18
"110002 ARIQUEMES";-;27;15;26;19;19;20;17;11;12;11;12;14;203
"110003 CABIXI";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"110004 CACOAL";-;10;15;8;11;12;9;11;8;13;10;6;10;123
"110005 CEREJEIRAS";-;-;2;1;1;3;3;2;-;1;-;2;2;17
"110006 COLORADO DO OESTE";-;-;1;2;2;1;2;-;-;-;-;4;3;15
"110007 CORUMBIARA";-;-;-;1;-;-;1;1;1;-;-;-;1;5
"110008 COSTA MARQUES";-;1;2;3;3;2;-;-;1;2;4;5;1;24
"110009 ESPIGAO D'OESTE";-;3;1;5;4;3;6;5;2;3;2;2;2;38
"110010 GUAJARA-MIRIM";-;5;8;10;8;4;10;3;8;3;5;5;4;73
"110011 JARU";-;5;2;8;7;8;3;3;1;6;7;6;4;60
"110012 JI-PARANA";-;10;11;13;10;25;25;16;15;17;9;10;11;172
"110013 MACHADINHO D'OESTE";-;5;2;14;5;5;5;4;4;3;5;1;5;58
"110014 NOVA BRASILANDIA D'OESTE";-;2;1;2;1;3;-;3;-;-;-;-;1;13
"110015 OURO PRETO DO OESTE";-;4;8;5;1;2;1;4;3;-;2;2;6;38
"110018 PIMENTA BUENO";-;4;4;1;-;2;1;-;2;1;-;1;2;18
"110020 PORTO VELHO";-;60;71;85;63;80;60;55;49;41;59;59;54;736
"110025 PRESIDENTE MEDICI";-;4;-;1;1;2;3;3;1;1;1;-;-;17
"110026 RIO CRESPO";-;-;1;-;1;-;1;-;-;-;-;1;-;4
"110028 ROLIM DE MOURA";-;8;6;8;3;6;17;6;12;6;8;7;4;91
"110030 VILHENA";-;27;11;21;26;16;13;17;11;23;17;10;19;211
"110032 SAO MIGUEL DO GUAPORE";-;5;5;2;4;1;1;1;-;-;2;1;-;22
"110033 NOVA MAMORE";-;5;3;3;5;4;6;1;3;1;5;3;4;43
"110034 ALVORADA D'OESTE";-;-;1;-;-;1;-;-;-;1;-;-;-;3
"110037 ALTO ALEGRE DOS PARECIS";-;-;1;-;-;1;-;-;-;-;-;-;-;2
"110040 ALTO PARAISO";-;-;2;-;-;1;-;-;1;1;1;1;1;8
"110045 BURITIS";-;7;2;5;3;2;1;2;9;6;8;3;2;50
"110060 CACAULANDIA";-;-;-;-;-;-;-;-;-;2;1;1;-;4
"110070 CAMPO NOVO DE RONDONIA";-;2;1;-;-;-;1;-;-;1;1;-;-;6
"110080 CANDEIAS DO JAMARI";-;-;4;4;4;6;6;5;1;4;3;3;2;42
"110090 CASTANHEIRAS";-;-;-;-;1;-;-;-;-;-;-;1;-;2
"110092 CHUPINGUAIA";-;3;2;3;4;3;1;2;1;1;1;3;1;25
"110094 CUJUBIM";-;1;2;1;-;4;2;3;3;2;2;5;2;27
"110100 GOVERNADOR JORGE TEIXEIRA";-;1;-;1;-;1;-;-;1;-;-;-;-;4
"110110 ITAPUA DO OESTE";-;-;-;2;1;-;-;-;-;-;1;1;-;5
"110120 MINISTRO ANDREAZZA";-;1;-;-;-;-;-;1;-;-;-;-;-;2
"110130 MIRANTE DA SERRA";-;-;1;-;1;2;-;-;1;-;-;-;-;5
"110140 MONTE NEGRO";-;2;2;1;1;2;1;1;1;-;3;-;-;14
"110145 PARECIS";-;-;-;-;-;-;-;-;1;-;-;-;-;1
