2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"320517 VILA VALERIO";-;1;-;-;-;1;1;3
"320520 VILA VELHA";88;69;100;94;128;91;36;606
"320530 VITORIA";89;105;136;92;151;119;75;767
"330010 ANGRA DOS REIS";11;11;35;10;15;2;-;84
"330015 APERIBE";1;3;1;-;-;-;-;5
"330020 ARARUAMA";3;5;6;5;3;3;-;25
"330022 AREAL";-;1;1;1;1;1;1;6
"330023 ARMACAO DOS BUZIOS";1;-;3;-;6;12;1;23
"330025 ARRAIAL DO CABO";5;1;1;-;3;1;-;11
"330030 BARRA DO PIRAI";4;4;4;6;14;2;-;34
"330040 BARRA MANSA";-;2;2;3;5;3;4;19
"330045 BELFORD ROXO";34;25;15;11;20;12;1;118
"330050 BOM JARDIM";-;1;-;-;-;-;-;1
"330060 BOM JESUS DO ITABAPOANA";-;-;2;-;5;-;-;7
"330070 CABO FRIO";38;26;25;4;3;6;-;102
"330080 CACHOEIRAS DE MACACU";9;5;11;6;3;2;1;37
"330093 CARAPEBUS";-;-;-;-;-;1;-;1
"330100 CAMPOS DOS GOYTACAZES";26;14;28;21;36;5;-;130
"330110 CANTAGALO";3;1;2;3;1;3;-;13
"330120 CARMO";-;-;-;-;1;1;-;2
"330130 CASIMIRO DE ABREU";7;6;16;8;4;1;-;42
"330140 CONCEICAO DE MACABU";2;-;1;2;-;3;1;9
"330150 CORDEIRO";1;-;1;-;-;1;-;3
"330170 DUQUE DE CAXIAS";36;42;61;14;38;10;2;203
"330180 ENGENHEIRO PAULO DE FRONTIN";-;-;-;-;2;-;-;2
"330185 GUAPIMIRIM";9;5;6;7;7;3;1;38
"330187 IGUABA GRANDE";3;-;-;2;-;-;-;5
"330190 ITABORAI";21;21;38;29;29;15;5;158
"330200 ITAGUAI";7;7;11;7;5;-;-;37
"330205 ITALVA";-;-;-;1;-;-;-;1
"330225 ITATIAIA";-;1;2;1;1;2;-;7
"330227 JAPERI";100;39;98;61;86;34;20;438
"330230 LAJE DO MURIAE";-;1;-;1;-;1;-;3
"330240 MACAE";33;37;37;4;35;-;-;146
"330245 MACUCO";1;-;-;-;1;-;-;2
"330250 MAGE";51;35;70;24;21;33;8;242
"330260 MANGARATIBA";3;4;3;3;11;3;-;27
"330270 MARICA";28;32;38;24;34;18;3;177
"330280 MENDES";-;1;-;2;-;-;-;3
"330285 MESQUITA";20;19;22;10;16;11;6;104
"330290 MIGUEL PEREIRA";-;1;2;3;5;-;-;11
"330300 MIRACEMA";-;-;1;-;-;2;-;3
"330320 NILOPOLIS";8;5;3;2;8;2;1;29
"330330 NITEROI";77;76;115;66;84;40;-;458
"330340 NOVA FRIBURGO";-;-;-;-;1;-;-;1
"330350 NOVA IGUACU";140;102;120;135;124;130;24;775
"330360 PARACAMBI";3;1;3;1;-;-;-;8
"330370 PARAIBA DO SUL";1;-;-;4;2;3;-;10
"330380 PARATY";-;1;1;-;-;4;3;9
"330385 PATY DO ALFERES";1;1;2;-;-;-;-;4
"330390 PETROPOLIS";47;43;61;40;47;29;-;267
"330395 PINHEIRAL";2;2;2;-;1;-;-;7
"330400 PIRAI";2;1;4;2;3;2;-;14
"330410 PORCIUNCULA";-;1;-;-;-;-;-;1
"330411 PORTO REAL";-;2;2;2;2;1;-;9
"330412 QUATIS";-;1;-;-;-;-;-;1
"330414 QUEIMADOS";20;11;11;8;10;11;-;71
"330415 QUISSAMA";2;-;1;-;1;2;-;6
"330420 RESENDE";6;8;4;6;2;3;-;29
"330440 RIO CLARO";-;-;1;-;-;-;-;1
"330450 RIO DAS FLORES";3;-;-;-;-;-;-;3
"330452 RIO DAS OSTRAS";14;16;21;18;13;16;2;100
"330455 RIO DE JANEIRO";1002;806;913;585;625;482;81;4494
"330470 SANTO ANTONIO DE PADUA";1;1;2;-;2;-;2;8
"330475 SAO FRANCISCO DE ITABAPOANA";-;-;-;-;1;-;1;2
"330480 SAO FIDELIS";-;-;-;-;-;-;1;1
"330490 SAO GONCALO";51;43;79;45;44;16;-;278
"330500 SAO JOAO DA BARRA";-;-;-;1;-;-;1;2
"330510 SAO JOAO DE MERITI";60;46;64;55;73;41;2;341
"330513 SAO JOSE DE UBA";-;1;-;-;1;-;-;2
"330515 SAO JOSE DO VALE DO RIO PRETO";1;3;-;1;2;1;-;8
"330520 SAO PEDRO DA ALDEIA";4;2;4;-;1;5;-;16
"330540 SAPUCAIA";-;1;1;-;-;1;-;3
"330550 SAQUAREMA";5;7;5;2;1;2;-;22
"330555 SEROPEDICA";4;3;2;2;2;4;-;17
"330560 SILVA JARDIM";-;2;2;-;-;3;-;7
"330575 TANGUA";3;-;3;-;3;1;-;10
"330580 TERESOPOLIS";-;-;1;-;-;-;-;1
"330590 TRAJANO DE MORAES";-;-;-;1;1;-;-;2
"330600 TRES RIOS";1;-;1;-;-;2;-;4
"330610 VALENCA";33;4;10;5;7;15;1;75
