2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130010 ANORI";3;1;1;2;3;-;1;1;-;2;1;2;17
"130014 APUI";1;-;1;4;1;1;2;1;1;-;1;-;13
"130020 ATALAIA DO NORTE";1;2;2;2;-;2;-;-;1;1;1;-;12
"130030 AUTAZES";1;5;7;-;4;2;2;2;-;1;4;-;28
"130040 BARCELOS";2;1;-;-;-;-;-;1;-;1;-;-;5
"130050 BARREIRINHA";1;1;1;1;-;2;-;-;1;-;8;2;17
"130060 BENJAMIN CONSTANT";4;1;6;6;3;10;4;2;1;3;1;2;43
"130063 BERURI";2;2;2;1;6;1;-;-;-;-;-;2;16
"130068 BOA VISTA DO RAMOS";1;-;-;-;1;-;1;-;-;-;-;-;3
"130070 BOCA DO ACRE";1;-;4;1;2;1;2;1;-;2;1;1;16
"130080 BORBA";6;1;1;6;1;1;5;3;4;1;6;-;35
"130083 CAAPIRANGA";-;-;1;1;-;3;-;-;-;-;-;-;5
"130090 CANUTAMA";-;4;-;-;3;1;1;-;-;2;2;-;13
"130100 CARAUARI";8;10;13;5;16;17;40;5;4;1;5;1;125
"130110 CAREIRO";4;8;2;2;3;1;-;1;2;1;4;5;33
"130115 CAREIRO DA VARZEA";-;2;-;-;-;1;3;1;1;-;-;-;8
"130120 COARI";9;18;21;13;21;7;5;7;7;12;13;12;145
"130130 CODAJAS";-;-;-;-;-;-;2;2;-;-;1;-;5
"130140 EIRUNEPE";7;2;11;11;3;8;10;2;2;1;3;2;62
"130150 ENVIRA";10;13;15;2;29;2;1;3;1;3;8;9;96
"130160 FONTE BOA";-;1;-;-;-;2;-;-;-;-;-;-;3
"130165 GUAJARA";-;1;4;2;2;1;2;-;-;-;-;-;12
"130170 HUMAITA";5;6;3;5;8;7;3;3;5;2;2;4;53
"130180 IPIXUNA";1;-;2;2;-;2;1;-;-;2;2;-;12
"130185 IRANDUBA";7;9;17;10;7;7;7;4;3;4;3;-;78
"130190 ITACOATIARA";7;14;16;7;9;6;7;8;5;10;5;6;100
"130195 ITAMARATI";2;2;2;-;1;-;-;16;-;-;-;1;24
"130200 ITAPIRANGA";1;2;1;2;3;2;4;1;-;-;1;2;19
"130210 JAPURA";1;-;7;5;-;-;-;-;-;-;6;-;19
"130220 JURUA";1;-;-;-;1;1;12;1;-;3;-;-;19
"130230 JUTAI";1;1;5;5;4;1;1;-;-;3;2;1;24
"130240 LABREA";9;5;9;1;2;3;1;4;6;5;3;7;55
"130250 MANACAPURU";9;5;12;13;15;17;12;6;19;4;6;5;123
"130255 MANAQUIRI";1;2;2;3;2;-;3;-;-;2;1;-;16
"130260 MANAUS";592;514;621;623;668;553;289;399;271;336;233;353;5452
"130270 MANICORE";10;9;11;8;7;4;4;7;6;5;9;5;85
"130280 MARAA";1;3;3;1;5;2;2;5;-;1;2;-;25
"130290 MAUES";1;2;3;3;1;2;-;1;-;1;1;-;15
"130300 NHAMUNDA";-;2;2;-;1;-;-;1;-;-;5;-;11
"130310 NOVA OLINDA DO NORTE";9;11;8;6;3;1;-;2;2;-;-;-;42
"130320 NOVO AIRAO";3;5;8;4;3;-;-;1;-;1;3;-;28
"130330 NOVO ARIPUANA";-;-;-;1;-;3;-;-;-;-;-;-;4
"130340 PARINTINS";18;19;29;15;23;9;10;6;7;13;10;9;168
"130350 PAUINI";5;2;1;4;3;4;5;-;-;5;1;1;31
"130353 PRESIDENTE FIGUEIREDO";3;4;3;2;6;2;4;5;4;3;3;3;42
"130356 RIO PRETO DA EVA";6;1;4;3;8;4;5;3;8;1;3;4;50
"130360 SANTA ISABEL DO RIO NEGRO";1;-;1;2;3;1;1;-;-;-;-;-;9
"130370 SANTO ANTONIO DO ICA";-;1;2;2;1;-;2;1;-;-;-;1;10
"130380 SAO GABRIEL DA CACHOEIRA";3;5;4;1;3;1;1;1;-;2;-;7;28
"130390 SAO PAULO DE OLIVENCA";1;4;2;3;-;1;1;-;-;-;-;-;12
"130395 SAO SEBASTIAO DO UATUMA";-;1;3;2;2;2;2;-;-;-;-;1;13
"130400 SILVES";-;-;1;4;2;1;-;3;1;-;-;-;12
