2011
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis in Pregnant Women
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;3;-;-;-;-;1;-;-;-;4
"110001 ALTA FLORESTA D'OESTE";-;3;-;4;1;4;5;-;5;3;3;1;2;31
"110002 ARIQUEMES";-;38;20;32;29;26;26;32;24;25;24;21;21;318
"110003 CABIXI";-;1;2;-;-;-;1;-;-;-;3;-;1;8
"110004 CACOAL";-;15;23;19;20;23;17;21;14;23;16;18;15;224
"110005 CEREJEIRAS";-;-;2;1;3;4;4;2;-;1;1;4;3;25
"110006 COLORADO DO OESTE";-;1;2;5;2;3;2;1;2;-;-;4;3;25
"110007 CORUMBIARA";-;-;-;1;-;1;1;1;1;1;-;-;3;9
"110008 COSTA MARQUES";-;1;3;4;3;4;-;-;1;2;4;8;1;31
"110009 ESPIGAO D'OESTE";-;5;4;6;6;6;6;5;5;5;4;4;3;59
"110010 GUAJARA-MIRIM";-;11;9;11;11;6;12;7;8;4;8;8;5;100
"110011 JARU";-;9;7;10;8;12;3;5;4;10;8;7;5;88
"110012 JI-PARANA";-;14;18;19;16;30;33;21;22;23;17;14;17;244
"110013 MACHADINHO D'OESTE";-;9;6;16;7;8;7;6;6;5;9;3;5;87
"110014 NOVA BRASILANDIA D'OESTE";-;2;1;2;2;3;1;3;-;1;1;2;1;19
"110015 OURO PRETO DO OESTE";-;6;10;6;1;2;1;5;4;1;3;3;6;48
"110018 PIMENTA BUENO";-;10;8;3;8;8;7;1;7;5;5;9;5;76
"110020 PORTO VELHO";-;130;151;177;122;150;131;133;123;128;141;135;132;1653
"110025 PRESIDENTE MEDICI";-;6;2;1;2;2;4;3;1;1;2;2;2;28
"110026 RIO CRESPO";-;1;1;-;2;-;1;-;1;-;-;1;-;7
"110028 ROLIM DE MOURA";-;16;8;16;13;10;22;9;19;8;13;16;9;159
"110029 SANTA LUZIA D'OESTE";-;-;-;-;3;-;-;-;1;1;1;2;-;8
"110030 VILHENA";-;40;23;31;40;27;22;26;18;32;26;21;31;337
"110032 SAO MIGUEL DO GUAPORE";-;6;5;3;4;3;2;2;1;3;3;2;1;35
"110033 NOVA MAMORE";-;5;3;4;5;4;6;1;3;2;5;3;4;45
"110034 ALVORADA D'OESTE";-;1;2;1;1;2;1;-;-;1;-;2;-;11
"110037 ALTO ALEGRE DOS PARECIS";-;-;2;-;-;2;-;-;-;-;-;-;1;5
"110040 ALTO PARAISO";-;1;4;6;-;1;1;1;1;2;1;2;2;22
"110045 BURITIS";-;10;8;10;6;5;4;4;12;8;9;7;6;89
"110050 NOVO HORIZONTE DO OESTE";-;1;-;-;-;1;-;-;-;-;-;1;-;3
"110060 CACAULANDIA";-;-;-;-;-;1;-;-;-;2;1;2;-;6
"110070 CAMPO NOVO DE RONDONIA";-;4;2;-;-;1;1;-;-;2;1;-;-;11
"110080 CANDEIAS DO JAMARI";-;1;13;10;8;10;18;17;6;11;3;11;3;111
"110090 CASTANHEIRAS";-;-;-;-;1;-;-;1;1;-;-;1;-;4
"110092 CHUPINGUAIA";-;4;4;4;5;3;1;4;2;1;3;3;3;37
"110094 CUJUBIM";-;1;3;5;1;5;5;4;5;2;3;5;2;41
"110100 GOVERNADOR JORGE TEIXEIRA";-;1;-;1;-;2;-;-;1;-;-;-;-;5
"110110 ITAPUA DO OESTE";-;-;-;3;1;3;-;-;-;1;2;1;1;12
"110120 MINISTRO ANDREAZZA";-;1;1;-;1;-;-;2;-;1;-;1;-;7
"110130 MIRANTE DA SERRA";-;-;1;-;1;2;-;4;2;1;-;-;-;11
"110140 MONTE NEGRO";-;3;2;2;1;3;1;3;3;-;3;-;-;21
"110143 NOVA UNIAO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110145 PARECIS";-;1;-;1;-;-;-;-;2;1;-;1;1;7
"110146 PIMENTEIRAS DO OESTE";-;-;1;-;-;1;-;-;1;-;-;-;-;3
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;-;-;-;-;1;2;1;-;4
"110148 SAO FELIPE D'OESTE";-;-;-;-;1;-;-;-;1;1;-;-;-;3
"110149 SAO FRANCISCO DO GUAPORE";-;6;5;5;5;4;5;7;7;4;1;4;2;55
"110150 SERINGUEIRAS";-;1;1;4;2;3;2;3;2;2;2;-;3;25
"110155 TEIXEIROPOLIS";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"110160 THEOBROMA";-;2;1;-;-;-;-;-;2;-;-;1;-;6
"110170 URUPA";-;-;1;1;2;3;-;-;1;1;1;1;1;12
"110175 VALE DO ANARI";-;-;2;-;2;1;1;3;-;1;2;-;1;13
"110180 VALE DO PARAISO";-;-;-;-;-;-;-;1;1;1;-;1;1;5
"120001 ACRELANDIA";-;5;4;5;2;5;1;5;1;5;5;4;4;46
"120005 ASSIS BRASIL";-;7;1;6;4;-;3;4;5;5;5;4;3;47
"120010 BRASILEIA";-;8;9;24;9;12;14;13;13;11;12;8;12;145
"120013 BUJARI";-;9;9;4;6;3;3;3;11;10;9;3;9;79
"120017 CAPIXABA";-;8;7;12;5;9;9;8;6;4;4;4;4;80
"120020 CRUZEIRO DO SUL";-;35;35;38;32;24;31;18;27;24;30;30;37;361
"120025 EPITACIOLANDIA";-;7;7;5;6;5;5;3;5;3;7;12;5;70
"120030 FEIJO";-;18;11;18;10;10;18;11;6;15;9;12;16;154
"120032 JORDAO";-;1;-;5;2;-;2;3;1;2;2;1;-;19
"120033 MANCIO LIMA";-;-;5;9;3;4;4;6;9;1;5;3;3;52
"120034 MANOEL URBANO";-;1;4;7;2;6;2;1;6;1;3;2;2;37
"120035 MARECHAL THAUMATURGO";-;1;1;3;3;2;1;1;2;2;2;2;3;23
"120038 PLACIDO DE CASTRO";-;8;12;7;7;3;5;3;4;4;5;10;5;73
"120039 PORTO WALTER";-;3;1;4;2;-;-;-;-;1;3;3;4;21
"120040 RIO BRANCO";-;209;233;269;221;233;258;206;204;198;207;192;221;2651
"120042 RODRIGUES ALVES";-;5;1;8;4;1;1;4;5;2;3;1;4;39
