2012
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/leishvbr.def
Visceral Leishmaniasis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210710 MORROS";-;1;-;1;1;-;-;2;1;-;1;2;9
"210720 NINA RODRIGUES";-;-;-;-;1;1;1;-;1;-;-;-;4
"210725 NOVA COLINAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"210730 NOVA IORQUE";-;-;-;-;-;-;-;-;-;1;-;-;1
"210735 NOVA OLINDA DO MARANHAO";-;1;3;2;-;1;3;1;-;-;-;1;12
"210740 OLHO D'AGUA DAS CUNHAS";-;1;1;1;-;-;-;-;1;1;1;2;8
"210745 OLINDA NOVA DO MARANHAO";1;-;-;-;-;-;-;-;-;-;1;-;2
"210750 PACO DO LUMIAR";13;5;7;10;6;6;9;6;6;7;8;6;89
"210760 PALMEIRANDIA";1;-;-;-;1;-;-;-;-;-;1;-;3
"210770 PARAIBANO";1;1;3;3;4;2;3;1;3;1;1;3;26
"210780 PARNARAMA";1;4;5;12;8;5;5;13;3;3;4;2;65
"210790 PASSAGEM FRANCA";6;2;2;8;2;4;4;2;3;3;2;2;40
"210800 PASTOS BONS";-;2;2;-;2;5;-;-;-;1;2;-;14
"210805 PAULINO NEVES";-;2;1;1;1;3;1;1;-;1;-;-;11
"210810 PAULO RAMOS";-;2;1;3;-;2;2;3;-;1;1;1;16
"210820 PEDREIRAS";5;1;2;2;8;5;2;2;1;2;3;4;37
"210825 PEDRO DO ROSARIO";1;-;2;-;2;-;-;2;-;1;1;-;9
"210830 PENALVA";-;-;2;-;-;-;-;-;-;-;-;-;2
"210845 PERITORO";1;3;-;1;3;5;2;3;7;-;2;1;28
"210850 PINDARE-MIRIM";-;2;2;1;-;1;2;3;-;3;1;1;16
"210860 PINHEIRO";-;1;1;-;1;-;1;-;-;-;-;-;4
"210870 PIO XII";4;1;-;-;1;1;2;1;-;-;2;-;12
"210880 PIRAPEMAS";-;1;-;2;1;2;2;-;-;3;-;1;12
"210890 POCAO DE PEDRAS";-;1;-;-;2;1;1;2;1;2;1;1;12
"210900 PORTO FRANCO";2;2;6;6;8;5;9;8;6;1;2;2;57
"210910 PRESIDENTE DUTRA";3;4;2;3;1;2;2;2;1;1;4;1;26
"210920 PRESIDENTE JUSCELINO";2;-;-;-;2;1;1;-;-;1;-;-;7
"210927 PRESIDENTE SARNEY";-;-;-;-;-;-;-;1;-;1;-;-;2
"210930 PRESIDENTE VARGAS";1;-;-;-;-;1;1;1;-;1;-;-;5
"210940 PRIMEIRA CRUZ";-;-;-;-;-;-;1;-;-;-;-;-;1
"210945 RAPOSA";4;3;2;1;7;4;4;4;1;2;7;2;41
"210950 RIACHAO";4;6;1;4;4;6;4;6;3;3;2;2;45
"210955 RIBAMAR FIQUENE";-;-;1;1;1;1;3;1;-;1;1;-;10
"210960 ROSARIO";2;6;7;7;9;7;3;8;8;6;1;4;68
"210970 SAMBAIBA";-;2;-;-;-;-;-;-;-;-;-;-;2
"210975 SANTA FILOMENA DO MARANHAO";1;-;-;-;-;-;-;1;1;-;1;-;4
"210980 SANTA HELENA";-;-;-;-;-;-;-;-;-;-;1;-;1
"210990 SANTA INES";11;10;10;14;10;18;21;11;11;17;8;7;148
"211000 SANTA LUZIA";5;1;6;9;9;13;8;10;4;3;3;3;74
"211003 SANTA LUZIA DO PARUA";1;2;2;-;2;1;-;-;1;1;-;1;11
"211010 SANTA QUITERIA DO MARANHAO";1;-;1;-;2;-;1;-;1;-;-;-;6
"211020 SANTA RITA";7;2;4;6;9;3;8;8;6;4;6;4;67
"211023 SANTANA DO MARANHAO";-;-;-;1;-;-;-;-;-;-;-;-;1
"211027 SANTO AMARO DO MARANHAO";-;-;-;-;1;-;1;2;1;-;-;-;5
"211030 SANTO ANTONIO DOS LOPES";-;-;1;-;1;6;-;-;3;1;1;1;14
"211040 SAO BENEDITO DO RIO PRETO";2;-;-;-;-;-;-;1;1;1;3;-;8
"211050 SAO BENTO";-;1;-;-;-;-;1;-;1;-;-;-;3
"211060 SAO BERNARDO";-;-;-;2;-;-;1;1;1;-;-;-;5
"211065 SAO DOMINGOS DO AZEITAO";-;-;1;-;-;1;2;-;1;-;-;-;5
"211070 SAO DOMINGOS DO MARANHAO";5;2;3;4;6;2;3;10;2;3;3;5;48
"211085 SAO FRANCISCO DO BREJAO";-;-;-;-;-;1;1;1;-;-;1;-;4
"211090 SAO FRANCISCO DO MARANHAO";-;-;-;-;1;-;-;-;-;-;-;-;1
"211100 SAO JOAO BATISTA";2;-;-;-;-;-;-;-;2;-;-;1;5
"211102 SAO JOAO DO CARU";-;-;-;-;-;-;1;-;-;-;-;-;1
"211105 SAO JOAO DO PARAISO";7;-;5;1;-;-;1;-;2;2;-;1;19
"211107 SAO JOAO DO SOTER";1;3;4;2;5;3;4;5;2;4;4;5;42
"211110 SAO JOAO DOS PATOS";2;-;3;5;9;2;6;5;2;2;3;-;39
"211120 SAO JOSE DE RIBAMAR";22;21;16;24;15;13;22;17;7;21;6;18;202
"211125 SAO JOSE DOS BASILIOS";1;-;-;-;-;-;-;-;-;-;-;-;1
"211130 SAO LUIS";49;42;46;61;59;54;58;49;34;35;49;54;590
"211140 SAO LUIS GONZAGA DO MARANHAO";2;1;3;-;2;4;4;2;2;-;1;1;22
"211150 SAO MATEUS DO MARANHAO";5;4;4;6;10;4;10;4;5;4;3;5;64
"211153 SAO PEDRO DA AGUA BRANCA";-;-;1;4;3;-;-;3;2;3;2;-;18
"211160 SAO RAIMUNDO DAS MANGABEIRAS";1;-;1;4;-;1;-;-;-;1;-;1;9
"211163 SAO RAIMUNDO DO DOCA BEZERRA";-;-;-;-;2;1;-;-;-;-;-;-;3
"211167 SAO ROBERTO";-;1;-;1;3;-;-;-;-;-;-;-;5
"211170 SAO VICENTE FERRER";1;-;-;-;-;-;-;-;-;-;-;-;1
"211172 SATUBINHA";-;-;-;-;-;-;-;1;2;-;-;-;3
"211174 SENADOR ALEXANDRE COSTA";1;2;3;-;-;2;2;2;2;5;1;2;22
"211176 SENADOR LA ROCQUE";1;3;-;4;7;2;2;-;-;-;2;1;22
