2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis in Pregnant Women
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"110001 ALTA FLORESTA D'OESTE";-;3;-;1;-;2;-;-;1;3;1;-;1;12
"110002 ARIQUEMES";-;18;8;15;7;11;14;6;5;6;5;5;7;107
"110004 CACOAL";-;6;9;6;5;7;6;4;4;5;5;1;4;62
"110005 CEREJEIRAS";-;-;1;1;1;2;3;-;-;-;-;1;-;9
"110006 COLORADO DO OESTE";-;-;1;2;1;1;2;-;-;-;-;1;1;9
"110007 CORUMBIARA";-;-;-;1;-;-;1;-;-;-;-;-;1;3
"110008 COSTA MARQUES";-;-;2;3;1;2;-;-;-;-;-;1;-;9
"110009 ESPIGAO D'OESTE";-;3;1;4;2;3;5;-;1;3;-;2;1;25
"110010 GUAJARA-MIRIM";-;4;6;3;4;2;2;1;3;-;2;1;1;29
"110011 JARU";-;5;1;4;7;7;1;1;1;4;4;5;1;41
"110012 JI-PARANA";-;9;8;5;5;13;8;6;7;7;2;4;3;77
"110013 MACHADINHO D'OESTE";-;3;-;7;4;3;2;2;1;-;3;-;2;27
"110014 NOVA BRASILANDIA D'OESTE";-;2;1;2;1;1;-;1;-;-;-;-;-;8
"110015 OURO PRETO DO OESTE";-;2;7;3;1;1;-;2;2;-;2;1;3;24
"110018 PIMENTA BUENO";-;-;1;-;-;-;-;-;-;-;-;-;1;2
"110020 PORTO VELHO";-;40;51;47;32;38;30;18;18;15;29;27;31;376
"110025 PRESIDENTE MEDICI";-;4;-;-;1;1;2;1;-;-;1;-;-;10
"110026 RIO CRESPO";-;-;1;-;1;-;1;-;-;-;-;-;-;3
"110028 ROLIM DE MOURA";-;4;-;5;2;5;10;2;3;5;4;1;3;44
"110030 VILHENA";-;17;9;10;12;7;5;5;4;5;5;3;11;93
