2012
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"313490 JACUTINGA";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"313500 JAGUARACU";-;83;70;34;6;1;-;-;1;-;-;-;1;196
"313505 JAIBA";-;77;381;31;8;-;-;-;1;-;1;4;4;507
"313507 JAMPRUCA";-;4;13;55;25;6;5;-;1;-;-;-;1;110
"313510 JANAUBA";-;319;1122;461;199;78;15;12;16;1;4;9;18;2254
"313520 JANUARIA";-;242;480;216;65;14;4;-;10;1;3;5;4;1044
"313530 JAPARAIBA";-;-;4;14;15;8;2;-;-;-;-;-;-;43
"313535 JAPONVAR";-;9;29;21;10;2;-;-;-;-;-;-;2;73
"313540 JECEABA";-;-;-;5;-;-;-;-;-;-;-;-;-;5
"313545 JENIPAPO DE MINAS";-;39;32;19;1;1;1;-;1;-;-;-;2;96
"313550 JEQUERI";-;1;1;7;5;1;-;-;-;-;-;-;-;15
"313560 JEQUITAI";-;282;191;17;16;7;1;-;2;1;6;16;214;753
"313570 JEQUITIBA";-;2;-;19;8;4;4;-;-;-;-;-;-;37
"313580 JEQUITINHONHA";-;7;43;164;32;6;-;-;-;-;-;-;-;252
"313600 JOAIMA";-;5;73;101;9;3;1;-;-;-;-;-;1;193
"313610 JOANESIA";-;27;22;7;6;3;4;1;-;-;-;1;5;76
"313620 JOAO MONLEVADE";-;32;186;912;595;48;8;4;1;4;2;2;10;1804
"313630 JOAO PINHEIRO";-;4;7;43;114;206;131;24;4;-;5;-;2;540
"313640 JOAQUIM FELICIO";-;2;15;64;13;2;-;-;2;-;1;-;-;99
"313650 JORDANIA";-;6;20;19;13;2;-;-;-;-;1;-;5;66
"313652 JOSE GONCALVES DE MINAS";-;8;-;2;-;-;-;-;-;-;-;-;-;10
"313657 JOSENOPOLIS";-;34;50;22;2;2;-;-;-;-;-;-;2;112
"313660 NOVA UNIAO";-;1;1;4;17;3;2;-;-;-;-;-;-;28
"313665 JUATUBA";-;5;36;154;106;12;5;1;-;1;1;-;1;322
"313670 JUIZ DE FORA";-;71;298;1393;2594;954;94;10;9;8;8;12;18;5469
"313680 JURAMENTO";-;4;3;2;4;2;-;-;-;-;-;1;1;17
"313690 JURUAIA";-;-;1;-;1;-;-;-;-;-;-;-;-;2
"313695 JUVENILIA";-;40;21;11;7;1;-;1;-;-;-;10;54;145
"313700 LADAINHA";-;-;7;7;4;5;2;1;-;-;-;-;1;27
"313710 LAGAMAR";-;1;3;11;5;1;-;-;-;-;-;-;-;21
"313720 LAGOA DA PRATA";-;2;6;65;47;16;2;1;-;-;-;-;2;141
"313730 LAGOA DOS PATOS";-;13;31;21;2;-;-;-;-;-;-;-;2;69
"313740 LAGOA DOURADA";-;-;-;1;3;-;-;1;-;-;1;-;-;6
"313750 LAGOA FORMOSA";-;-;5;18;25;21;-;5;4;5;3;2;1;89
"313753 LAGOA GRANDE";-;-;-;-;5;8;1;1;-;1;2;-;-;18
"313760 LAGOA SANTA";-;18;82;662;937;210;44;5;2;-;1;11;9;1981
"313770 LAJINHA";-;3;13;85;100;22;11;5;2;-;-;2;-;243
"313780 LAMBARI";-;1;1;6;2;-;-;-;-;-;-;-;-;10
"313800 LARANJAL";-;2;3;12;35;16;1;-;-;-;-;-;-;69
"313810 LASSANCE";-;27;282;282;163;23;4;-;2;-;2;10;17;812
"313820 LAVRAS";-;3;7;68;163;45;12;3;1;-;-;2;-;304
"313830 LEANDRO FERREIRA";-;-;3;6;17;11;3;1;-;-;-;-;-;41
"313835 LEME DO PRADO";-;1;35;103;25;6;4;-;-;-;1;-;-;175
"313840 LEOPOLDINA";-;855;1124;619;112;27;8;3;2;-;1;4;35;2790
"313850 LIBERDADE";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"313860 LIMA DUARTE";-;-;-;2;4;3;-;-;-;-;-;-;-;9
"313862 LIMEIRA DO OESTE";-;1;19;23;29;14;3;5;-;-;-;1;1;96
"313865 LONTRA";-;-;-;17;5;2;1;-;1;1;-;-;-;27
"313867 LUISBURGO";-;-;1;17;2;-;1;1;-;-;-;1;-;23
"313868 LUISLANDIA";-;4;5;11;11;8;3;-;-;-;-;-;3;45
"313870 LUMINARIAS";-;1;1;-;1;-;-;-;-;-;-;-;-;3
"313880 LUZ";-;5;55;742;608;144;23;6;8;15;3;3;7;1619
"313890 MACHACALIS";-;33;110;301;63;20;6;4;-;-;-;2;1;540
"313900 MACHADO";-;2;2;15;22;15;6;-;-;1;1;1;3;68
"313910 MADRE DE DEUS DE MINAS";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313920 MALACACHETA";-;165;204;250;84;31;21;1;1;2;2;3;9;773
"313925 MAMONAS";-;25;42;38;24;18;6;-;3;1;-;1;3;161
"313930 MANGA";-;25;183;101;20;7;6;3;-;-;1;1;2;349
"313940 MANHUACU";-;70;365;841;538;102;14;5;4;4;2;5;12;1962
"313950 MANHUMIRIM";-;4;96;286;165;33;2;2;-;-;-;-;-;588
"313960 MANTENA";-;61;140;253;294;85;4;2;-;4;1;1;17;862
"313970 MARAVILHAS";-;4;9;28;9;1;-;-;-;-;-;-;1;52
"313980 MAR DE ESPANHA";-;3;4;33;53;25;3;-;1;-;-;-;-;122
"314000 MARIANA";-;8;13;75;140;32;3;1;-;1;3;-;3;279
"314010 MARILAC";-;15;62;45;19;9;2;-;1;-;-;-;2;155
"314015 MARIO CAMPOS";-;1;7;81;124;62;4;-;-;-;-;-;-;279
"314020 MARIPA DE MINAS";-;-;1;2;6;1;-;-;-;-;-;-;3;13
