2010
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - RO";-;1;3;3;2;-;-;-;-;-;1;-;-;10
"110001 ALTA FLORESTA D'OESTE";-;99;68;25;10;6;1;12;19;8;10;55;34;347
"110002 ARIQUEMES";-;112;63;57;19;14;3;5;3;3;3;5;23;310
"110003 CABIXI";-;32;44;35;21;18;5;3;8;1;1;7;9;184
"110004 CACOAL";-;622;299;188;88;48;27;20;12;9;14;32;101;1460
"110005 CEREJEIRAS";-;216;363;362;76;15;11;8;4;9;2;16;65;1147
"110006 COLORADO DO OESTE";-;164;76;117;102;46;30;18;16;13;26;95;212;915
"110007 CORUMBIARA";-;26;46;81;35;2;5;2;2;1;-;3;13;216
"110008 COSTA MARQUES";-;128;326;114;40;15;4;1;2;2;4;60;73;769
"110009 ESPIGAO D'OESTE";-;346;460;282;74;23;10;8;11;22;38;92;49;1415
"110010 GUAJARA-MIRIM";-;769;376;258;159;105;71;25;42;33;69;152;253;2312
"110011 JARU";-;518;241;116;90;47;24;18;9;19;19;30;49;1180
"110012 JI-PARANA";-;430;102;103;138;37;6;1;22;21;15;67;142;1084
"110013 MACHADINHO D'OESTE";-;139;202;135;21;9;17;13;9;13;16;55;93;722
"110014 NOVA BRASILANDIA D'OESTE";-;357;282;222;129;37;15;11;3;2;10;11;59;1138
"110015 OURO PRETO DO OESTE";-;222;60;34;17;20;10;7;8;5;8;9;73;473
"110018 PIMENTA BUENO";-;594;455;269;157;32;6;5;4;3;3;5;42;1575
"110020 PORTO VELHO";-;4086;2162;393;99;35;30;20;21;29;51;188;423;7537
"110025 PRESIDENTE MEDICI";-;66;120;91;85;17;3;5;5;3;4;10;28;437
"110026 RIO CRESPO";-;9;3;14;9;1;4;1;1;1;2;1;3;49
"110028 ROLIM DE MOURA";-;972;392;106;22;15;5;6;20;3;16;82;195;1834
"110029 SANTA LUZIA D'OESTE";-;34;15;18;6;1;-;-;1;2;1;-;4;82
"110030 VILHENA";-;639;720;633;377;333;255;124;79;25;85;103;179;3552
"110032 SAO MIGUEL DO GUAPORE";-;215;196;22;32;20;4;2;-;1;9;17;72;590
"110033 NOVA MAMORE";-;85;47;14;25;37;10;3;2;7;3;10;16;259
"110034 ALVORADA D'OESTE";-;329;208;166;50;28;14;21;4;6;13;33;80;952
"110037 ALTO ALEGRE DOS PARECIS";-;61;89;42;30;9;3;1;5;1;8;19;18;286
"110040 ALTO PARAISO";-;6;19;30;31;28;14;11;12;15;12;35;19;232
"110045 BURITIS";-;420;187;102;54;25;23;21;8;10;12;24;25;911
"110050 NOVO HORIZONTE DO OESTE";-;238;113;73;30;18;3;9;4;5;11;60;120;684
"110060 CACAULANDIA";-;2;3;-;2;-;-;-;1;-;-;1;1;10
"110070 CAMPO NOVO DE RONDONIA";-;32;46;36;31;17;4;1;-;1;-;6;10;184
"110080 CANDEIAS DO JAMARI";-;88;59;19;5;11;5;5;2;1;1;2;16;214
"110090 CASTANHEIRAS";-;5;5;1;-;-;1;2;-;-;-;-;-;14
"110092 CHUPINGUAIA";-;42;28;21;12;7;9;16;11;5;19;8;4;182
"110094 CUJUBIM";-;56;16;11;4;1;-;-;1;4;1;3;7;104
"110100 GOVERNADOR JORGE TEIXEIRA";-;36;18;18;10;2;4;1;1;12;10;4;7;123
"110110 ITAPUA DO OESTE";-;80;58;31;20;24;32;20;13;7;4;6;14;309
"110120 MINISTRO ANDREAZZA";-;62;60;25;9;8;-;-;-;-;-;-;9;173
"110130 MIRANTE DA SERRA";-;104;108;91;12;28;3;1;-;1;4;77;39;468
"110140 MONTE NEGRO";-;118;65;17;9;8;4;13;6;1;2;39;48;330
"110143 NOVA UNIAO";-;33;29;20;9;3;2;1;2;-;2;8;35;144
"110145 PARECIS";-;19;24;27;7;2;-;-;-;-;-;2;7;88
"110146 PIMENTEIRAS DO OESTE";-;38;32;16;11;3;-;1;-;-;-;3;4;108
"110147 PRIMAVERA DE RONDONIA";-;22;10;8;2;3;1;-;1;1;1;4;6;59
"110148 SAO FELIPE D'OESTE";-;118;79;21;12;10;30;24;23;11;18;37;85;468
"110149 SAO FRANCISCO DO GUAPORE";-;233;262;104;33;15;3;6;3;6;3;28;31;727
"110150 SERINGUEIRAS";-;79;53;64;30;-;-;-;-;-;-;1;3;230
"110155 TEIXEIROPOLIS";-;78;40;6;-;-;-;-;1;2;3;2;13;145
"110160 THEOBROMA";-;26;18;4;7;2;1;-;-;1;-;4;1;64
"110170 URUPA";-;312;85;62;15;2;-;-;-;1;2;8;58;545
"110175 VALE DO ANARI";-;39;23;8;1;-;-;-;-;-;12;7;8;98
"110180 VALE DO PARAISO";-;4;5;2;2;1;-;-;1;2;1;1;3;22
"120001 ACRELANDIA";-;149;342;207;74;22;11;6;4;5;21;59;89;989
"120005 ASSIS BRASIL";-;102;65;123;52;26;23;7;3;11;9;40;36;497
"120010 BRASILEIA";-;173;139;109;55;9;4;3;2;6;28;65;94;687
"120013 BUJARI";-;28;30;30;17;12;3;8;3;7;11;8;28;185
