2008
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - RO";-;1;3;3;2;-;1;-;-;-;1;-;-;11
"110001 ALTA FLORESTA D'OESTE";-;118;74;38;23;16;12;29;34;46;76;171;127;764
"110002 ARIQUEMES";-;183;252;468;87;30;14;11;8;8;13;27;67;1168
"110003 CABIXI";-;42;49;51;26;19;5;3;9;1;1;9;19;234
"110004 CACOAL";-;1003;547;388;205;227;191;148;94;60;135;297;605;3900
"110005 CEREJEIRAS";-;245;463;515;154;42;21;15;6;11;2;22;72;1568
"110006 COLORADO DO OESTE";-;183;86;174;123;65;39;23;18;14;28;114;301;1168
"110007 CORUMBIARA";-;27;48;81;35;2;6;2;2;1;-;3;14;221
"110008 COSTA MARQUES";-;134;326;128;51;20;7;1;2;2;4;62;75;812
"110009 ESPIGAO D'OESTE";-;383;510;402;144;89;32;19;17;27;54;137;396;2210
"110010 GUAJARA-MIRIM";-;942;600;705;591;228;93;35;46;35;99;434;543;4351
"110011 JARU";-;530;253;160;111;54;36;35;24;50;312;1319;949;3833
"110012 JI-PARANA";-;521;213;253;177;55;26;5;52;64;113;327;489;2295
"110013 MACHADINHO D'OESTE";-;160;262;204;57;40;50;34;28;37;101;414;237;1624
"110014 NOVA BRASILANDIA D'OESTE";-;369;295;246;148;47;16;14;7;4;11;20;159;1336
"110015 OURO PRETO DO OESTE";-;238;127;209;51;43;21;18;17;10;23;115;306;1178
"110018 PIMENTA BUENO";-;677;512;454;201;49;19;15;40;45;143;204;362;2721
"110020 PORTO VELHO";-;4584;2498;623;218;98;66;45;33;59;112;581;1638;10555
"110025 PRESIDENTE MEDICI";-;112;216;169;165;44;6;5;8;7;5;20;56;813
"110026 RIO CRESPO";-;10;3;15;10;1;4;1;1;1;2;1;4;53
"110028 ROLIM DE MOURA";-;997;441;316;114;31;11;18;26;8;42;306;662;2972
"110029 SANTA LUZIA D'OESTE";-;36;16;34;12;4;2;1;1;4;8;26;130;274
"110030 VILHENA";-;940;979;1000;609;472;294;147;84;40;122;213;353;5253
"110032 SAO MIGUEL DO GUAPORE";-;249;254;159;143;77;11;5;3;4;18;28;95;1046
"110033 NOVA MAMORE";-;101;52;48;40;50;11;4;3;7;4;17;35;372
"110034 ALVORADA D'OESTE";-;380;303;186;53;37;18;21;4;6;14;33;94;1149
"110037 ALTO ALEGRE DOS PARECIS";-;73;94;69;69;20;9;4;11;8;15;58;52;482
"110040 ALTO PARAISO";-;7;24;53;45;28;14;12;12;15;12;37;21;280
"110045 BURITIS";-;429;198;150;63;26;23;22;10;11;30;276;354;1592
"110050 NOVO HORIZONTE DO OESTE";-;239;113;89;31;18;3;9;36;9;13;60;146;766
